time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
56.48313,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.49016,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.501,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.50598,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.51049,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.51505,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.52005,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.52453,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.52886,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.53391,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.53816,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.54252,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.54759,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.55206,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.55653,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.56584,-3.384225,2.05005,-0.074858,335.571,138.548,5.865732
56.5721,-3.384225,2.05005,-0.074858,335.571,138.548,5.865732
56.57676,-3.384225,2.05005,-0.074858,335.571,138.548,5.865732
56.58191,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.93149
56.58789,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.93149
56.59201,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.93149
56.59637,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.93149
56.60107,-3.384225,2.05005,-0.074858,335.6267,138.6403,5.851148
56.60602,-3.384225,2.05005,-0.074858,335.6267,138.6403,5.851148
56.61086,-3.384225,2.05005,-0.074858,335.6267,138.6403,5.851148
56.61514,-3.384225,2.05005,-0.074858,335.6267,138.6403,5.851148
56.61993,-3.384225,2.05005,-0.074858,335.6267,138.6403,5.851148
56.62489,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.62949,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.63404,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.63853,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.64323,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.65176,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.65603,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.66043,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.66563,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.67124,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.67574,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.68051,-3.384225,2.05005,-0.074858,335.6267,138.6403,5.851148
56.68657,-3.384225,2.05005,-0.074858,335.6267,138.6403,5.851148
56.69118,-3.384225,2.05005,-0.074858,335.6267,138.6403,5.851148
56.69569,-3.384225,2.05005,-0.074858,335.6267,138.6403,5.851148
56.70098,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.70576,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.7098,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.71347,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.71764,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.72148,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.72739,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.73231,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.737,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.74132,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.74606,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.75159,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.75599,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.76031,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.76892,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.77216,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.7765,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.78165,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.78841,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.79268,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.79836,-3.384225,2.05005,-0.074858,335.6423,138.5661,5.858243
56.80651,-3.378556,2.05005,-0.077638,335.7293,138.463,6.077587
56.81181,-3.378556,2.05005,-0.077638,335.7293,138.463,6.077587
56.81601,-3.378556,2.05005,-0.077638,335.7293,138.463,6.077587
56.8203,-3.378556,2.05005,-0.077638,335.658,138.4448,6.158294
56.82613,-3.378556,2.05005,-0.077638,335.658,138.4448,6.158294
56.83139,-3.378556,2.05005,-0.077638,335.658,138.4448,6.158294
56.83629,-3.378556,2.05005,-0.077638,335.658,138.4448,6.158294
56.84024,-3.370047,2.05005,-0.081801,335.6736,138.3,6.458322
56.84499,-3.370047,2.05005,-0.081801,335.6736,138.3,6.458322
56.84919,-3.370047,2.05005,-0.081801,335.6736,138.3,6.458322
56.85238,-3.370047,2.05005,-0.081801,335.6736,138.3,6.458322
56.85665,-3.370047,2.05005,-0.081801,335.6736,138.3,6.458322
56.86125,-3.357538,2.05005,-0.084957,335.6981,138.1413,6.807852
56.86798,-3.357538,2.05005,-0.084957,335.6981,138.1413,6.807852
56.87254,-3.357538,2.05005,-0.084957,335.6981,138.1413,6.807852
56.87699,-3.357538,2.05005,-0.084957,335.6981,138.1413,6.807852
56.88163,-3.334814,2.05005,-0.095965,335.571,137.8424,7.196033
56.8871,-3.334814,2.05005,-0.095965,335.571,137.8424,7.196033
56.89242,-3.334814,2.05005,-0.095965,335.571,137.8424,7.196033
56.89717,-3.334814,2.05005,-0.095965,335.571,137.8424,7.196033
56.90261,-3.308748,2.05005,-0.1073,335.5867,137.5562,7.642468
56.90837,-3.308748,2.05005,-0.1073,335.5867,137.5562,7.642468
56.91306,-3.308748,2.05005,-0.1073,335.5867,137.5562,7.642468
56.91827,-3.308748,2.05005,-0.1073,335.5867,137.5562,7.642468
56.92257,-3.271683,2.05005,-0.124888,335.444,137.2371,7.95053
56.92781,-3.271683,2.05005,-0.124888,335.444,137.2371,7.95053
56.93257,-3.271683,2.05005,-0.124888,335.444,137.2371,7.95053
56.93789,-3.271683,2.05005,-0.124888,335.444,137.2371,7.95053
56.94226,-3.233412,2.05005,-0.139881,335.3658,136.9732,8.147081
56.9469,-3.233412,2.05005,-0.139881,335.3658,136.9732,8.147081
56.95219,-3.233412,2.05005,-0.139881,335.3658,136.9732,8.147081
56.95868,-3.233412,2.05005,-0.139881,335.3658,136.9732,8.147081
56.9621,-3.193306,2.05005,-0.158379,335.1048,136.8349,8.295474
56.97194,-3.193306,2.05005,-0.158379,335.1048,136.8349,8.295474
56.97481,-3.193306,2.05005,-0.158379,335.1048,136.8349,8.295474
56.97949,-3.193306,2.05005,-0.158379,335.1048,136.8349,8.295474
56.9844,-3.15597,2.05005,-0.17535,334.9153,136.7149,8.436193
