time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
29.02078,-2.708114,2.05005,-0.490841,308.5343,130.9441,322.3208
29.03092,-2.708114,2.05005,-0.490841,308.5343,130.9441,322.3208
29.03673,-2.708114,2.05005,-0.490841,308.5343,130.9441,322.3208
29.04167,-2.708114,2.05005,-0.490841,308.4481,130.9848,322.2674
29.04695,-2.708114,2.05005,-0.490841,308.4481,130.9848,322.2674
29.05281,-2.708114,2.05005,-0.490841,308.4481,130.9848,322.2674
29.06047,-2.708115,2.05005,-0.490841,308.4481,130.9848,322.2674
29.06528,-2.708114,2.05005,-0.490841,308.4481,130.9848,322.2674
29.0706,-2.708114,2.05005,-0.490841,308.4481,130.9848,322.2674
29.07516,-2.708114,2.05005,-0.490841,308.4481,130.9848,322.2674
29.08015,-2.708114,2.05005,-0.490841,308.465,130.9058,322.3508
29.0858,-2.708114,2.05005,-0.490841,308.465,130.9058,322.3508
29.09068,-2.708114,2.05005,-0.490841,308.465,130.9058,322.3508
29.09542,-2.708114,2.05005,-0.490841,308.465,130.9058,322.3508
29.09986,-2.708114,2.05005,-0.490841,308.465,130.9058,322.3508
29.10398,-2.708114,2.05005,-0.490841,308.4481,130.9848,322.2674
29.11002,-2.708114,2.05005,-0.490841,308.4481,130.9848,322.2674
29.11434,-2.708114,2.05005,-0.490841,308.4481,130.9848,322.2674
29.11924,-2.708114,2.05005,-0.490841,308.4481,130.9848,322.2674
29.12344,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.12898,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.13377,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.13847,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.14305,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.14822,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.15299,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.15833,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.16228,-2.71112,2.05005,-0.489727,308.5174,131.0467,322.3106
29.16751,-2.711119,2.05005,-0.489727,308.5174,131.0467,322.3106
29.17231,-2.711119,2.05005,-0.489727,308.5174,131.0467,322.3106
29.17711,-2.711119,2.05005,-0.489727,308.5174,131.0467,322.3106
29.18155,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.18733,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.1916,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.19584,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.20063,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.206,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.21295,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.21765,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.22183,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.2673
29.22644,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.2673
29.23084,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.2673
29.23635,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.2673
29.24119,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.24662,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.25191,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.25642,-2.711119,2.05005,-0.489727,308.4481,131.0083,322.3406
29.26141,-2.714124,2.05005,-0.488612,308.4481,131.0319,322.3406
29.26638,-2.714124,2.05005,-0.488611,308.4481,131.0319,322.3406
29.27098,-2.714124,2.05005,-0.488611,308.4481,131.0319,322.3406
29.27577,-2.714124,2.05005,-0.488611,308.4481,131.0319,322.3406
29.28092,-2.714124,2.05005,-0.488611,308.3619,131.0725,322.2872
29.28636,-2.714124,2.05005,-0.488612,308.3619,131.0725,322.2872
29.29094,-2.714124,2.05005,-0.488611,308.3619,131.0725,322.2872
29.29585,-2.714124,2.05005,-0.488611,308.3619,131.0725,322.2872
29.30165,-2.714124,2.05005,-0.488611,308.4481,131.0319,322.2673
29.30748,-2.714124,2.05005,-0.488612,308.4481,131.0319,322.2673
29.31229,-2.714124,2.05005,-0.488611,308.4481,131.0319,322.2673
29.31728,-2.714124,2.05005,-0.488611,308.4481,131.0319,322.2673
29.32184,-2.714124,2.05005,-0.488611,308.4481,131.0319,322.1941
29.32677,-2.714124,2.05005,-0.488611,308.4481,131.0319,322.1941
29.33074,-2.714124,2.05005,-0.488611,308.4481,131.0319,322.1941
29.3356,-2.714124,2.05005,-0.488611,308.4481,131.0319,322.1941
29.34092,-2.711119,2.05005,-0.489727,308.3619,131.0489,322.214
29.34562,-2.711119,2.05005,-0.489727,308.3619,131.0489,322.214
29.3498,-2.711119,2.05005,-0.489727,308.3619,131.0489,322.214
29.3535,-2.711119,2.05005,-0.489727,308.3619,131.0489,322.214
29.35841,-2.711119,2.05005,-0.489727,308.3619,131.0489,322.214
29.36521,-2.711119,2.05005,-0.489727,308.4312,131.0874,322.1838
29.37181,-2.711119,2.05005,-0.489727,308.4312,131.0874,322.1838
29.37589,-2.71112,2.05005,-0.489727,308.4312,131.0874,322.1838
29.38067,-2.711119,2.05005,-0.489727,308.3619,131.0489,322.1407
29.38686,-2.711119,2.05005,-0.489727,308.3619,131.0489,322.1407
29.3912,-2.711119,2.05005,-0.489727,308.3619,131.0489,322.1407
29.39542,-2.711119,2.05005,-0.489727,308.3619,131.0489,322.1407
29.39995,-2.711119,2.05005,-0.489727,308.3619,131.0489,322.1407
29.40448,-2.708114,2.05005,-0.490841,308.4312,131.0638,322.1838
29.40966,-2.708114,2.05005,-0.490841,308.4312,131.0638,322.1838
29.41433,-2.708114,2.05005,-0.490841,308.4312,131.0638,322.1838
29.42043,-2.701737,2.05005,-0.492076,308.4312,131.0167,322.1106
29.42531,-2.701737,2.05005,-0.492076,308.4312,131.0167,322.1106
29.42972,-2.701737,2.05005,-0.492076,308.4312,131.0167,322.1106
29.43451,-2.701737,2.05005,-0.492076,308.4312,131.0167,322.1106
29.44053,-2.698366,2.05005,-0.492195,308.4312,130.9931,322.1838
29.44571,-2.698366,2.05005,-0.492195,308.4312,130.9931,322.1838
29.45097,-2.698365,2.05005,-0.492195,308.4312,130.9931,322.1838
29.45517,-2.698366,2.05005,-0.492195,308.4312,130.9931,322.1838
29.45947,-2.698365,2.05005,-0.492195,308.4312,130.9931,322.1838
29.46412,-2.692353,2.05005,-0.494412,308.4481,130.867,322.1941
29.47037,-2.692353,2.05005,-0.494412,308.4481,130.867,322.1941
29.47471,-2.692353,2.05005,-0.494412,308.4481,130.867,322.1941
29.47885,-2.692353,2.05005,-0.494412,308.4481,130.867,322.1941
29.48408,-2.686339,2.05005,-0.496623,308.4481,130.8199,322.1941
29.48937,-2.686339,2.05005,-0.496623,308.4481,130.8199,322.1941
29.4934,-2.686339,2.05005,-0.496623,308.4481,130.8199,322.1941
29.4975,-2.686339,2.05005,-0.496623,308.4481,130.8199,322.1941
29.50179,-2.683331,2.05005,-0.497727,308.4312,130.8753,322.1106
29.50743,-2.683331,2.05005,-0.497727,308.4312,130.8753,322.1106
29.51271,-2.683331,2.05005,-0.497727,308.4312,130.8753,322.1106
29.52018,-2.673942,2.05005,-0.500038,308.5004,130.843,322.1538
29.52344,-2.673942,2.05005,-0.500038,308.5004,130.843,322.1538
29.52759,-2.673942,2.05005,-0.500038,308.5004,130.843,322.1538
