time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
12.14275,-3.455978,2.05005,-0.08417,328.4803,142.3046,338.1337
12.15088,-3.455978,2.05005,-0.08417,328.4803,142.3046,338.1337
12.1567,-3.455977,2.05005,-0.08417,328.4803,142.3046,338.1337
12.15936,-3.455978,2.05005,-0.08417,328.4803,142.3046,338.1337
12.16175,-3.455978,2.05005,-0.08417,328.4682,142.3801,338.1269
12.16501,-3.455978,2.05005,-0.08417,328.4682,142.3801,338.1269
12.16739,-3.455977,2.05005,-0.08417,328.4682,142.3801,338.1269
12.16986,-3.455978,2.05005,-0.08417,328.4682,142.3801,338.1269
12.17224,-3.455978,2.05005,-0.08417,328.4682,142.3801,338.1269
12.17478,-3.455978,2.05005,-0.08417,328.4682,142.3801,338.1269
12.17762,-3.455978,2.05005,-0.08417,328.4682,142.3801,338.1269
12.17991,-3.455978,2.05005,-0.08417,328.4682,142.3801,338.1269
12.18259,-3.455978,2.05005,-0.08417,328.4682,142.3801,338.1269
12.18566,-3.455977,2.05005,-0.08417,328.4682,142.3801,338.1269
12.18764,-3.455978,2.05005,-0.08417,328.4682,142.3801,338.1269
12.1899,-3.455978,2.05005,-0.08417,328.4682,142.3801,338.1269
12.19245,-3.455978,2.05005,-0.08417,328.4682,142.3801,338.1269
12.19527,-3.455978,2.05005,-0.08417,328.4682,142.3801,338.1269
12.19788,-3.455978,2.05005,-0.08417,328.4682,142.3801,338.1269
12.20029,-3.455978,2.05005,-0.08417,328.4561,142.4557,338.12
12.2035,-3.455978,2.05005,-0.08417,328.4561,142.4557,338.12
12.20581,-3.455978,2.05005,-0.08417,328.4561,142.4557,338.12
12.20792,-3.455978,2.05005,-0.08417,328.4561,142.4557,338.12
12.21025,-3.455978,2.05005,-0.08417,328.4561,142.4557,338.12
12.21232,-3.455977,2.05005,-0.08417,328.4561,142.4557,338.12
12.21465,-3.455978,2.05005,-0.08417,328.4561,142.4557,338.12
12.21743,-3.455978,2.05005,-0.08417,328.4561,142.4557,338.12
12.21946,-3.455978,2.05005,-0.08417,328.4561,142.4557,338.12
12.22141,-3.455978,2.05005,-0.08417,328.4561,142.4557,338.12
12.22399,-3.455977,2.05005,-0.08417,328.4561,142.4557,338.12
12.22644,-3.455977,2.05005,-0.08417,328.4561,142.4557,338.12
12.22858,-3.455978,2.05005,-0.08417,328.4561,142.4557,338.12
12.23059,-3.455978,2.05005,-0.08417,328.4561,142.4557,338.12
12.23375,-3.455977,2.05005,-0.08417,328.4561,142.4557,338.12
12.23598,-3.455978,2.05005,-0.08417,328.4561,142.4557,338.12
12.23866,-3.455978,2.05005,-0.08417,328.4561,142.4557,338.12
12.24111,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.1117
12.24389,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.1117
12.246,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.1117
12.24837,-3.455977,2.05005,-0.08417,328.5281,142.4716,338.1117
12.25111,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.1117
12.26027,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.0385
12.26433,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.0385
12.26724,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.0385
12.2694,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.0385
12.27817,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.0385
12.28051,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.1117
12.28376,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.1117
12.28587,-3.455977,2.05005,-0.08417,328.5281,142.4716,338.1117
12.28819,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.1117
12.29055,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.1117
12.29252,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.1117
12.29497,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.1117
12.29735,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.1117
12.29994,-3.455978,2.05005,-0.08417,328.5281,142.4716,338.1117
12.3025,-3.455977,2.05005,-0.08417,328.6122,142.4118,338.1103
12.3074,-3.455978,2.05005,-0.08417,328.6122,142.4118,338.1103
12.30937,-3.455977,2.05005,-0.08417,328.6122,142.4118,338.1103
12.31158,-3.455978,2.05005,-0.08417,328.6122,142.4118,338.1103
12.31395,-3.455978,2.05005,-0.08417,328.6122,142.4118,338.1103
12.3162,-3.455978,2.05005,-0.08417,328.6122,142.4118,338.1103
12.31815,-3.455977,2.05005,-0.08417,328.6122,142.4118,338.1103
12.32072,-3.455978,2.05005,-0.08417,328.6001,142.4874,338.1035
12.32308,-3.455978,2.05005,-0.08417,328.6001,142.4874,338.1035
12.3247,-3.455978,2.05005,-0.08417,328.6001,142.4874,338.1035
12.32709,-3.455978,2.05005,-0.08417,328.6001,142.4874,338.1035
12.32897,-3.455978,2.05005,-0.08417,328.6001,142.4874,338.1035
12.3312,-3.455978,2.05005,-0.08417,328.6001,142.4874,338.1035
12.33331,-3.455978,2.05005,-0.08417,328.6001,142.4874,338.1035
12.3359,-3.455978,2.05005,-0.08417,328.6001,142.4874,338.1035
12.33792,-3.455977,2.05005,-0.08417,328.6001,142.4874,338.1035
12.34024,-3.455978,2.05005,-0.08417,328.6721,142.5032,338.0952
12.34298,-3.455978,2.05005,-0.08417,328.6721,142.5032,338.0952
12.3449,-3.455978,2.05005,-0.08417,328.6721,142.5032,338.0952
12.34707,-3.455978,2.05005,-0.08417,328.6721,142.5032,338.0952
12.34948,-3.455978,2.05005,-0.08417,328.6721,142.5032,338.0952
12.35218,-3.455978,2.05005,-0.08417,328.6721,142.5032,338.0952
12.35433,-3.455978,2.05005,-0.08417,328.6721,142.5032,338.0952
12.35621,-3.455978,2.05005,-0.08417,328.6721,142.5032,338.0952
12.35821,-3.455978,2.05005,-0.08417,328.6721,142.5032,338.0952
12.36001,-3.455978,2.05005,-0.08417,328.6479,142.6544,338.0082
12.36299,-3.455977,2.05005,-0.08417,328.6479,142.6544,338.0082
12.36552,-3.455978,2.05005,-0.08417,328.6479,142.6544,338.0082
12.368,-3.455978,2.05005,-0.08417,328.6479,142.6544,338.0082
12.37012,-3.455978,2.05005,-0.08417,328.6479,142.6544,338.0082
12.37195,-3.455978,2.05005,-0.08417,328.6479,142.6544,338.0082
