time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
12.14275,14.03391,2.05005,-0.895732,31.438,181.5431,84.48502
12.15088,14.03391,2.05005,-0.895732,31.438,181.5431,84.48502
12.1567,14.03391,2.05005,-0.895732,31.438,181.5431,84.48502
12.15936,14.03391,2.05005,-0.895732,31.438,181.5431,84.48502
12.16175,14.0339,2.05005,-0.895732,31.45665,181.7899,84.4109
12.16501,14.03391,2.05005,-0.895732,31.45665,181.7899,84.4109
12.16739,14.03391,2.05005,-0.895732,31.45665,181.7899,84.4109
12.16986,14.03391,2.05005,-0.895732,31.45665,181.7899,84.4109
12.17224,14.03391,2.05005,-0.895732,31.45665,181.7899,84.4109
12.17478,14.03391,2.05005,-0.895732,31.45665,181.7899,84.4109
12.17762,14.03391,2.05005,-0.895732,31.45665,181.7899,84.4109
12.17991,14.03391,2.05005,-0.895732,31.45665,181.7899,84.4109
12.18259,14.03391,2.05005,-0.895732,31.47083,181.9751,84.42862
12.18566,14.03391,2.05005,-0.895732,31.47083,181.9751,84.42862
12.18764,14.03391,2.05005,-0.895732,31.47083,181.9751,84.42862
12.1899,14.03391,2.05005,-0.895732,31.47083,181.9751,84.42862
12.19245,14.03391,2.05005,-0.895732,31.47083,181.9751,84.42862
12.19527,14.03391,2.05005,-0.895732,31.47083,181.9751,84.42862
12.19788,14.03391,2.05005,-0.895732,31.47083,181.9751,84.42862
12.20029,14.03391,2.05005,-0.895732,31.48996,182.2219,84.28139
12.2035,14.03391,2.05005,-0.895732,31.48996,182.2219,84.28139
12.20581,14.03391,2.05005,-0.895732,31.48996,182.2219,84.28139
12.20792,14.03391,2.05005,-0.895732,31.48996,182.2219,84.28139
12.21025,14.03391,2.05005,-0.895732,31.48996,182.2219,84.28139
12.21232,14.03391,2.05005,-0.895732,31.48996,182.2219,84.28139
12.21465,14.03391,2.05005,-0.895732,31.48996,182.2219,84.28139
12.21743,14.03391,2.05005,-0.895732,31.48996,182.2219,84.28139
12.21946,14.03391,2.05005,-0.895732,31.48996,182.2219,84.28139
12.22141,14.03391,2.05005,-0.895732,31.42669,182.3532,84.17532
12.22399,14.03391,2.05005,-0.895732,31.42669,182.3532,84.17532
12.22644,14.03391,2.05005,-0.895732,31.42669,182.3532,84.17532
12.22858,14.03391,2.05005,-0.895732,31.42669,182.3532,84.17532
12.23059,14.03391,2.05005,-0.895732,31.42669,182.3532,84.17532
12.23375,14.03391,2.05005,-0.895732,31.42669,182.3532,84.17532
12.23598,14.03391,2.05005,-0.895732,31.42669,182.3532,84.17532
12.23866,14.03391,2.05005,-0.895732,31.42669,182.3532,84.17532
12.24111,14.03391,2.05005,-0.895732,31.44133,182.5384,84.19319
12.24389,14.03391,2.05005,-0.895732,31.44133,182.5384,84.19319
12.246,14.03391,2.05005,-0.895732,31.44133,182.5384,84.19319
12.24837,14.03391,2.05005,-0.895732,31.44133,182.5384,84.19319
12.25111,14.03391,2.05005,-0.895732,31.44133,182.5384,84.19319
12.26027,14.03391,2.05005,-0.895732,31.52904,182.7156,84.13369
12.26433,14.03391,2.05005,-0.895732,31.52904,182.7156,84.13369
12.26724,14.03391,2.05005,-0.895732,31.52904,182.7156,84.13369
12.2694,14.03391,2.05005,-0.895732,31.52904,182.7156,84.13369
12.27817,14.03391,2.05005,-0.895732,31.52904,182.7156,84.13369
12.28051,14.03391,2.05005,-0.895732,31.46606,182.8472,84.10104
12.28376,14.03391,2.05005,-0.895732,31.46606,182.8472,84.10104
