time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
23.54379,0,1.244464,2.80571,335.7121,180.0515,210.1732
23.55123,0,1.244464,2.80571,335.7121,180.0515,210.1732
23.55665,0,1.244464,2.80571,335.7121,180.0515,210.1732
23.56161,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.5667,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.57246,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.57694,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.5817,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.58694,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.59196,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.59659,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.60151,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.60684,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.61133,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.61641,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.62094,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.62624,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.63098,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.63556,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.64063,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.64598,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.65041,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.65535,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.65999,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.6649,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.67087,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.67568,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.68131,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.68841,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.69493,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.69926,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.7039,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.71083,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.71881,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.72282,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.7302,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.73471,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.73981,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.74515,0,1.244464,2.80571,335.7853,179.9389,210.115
23.75093,0,1.244464,2.80571,335.7853,179.9389,210.115
23.75659,0,1.244464,2.80571,335.7853,179.9389,210.115
23.76091,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.76604,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.77106,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.77589,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.78048,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.78606,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.79141,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.79594,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.80045,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.81338,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.8161,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.82089,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.82624,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.8307,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.83577,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.84061,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.84565,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.85031,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.85533,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.85993,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.86483,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.87074,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.87579,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.88106,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.88611,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.89116,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.89591,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.90037,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.90582,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.91068,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.91607,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.92341,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.92815,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.93285,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.93763,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.94412,0,1.244464,2.80571,335.7121,180.0515,210.1732
23.95045,0,1.244464,2.80571,335.7121,180.0515,210.1732
23.95697,0,1.244464,2.80571,335.7121,180.0515,210.1732
23.96247,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.96791,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.9733,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.97773,0,1.244464,2.80571,335.7854,179.9952,210.1441
23.98212,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.98743,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.99357,0,1.244464,2.80571,335.7121,179.9952,210.1441
23.99834,0,1.244464,2.80571,335.7121,179.9952,210.1441
24.0029,0,1.244464,2.80571,335.7854,179.9952,210.1441
24.01003,0,1.244464,2.80571,335.7854,179.9952,210.1441
24.01451,0,1.244464,2.80571,335.7854,179.9952,210.1441
24.0192,0,1.244464,2.80571,335.7854,179.9952,210.1441
24.02466,0,1.244464,2.80571,335.7853,179.9389,210.115
24.03059,0,1.244464,2.80571,335.7853,179.9389,210.115
24.03526,0,1.244464,2.80571,335.7853,179.9389,210.115
24.04047,0,1.244464,2.80571,335.7121,180.0515,210.1732
24.04557,0,1.244464,2.80571,335.7121,180.0515,210.1732
24.04997,0,1.244464,2.80571,335.7121,180.0515,210.1732
24.05517,0,1.244464,2.80571,335.7121,180.0515,210.1732
24.05978,0,1.244464,2.80571,335.7121,180.0515,210.1732
