time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
19.74351,-0.006886,2.05005,-1.555087,316.4462,199.9067,11.04716
19.74995,-0.006886,2.05005,-1.555087,316.4462,199.9067,11.04716
19.75485,-0.006886,2.05005,-1.555087,316.4462,199.9067,11.04716
19.75887,-0.006886,2.05005,-1.555087,316.4462,199.9067,11.04716
19.76335,-0.006883,2.05005,-1.552519,316.5408,199.8868,11.06662
19.77015,-0.006883,2.05005,-1.552519,316.5408,199.8868,11.06662
19.77516,-0.006883,2.05005,-1.552519,316.5408,199.8868,11.06662
19.77881,-0.006883,2.05005,-1.552519,316.5408,199.8868,11.06662
19.78346,-0.010319,2.05005,-1.547377,316.504,199.8171,11.11086
19.79049,-0.010319,2.05005,-1.547377,316.504,199.8171,11.11086
19.79499,-0.010319,2.05005,-1.547378,316.504,199.8171,11.11086
19.79942,-0.010319,2.05005,-1.547377,316.504,199.8171,11.11086
19.804,-0.013746,2.05005,-1.539663,316.5619,199.7278,11.17423
19.81026,-0.013746,2.05005,-1.539663,316.5619,199.7278,11.17423
19.81498,-0.013746,2.05005,-1.539663,316.5619,199.7278,11.17423
19.81908,-0.013746,2.05005,-1.539663,316.5619,199.7278,11.17423
19.82368,-0.0206,2.05005,-1.531937,316.4825,199.7534,11.18993
19.8301,-0.0206,2.05005,-1.531937,316.4825,199.7534,11.18993
19.83414,-0.0206,2.05005,-1.531937,316.4825,199.7534,11.18993
19.83861,-0.0206,2.05005,-1.531937,316.4825,199.7534,11.18993
19.84371,-0.034297,2.05005,-1.523171,316.5485,199.8488,11.22235
19.84989,-0.034297,2.05005,-1.523171,316.5485,199.8488,11.22235
19.85565,-0.034297,2.05005,-1.523171,316.5485,199.8488,11.22235
19.86136,-0.044558,2.05005,-1.517977,316.5626,199.7982,11.26369
19.86601,-0.044558,2.05005,-1.517977,316.5626,199.7982,11.26369
19.87011,-0.044558,2.05005,-1.517977,316.5626,199.7982,11.26369
19.87942,-0.044558,2.05005,-1.517977,316.5626,199.7982,11.26369
19.88223,-0.068445,2.05005,-1.504945,316.5414,199.876,11.34203
19.88677,-0.068445,2.05005,-1.504945,316.5414,199.876,11.34203
19.89207,-0.068445,2.05005,-1.504945,316.5414,199.876,11.34203
19.89631,-0.068445,2.05005,-1.504945,316.5414,199.876,11.34203
19.90141,-0.095585,2.05005,-1.484065,316.5568,199.849,11.47135
19.90867,-0.095585,2.05005,-1.484065,316.5568,199.849,11.47135
19.91338,-0.095585,2.05005,-1.484065,316.5568,199.849,11.47135
19.91759,-0.095585,2.05005,-1.484065,316.5568,199.849,11.47135
19.92309,-0.132671,2.05005,-1.454736,316.5874,199.7723,11.63979
19.92793,-0.132671,2.05005,-1.454736,316.5874,199.7723,11.63979
19.932,-0.132671,2.05005,-1.454736,316.5874,199.7723,11.63979
19.93651,-0.132671,2.05005,-1.454736,316.5874,199.7723,11.63979
19.94162,-0.171941,2.050049,-1.380239,316.8711,199.5604,11.90711
19.94634,-0.171941,2.050049,-1.380239,316.8711,199.5604,11.90711
19.95055,-0.171941,2.050049,-1.380239,316.8711,199.5604,11.90711
19.9553,-0.171941,2.050049,-1.380239,316.8711,199.5604,11.90711
19.95928,-0.171941,2.050049,-1.380239,316.8711,199.5604,11.90711
19.96375,-0.233757,2.050046,-1.186949,317.8829,198.9595,12.62097
19.97024,-0.233757,2.050046,-1.186949,317.8829,198.9595,12.62097
19.97457,-0.233757,2.050046,-1.186949,317.8829,198.9595,12.62097
19.97863,-0.233757,2.050046,-1.186949,317.8829,198.9595,12.62097
19.98342,-0.270087,2.050043,-0.998772,318.915,198.2456,13.10879
19.98967,-0.270087,2.050043,-0.998772,318.915,198.2456,13.10879
19.99372,-0.270087,2.050043,-0.998772,318.915,198.2456,13.10879
19.99844,-0.270087,2.050043,-0.998772,318.915,198.2456,13.10879
20.00395,-0.288243,2.050041,-0.79824,320.2039,197.6892,13.46574
20.01004,-0.288243,2.050041,-0.79824,320.2039,197.6892,13.46574
20.01462,-0.288243,2.050041,-0.79824,320.2039,197.6892,13.46574
20.01918,-0.288243,2.050041,-0.79824,320.2039,197.6892,13.46574
20.02422,-0.284321,2.050043,-0.613757,321.3872,197.08,13.37255
20.02977,-0.284321,2.050043,-0.613757,321.3872,197.08,13.37255
20.03383,-0.284321,2.050043,-0.613757,321.3872,197.08,13.37255
20.03827,-0.284321,2.050043,-0.613757,321.3872,197.08,13.37255
20.04261,-0.27501,2.050042,-0.528534,321.9912,196.9203,13.15809
20.04782,-0.27501,2.050042,-0.528534,321.9912,196.9203,13.15809
20.05188,-0.27501,2.050042,-0.528534,321.9912,196.9203,13.15809
20.05645,-0.27501,2.050042,-0.528534,321.9912,196.9203,13.15809
20.0612,-0.257606,2.050046,-0.380285,323.0012,196.84,12.62611
20.06596,-0.257606,2.050046,-0.380285,323.0012,196.84,12.62611
20.07073,-0.257606,2.050046,-0.380285,323.0012,196.84,12.62611
20.07619,-0.257606,2.050046,-0.380285,323.0012,196.84,12.62611
20.08087,-0.24025,2.050046,-0.21914,323.9847,196.9656,11.94362
20.08561,-0.24025,2.050046,-0.21914,323.9847,196.9656,11.94362
20.09009,-0.24025,2.050046,-0.21914,323.9847,196.9656,11.94362
20.09473,-0.24025,2.050046,-0.21914,323.9847,196.9656,11.94362
20.0989,-0.24025,2.050046,-0.21914,323.9847,196.9656,11.94362
20.10288,-0.226831,2.050046,-0.075421,324.7816,197.0887,11.37556
20.10882,-0.226831,2.050046,-0.075421,324.7816,197.0887,11.37556
20.11323,-0.226831,2.050046,-0.075421,324.7816,197.0887,11.37556
20.11712,-0.226831,2.050046,-0.075421,324.7816,197.0887,11.37556
20.12266,-0.216245,2.050045,0.077658,325.6225,197.3009,10.75235
20.12812,-0.216245,2.050045,0.077658,325.6225,197.3009,10.75235
20.13294,-0.216245,2.050045,0.077658,325.6225,197.3009,10.75235
20.13799,-0.216245,2.050045,0.077658,325.6225,197.3009,10.75235
20.14311,-0.209279,2.050047,0.209986,326.4471,197.4787,10.17509
20.1478,-0.209279,2.050047,0.209986,326.4471,197.4787,10.17509
20.15194,-0.209279,2.050047,0.209986,326.4471,197.4787,10.17509
20.15752,-0.209279,2.050047,0.209986,326.4471,197.4787,10.17509
20.16211,-0.199705,2.050046,0.344034,327.2899,197.5504,9.328409
20.16706,-0.199705,2.050046,0.344034,327.2899,197.5504,9.328409
20.17156,-0.199705,2.050046,0.344034,327.2899,197.5504,9.328409
20.17642,-0.199705,2.050046,0.344034,327.2899,197.5504,9.328409
20.18078,-0.185743,2.050047,0.457193,328.1171,197.8154,8.153351
20.18621,-0.185743,2.050047,0.457193,328.1171,197.8154,8.153351
20.19052,-0.185743,2.050047,0.457193,328.1171,197.8154,8.153351
20.19503,-0.185743,2.050047,0.457193,328.1171,197.8154,8.153351
20.20022,-0.170088,2.050048,0.55179,328.7379,198.0137,6.853448
20.20539,-0.170088,2.050048,0.55179,328.7379,198.0137,6.853448
20.20949,-0.170088,2.050048,0.55179,328.7379,198.0137,6.853448
20.21407,-0.170088,2.050048,0.55179,328.7379,198.0137,6.853448
20.21818,-0.170088,2.050048,0.55179,328.7379,198.0137,6.853448
20.22324,-0.144516,2.050049,0.652825,329.4477,198.4925,4.853977
20.22965,-0.144516,2.050049,0.652825,329.4477,198.4925,4.853977
20.23406,-0.144516,2.050049,0.652825,329.4477,198.4925,4.853977
20.23884,-0.144516,2.050049,0.652825,329.4477,198.4925,4.853977
20.24355,-0.132989,2.050049,0.716228,329.7945,198.8774,3.628264
20.25065,-0.132989,2.050049,0.716228,329.7945,198.8774,3.628264
20.25498,-0.132989,2.050049,0.716228,329.7945,198.8774,3.628264
20.25982,-0.132989,2.050049,0.716228,329.7945,198.8774,3.628264
20.26445,-0.124354,2.050049,0.770016,330.0939,199.2397,2.616345
20.27011,-0.124354,2.050049,0.770016,330.0939,199.2397,2.616345
20.27499,-0.124354,2.050049,0.770016,330.0939,199.2397,2.616345
20.27966,-0.124354,2.050049,0.770016,330.0939,199.2397,2.616345
