experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,vmr_angle,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,pulp-f9b5af8a-33da-4199-871a-d653706bcaf6,1,1,1,1,11.46725,12.48,,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,pulp-f9b5af8a-33da-4199-871a-d653706bcaf6,1,2,1,2,14.18549,14.98,,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,pulp-f9b5af8a-33da-4199-871a-d653706bcaf6,1,3,2,1,17.86213,18.38,,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,pulp-f9b5af8a-33da-4199-871a-d653706bcaf6,1,4,2,2,19.74351,20.28,,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,pulp-f9b5af8a-33da-4199-871a-d653706bcaf6,1,5,3,1,21.56408,22.32,,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,pulp-f9b5af8a-33da-4199-871a-d653706bcaf6,1,6,3,2,23.54379,24.06,,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,pulp-f9b5af8a-33da-4199-871a-d653706bcaf6,1,7,4,1,25.41004,25.96,,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,pulp-f9b5af8a-33da-4199-871a-d653706bcaf6,1,8,4,2,27.41026,27.94,,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,pulp-f9b5af8a-33da-4199-871a-d653706bcaf6,1,9,5,1,29.02533,29.6,,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,pulp-f9b5af8a-33da-4199-871a-d653706bcaf6,1,10,5,2,30.84389,31.4,,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/mentor_left_stylus_movement_T010.csv
guidance_experiment,pulp-f9b5af8a-33da-4199-871a-d653706bcaf6,1,11,6,1,32.52458,33.22,,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/trainee_right_stylus_movement_T011.csv,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/mentor_left_stylus_movement_T011.csv
guidance_experiment,pulp-f9b5af8a-33da-4199-871a-d653706bcaf6,1,12,6,2,34.36601,34.92,,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/trainee_right_stylus_movement_T012.csv,guidance_experiment/pulp-f9b5af8a-33da-4199-871a-d653706bcaf6/S001/trackers/mentor_left_stylus_movement_T012.csv
