time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
18.28853,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.29278,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.29666,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.30135,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.30593,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.30968,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.31421,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.31849,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.32267,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.32842,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.33216,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.33683,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.34069,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.34502,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.34889,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.35322,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.35711,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.36135,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.36669,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.37328,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.37838,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.38247,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.38876,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.3926,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.39644,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.40036,0,1.244465,2.80571,335.5656,180.0514,210.1733
18.40508,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.40909,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.41315,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.41742,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.42144,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.42631,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.43034,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.43508,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.43892,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.44334,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.4485,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.45299,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.45708,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.46085,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.46545,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.46978,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.47449,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.47881,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.4826,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.48822,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.49219,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.49617,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.49989,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.50436,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.5092,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.513,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.51742,0,1.244464,2.80571,335.5656,180.0514,210.1733
18.52179,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.52584,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.52972,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.5346,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.53869,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.5427,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.54881,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.55301,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.55679,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.56068,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.56536,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.57031,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.57423,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.57859,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.58233,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.58837,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.59217,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.5967,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.60062,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.60542,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.60934,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.61359,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.61746,0,1.244464,2.80571,335.5656,180.1077,210.2024
18.62121,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.62613,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.63016,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.63471,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.63849,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.64305,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.64916,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.65391,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.65874,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.66269,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.66975,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.67336,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.6772,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.68086,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.68589,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.68972,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.69405,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.69836,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.70357,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.70822,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.71203,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.71628,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.72076,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.72547,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.72937,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.73359,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.73825,0,1.244464,2.80571,335.6389,180.0515,210.1732
18.74238,0,1.244464,2.80571,335.6388,180.1077,210.2024
18.74915,0,1.244464,2.80571,335.6388,180.1077,210.2024
18.75369,0,1.244464,2.80571,335.6388,180.1077,210.2024
18.75795,0,1.244464,2.80571,335.6388,180.1077,210.2024
