time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
44.70507,-0.027151,2.05005,-1.436192,328.3825,155.594,217.8283
44.70938,-0.027151,2.05005,-1.436192,328.3825,155.594,217.8283
44.71703,-0.027151,2.05005,-1.436192,328.3825,155.594,217.8283
44.72163,-0.027143,2.05005,-1.433606,328.3218,155.6709,217.7989
44.73307,-0.027143,2.05005,-1.433606,328.3218,155.6709,217.7989
44.73863,-0.027143,2.05005,-1.433606,328.3218,155.6709,217.7989
44.74264,-0.030517,2.05005,-1.428422,328.3736,155.6241,217.8
44.7485,-0.030517,2.05005,-1.428422,328.3736,155.6241,217.8
44.75391,-0.030517,2.05005,-1.428422,328.3736,155.6241,217.8
44.75787,-0.030517,2.05005,-1.428422,328.3736,155.6241,217.8
44.76221,-0.030507,2.05005,-1.425835,328.3856,155.7124,217.7647
44.76894,-0.030507,2.05005,-1.425835,328.3856,155.7124,217.7647
44.77349,-0.030507,2.05005,-1.425835,328.3856,155.7124,217.7647
44.77747,-0.030507,2.05005,-1.425835,328.3856,155.7124,217.7647
44.78243,-0.030497,2.05005,-1.423248,328.4161,155.6361,217.7772
44.78819,-0.030497,2.05005,-1.423248,328.4161,155.6361,217.7772
44.79212,-0.030497,2.05005,-1.423248,328.4161,155.6361,217.7772
44.79629,-0.030497,2.05005,-1.423248,328.4161,155.6361,217.7772
44.80085,-0.030497,2.05005,-1.423248,328.4887,155.6474,217.7713
44.80546,-0.030497,2.05005,-1.423248,328.4887,155.6474,217.7713
44.80933,-0.030497,2.05005,-1.423248,328.4887,155.6474,217.7713
44.8138,-0.030497,2.05005,-1.423248,328.4887,155.6474,217.7713
44.81802,-0.030497,2.05005,-1.423248,328.4887,155.6474,217.7713
44.82198,-0.033886,2.05005,-1.423235,328.4887,155.671,217.7713
44.82815,-0.033886,2.05005,-1.423235,328.4887,155.671,217.7713
44.83688,-0.033886,2.05005,-1.423235,328.4887,155.671,217.7713
44.84,-0.033886,2.05005,-1.423235,328.4887,155.671,217.7713
44.84459,-0.033886,2.05005,-1.423235,328.4887,155.671,217.7713
44.84996,-0.033886,2.05005,-1.423235,328.4887,155.671,217.7713
44.85635,-0.033886,2.05005,-1.423235,328.4887,155.671,217.7713
44.86047,-0.033875,2.05005,-1.420647,328.5099,155.6769,217.6867
44.86633,-0.033875,2.05005,-1.420647,328.5099,155.6769,217.6867
44.8712,-0.033875,2.05005,-1.420647,328.5099,155.6769,217.6867
44.87607,-0.033875,2.05005,-1.420647,328.5099,155.6769,217.6867
44.8802,-0.040612,2.05005,-1.412852,328.6343,155.665,217.7551
44.88546,-0.040612,2.05005,-1.412852,328.6343,155.665,217.7551
44.88937,-0.040612,2.05005,-1.412852,328.6343,155.665,217.7551
44.89376,-0.040612,2.05005,-1.412852,328.6343,155.665,217.7551
44.89823,-0.040612,2.05005,-1.412852,328.6343,155.665,217.7551
44.90208,-0.060764,2.05005,-1.392007,328.7223,155.9245,217.6464
44.90815,-0.060764,2.05005,-1.392007,328.7223,155.9245,217.6464
44.91213,-0.060764,2.05005,-1.392007,328.7223,155.9245,217.6464
44.91669,-0.060764,2.05005,-1.392007,328.7223,155.9245,217.6464
44.92122,-0.067431,2.05005,-1.381587,328.7559,155.99,217.5955
44.92562,-0.067431,2.05005,-1.381587,328.7559,155.99,217.5955
44.92955,-0.067431,2.05005,-1.381587,328.7559,155.99,217.5955
44.93405,-0.067431,2.05005,-1.381587,328.7559,155.99,217.5955
44.93837,-0.067431,2.05005,-1.381587,328.7559,155.99,217.5955
44.94237,-0.100383,2.05005,-1.319536,329.0197,155.9887,217.4658
44.94815,-0.100383,2.05005,-1.319536,329.0197,155.9887,217.4658
44.95197,-0.100383,2.05005,-1.319536,329.0197,155.9887,217.4658
44.9563,-0.100383,2.05005,-1.319536,329.0197,155.9887,217.4658
44.96038,-0.11989,2.05005,-1.280839,329.2225,156.097,217.317
44.97173,-0.11989,2.05005,-1.280839,329.2225,156.097,217.317
44.97437,-0.11989,2.05005,-1.280839,329.2225,156.097,217.317
44.97831,-0.11989,2.05005,-1.280839,329.2225,156.097,217.317
44.98274,-0.182628,2.050049,-1.112088,329.8838,156.5639,216.8045
44.98841,-0.182628,2.050049,-1.112088,329.8838,156.5639,216.8045
44.99252,-0.182628,2.050049,-1.112088,329.8838,156.5639,216.8045
44.9973,-0.182628,2.050049,-1.112088,329.8838,156.5639,216.8045
45.00138,-0.210057,2.050048,-1.039728,330.3145,156.7344,216.5896
45.0058,-0.210057,2.050048,-1.039727,330.3145,156.7344,216.5896
45.00996,-0.210057,2.050048,-1.039728,330.3145,156.7344,216.5896
45.01521,-0.210057,2.050048,-1.039728,330.3145,156.7344,216.5896
45.0191,-0.210057,2.050048,-1.039728,330.3145,156.7344,216.5896
45.02315,-0.270278,2.050048,-0.822238,331.4284,157.1798,215.9402
45.02877,-0.270278,2.050048,-0.822238,331.4284,157.1798,215.9402
45.03597,-0.270278,2.050048,-0.822238,331.4284,157.1798,215.9402
45.03905,-0.270278,2.050048,-0.822238,331.4284,157.1798,215.9402
45.04298,-0.292345,2.050047,-0.662463,332.4193,157.4945,215.3921
45.04964,-0.292345,2.050047,-0.662463,332.4193,157.4945,215.3921
45.05369,-0.292345,2.050047,-0.662463,332.4193,157.4945,215.3921
45.05762,-0.292345,2.050047,-0.662463,332.4193,157.4945,215.3921
45.0621,-0.289504,2.050048,-0.512532,333.3577,157.6097,214.8392
45.06826,-0.289504,2.050048,-0.512532,333.3577,157.6097,214.8392
45.0722,-0.289504,2.050048,-0.512532,333.3577,157.6097,214.8392
45.07657,-0.289504,2.050048,-0.512532,333.3577,157.6097,214.8392
45.08104,-0.28657,2.050048,-0.43823,333.6906,157.7163,214.5654
45.08561,-0.28657,2.050048,-0.43823,333.6906,157.7163,214.5654
45.08957,-0.28657,2.050048,-0.43823,333.6906,157.7163,214.5654
45.09407,-0.28657,2.050048,-0.43823,333.6906,157.7163,214.5654
45.09867,-0.28657,2.050048,-0.43823,333.6906,157.7163,214.5654
45.10273,-0.264802,2.050049,-0.255849,334.5128,158.1755,213.823
45.10823,-0.264802,2.050049,-0.255849,334.5128,158.1755,213.823
45.11242,-0.264802,2.050049,-0.255849,334.5128,158.1755,213.823
45.11688,-0.264802,2.050049,-0.255849,334.5128,158.1755,213.823
45.12112,-0.259881,2.050049,-0.2016,334.6907,158.3764,213.6095
45.12638,-0.259881,2.050049,-0.2016,334.6907,158.3764,213.6095
45.13076,-0.259881,2.050049,-0.2016,334.6907,158.3764,213.6095
45.13542,-0.259881,2.050049,-0.2016,334.6907,158.3764,213.6095
45.13993,-0.259881,2.050049,-0.2016,334.6907,158.3764,213.6095
45.14399,-0.240504,2.050049,-0.060704,335.1258,159.0731,213.0466
45.14903,-0.240504,2.050049,-0.060704,335.1258,159.0731,213.0466
45.15362,-0.240504,2.050049,-0.060704,335.1258,159.0731,213.0466
45.15742,-0.240504,2.050049,-0.060704,335.1258,159.0731,213.0466
45.16155,-0.233537,2.050049,-0.022498,335.2525,159.2255,212.9025
45.16652,-0.233537,2.050049,-0.022498,335.2525,159.2255,212.9025
45.17042,-0.233537,2.050049,-0.022498,335.2525,159.2255,212.9025
45.17442,-0.233537,2.050049,-0.022498,335.2525,159.2255,212.9025
45.17823,-0.233537,2.050049,-0.022498,335.2525,159.2255,212.9025
45.18275,-0.22225,2.05005,0.063795,335.434,159.9182,212.5453
45.18813,-0.22225,2.05005,0.063795,335.434,159.9182,212.5453
45.19207,-0.22225,2.05005,0.063795,335.434,159.9182,212.5453
45.19621,-0.22225,2.05005,0.063795,335.434,159.9182,212.5453
45.201,-0.218997,2.05005,0.078333,335.4391,160.1354,212.4124
45.20541,-0.218997,2.05005,0.078333,335.4391,160.1354,212.4124
45.20927,-0.218997,2.05005,0.078333,335.4391,160.1354,212.4124
