experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,interval_time,path_number,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240,1,1,1,1,10.62541,16.26,5,0,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240,1,2,1,2,18.04547,20.68,5,0,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240,1,3,2,1,22.68667,24.92,5,0,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240,1,4,2,2,26.50176,27.96,5,0,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240,1,5,3,1,29.68577,30.5,6,0,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240,1,6,3,2,31.9654,32.74,6,0,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240,1,7,4,1,34.24586,35.14,6,0,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240,1,8,4,2,36.42493,37.04,6,0,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240,1,9,5,1,38.38599,39.2,7,0,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240,1,10,5,2,40.64646,41.26,7,0,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/mentor_left_stylus_movement_T010.csv
guidance_experiment,rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240,1,11,6,1,42.66598,43.28,7,0,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/trainee_right_stylus_movement_T011.csv,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/mentor_left_stylus_movement_T011.csv
guidance_experiment,rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240,1,12,6,2,44.70507,47,7,0,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/trainee_right_stylus_movement_T012.csv,guidance_experiment/rigor-866b4bc3-3169-4e0a-b44a-1c65c5680240/S001/trackers/mentor_left_stylus_movement_T012.csv
