time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.18177,-3.499112,2.05005,-0.049978,319.6845,133.9946,87.70709
10.19021,-3.499112,2.05005,-0.049978,319.6845,133.9946,87.70709
10.19558,-3.499112,2.05005,-0.049978,319.6845,133.9946,87.70709
10.19834,-3.499112,2.05005,-0.049978,319.6845,133.9946,87.70709
10.20051,-3.499112,2.05005,-0.049978,319.6719,134.0699,87.70202
10.20316,-3.499112,2.05005,-0.049978,319.6719,134.0699,87.70202
10.20504,-3.499112,2.05005,-0.049978,319.6719,134.0699,87.70202
10.20725,-3.499112,2.05005,-0.049978,319.6719,134.0699,87.70202
10.20945,-3.499112,2.05005,-0.049978,319.6719,134.0699,87.70202
10.21156,-3.499112,2.05005,-0.049978,319.6719,134.0699,87.70202
10.21418,-3.499112,2.05005,-0.049978,319.6719,134.0699,87.70202
10.21647,-3.499112,2.05005,-0.049978,319.6719,134.0699,87.70202
10.21865,-3.499112,2.05005,-0.049978,319.6719,134.0699,87.70202
10.22054,-3.499112,2.05005,-0.049978,319.756,134.0152,87.76701
10.22302,-3.499112,2.05005,-0.049978,319.756,134.0152,87.76701
10.22511,-3.499112,2.05005,-0.049978,319.756,134.0152,87.76701
10.22716,-3.499112,2.05005,-0.049978,319.756,134.0152,87.76701
10.22928,-3.499112,2.05005,-0.049978,319.756,134.0152,87.76701
10.23137,-3.499112,2.05005,-0.049978,319.756,134.0152,87.76701
10.23329,-3.499112,2.05005,-0.049978,319.756,134.0152,87.76701
10.23511,-3.499112,2.05005,-0.049978,319.756,134.0152,87.76701
10.23694,-3.499112,2.05005,-0.049978,319.756,134.0152,87.76701
10.23892,-3.499112,2.05005,-0.049978,319.756,134.0152,87.76701
10.24084,-3.499112,2.05005,-0.049978,319.756,134.0152,87.84026
10.24338,-3.499112,2.05005,-0.049978,319.756,134.0152,87.84026
10.24539,-3.499112,2.05005,-0.049978,319.756,134.0152,87.84026
10.24795,-3.499112,2.05005,-0.049978,319.756,134.0152,87.84026
10.25002,-3.499112,2.05005,-0.049978,319.756,134.0152,87.84026
10.25205,-3.499112,2.05005,-0.049978,319.756,134.0152,87.84026
10.25406,-3.499112,2.05005,-0.049978,319.756,134.0152,87.84026
10.25606,-3.499112,2.05005,-0.049978,319.756,134.0152,87.84026
10.2583,-3.499112,2.05005,-0.049978,319.756,134.0152,87.84026
10.26022,-3.496288,2.05005,-0.051416,319.8402,133.9369,87.83203
10.26281,-3.496288,2.05005,-0.051416,319.8402,133.9369,87.83203
10.26527,-3.496288,2.05005,-0.051416,319.8402,133.9369,87.83203
10.2674,-3.496288,2.05005,-0.051416,319.8402,133.9369,87.83203
