time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.18177,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.19021,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.19558,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.19834,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.20051,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.20316,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.20504,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.20725,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.20945,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.21156,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.21418,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.21647,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.21865,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.22054,11.02978,2.05005,-0.536567,332.6912,133.3586,250.7418
10.22302,11.02978,2.05005,-0.536567,332.6912,133.3586,250.7418
10.22511,11.02978,2.05005,-0.536567,332.6912,133.3586,250.7418
10.22716,11.02978,2.05005,-0.536567,332.6912,133.3586,250.7418
10.22928,11.02978,2.05005,-0.536567,332.6912,133.3586,250.7418
10.23137,11.02978,2.05005,-0.536567,332.6912,133.3586,250.7418
10.23329,11.02978,2.05005,-0.536567,332.6912,133.3586,250.7418
10.23511,11.02978,2.05005,-0.536567,332.6912,133.3586,250.7418
10.23694,11.02978,2.05005,-0.536567,332.6912,133.3586,250.7418
10.23892,11.02978,2.05005,-0.536567,332.6912,133.3586,250.7418
10.24084,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.24338,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.24539,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.24795,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.25002,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.25205,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.25406,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.25606,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.2583,11.02978,2.05005,-0.536567,332.6185,133.3483,250.8198
10.26022,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.26281,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.26527,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.2674,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.26964,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.27191,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.27391,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.28194,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.28444,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.28674,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.28896,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.29119,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.29314,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.2951,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.29766,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.29964,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.30186,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.30437,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.30799,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.31121,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.31328,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.31524,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.31729,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.31955,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.32164,11.02978,2.05005,-0.536567,332.6185,133.3483,250.7466
10.32416,11.02978,2.05005,-0.536567,332.6185,133.3483,250.7466
10.32621,11.02978,2.05005,-0.536567,332.6185,133.3483,250.7466
10.32823,11.02978,2.05005,-0.536567,332.6185,133.3483,250.7466
10.33043,11.02978,2.05005,-0.536567,332.6185,133.3483,250.7466
10.33223,11.02978,2.05005,-0.536567,332.6185,133.3483,250.7466
10.33408,11.02978,2.05005,-0.536567,332.6185,133.3483,250.7466
10.336,11.02978,2.05005,-0.536567,332.6185,133.3483,250.7466
10.33796,11.02978,2.05005,-0.536567,332.6185,133.3483,250.7466
10.33965,11.02978,2.05005,-0.536567,332.6185,133.3483,250.7466
10.34134,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.344,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.3461,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.3483,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.35028,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.35219,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.35414,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.35571,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.35745,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.35907,11.02978,2.05005,-0.536567,332.6912,133.3586,250.8151
10.36067,11.02978,2.05005,-0.536567,332.6912,133.3586,250.7418
10.36352,11.02978,2.05005,-0.536567,332.6912,133.3586,250.7418
10.36546,11.02978,2.05005,-0.536567,332.6912,133.3586,250.7418
