time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
28.9054,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.91018,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.91477,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.91902,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.92393,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.92896,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.93331,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.93821,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.94295,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.94689,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.95107,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.95554,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.95941,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.96371,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.96852,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.97302,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.97662,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.98126,0,1.244464,2.80571,335.5656,180.0514,210.1733
28.99188,0,1.244464,2.80571,335.5656,180.0514,210.1733
28.99669,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.00074,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.00593,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.01072,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.0158,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.01958,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.02373,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.0287,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.03329,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.03728,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.04168,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.04699,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.05079,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.05923,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.06224,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.06632,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.07131,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.07613,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.08084,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.08517,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.08961,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.09401,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.09773,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.10185,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.10751,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.11173,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.11549,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.11929,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.12365,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.12805,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.13237,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.13658,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.14098,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.14575,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.14991,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.15473,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.1588,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.16331,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.16807,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.17315,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.17818,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.18279,0,1.244464,2.80571,335.6389,180.0515,210.1732
