time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
37.20402,0.027173,2.05005,-1.442877,311.9476,182.076,309.2504
37.20904,0.027173,2.05005,-1.442878,311.9476,182.076,309.2504
37.21402,0.027173,2.05005,-1.442878,311.9476,182.076,309.2504
37.22401,0.027173,2.05005,-1.442878,311.9467,181.9813,309.2839
37.22814,0.027173,2.05005,-1.442878,311.9467,181.9813,309.2839
37.23289,0.027173,2.05005,-1.442878,311.9467,181.9813,309.2839
37.23714,0.027173,2.05005,-1.442878,311.9467,181.9813,309.2839
37.24214,0.027173,2.05005,-1.442878,311.9467,181.9813,309.2839
37.24677,0.027173,2.05005,-1.442878,311.9467,181.9813,309.2839
37.25134,0.027173,2.05005,-1.442878,311.9467,181.9813,309.2839
37.25619,0.027173,2.05005,-1.442878,311.9467,181.9813,309.2839
37.26065,0.027173,2.05005,-1.442878,311.9459,181.8867,309.3175
37.26529,0.027173,2.05005,-1.442878,311.9459,181.8867,309.3175
37.26972,0.027173,2.05005,-1.442878,311.9459,181.8867,309.3175
37.274,0.027173,2.05005,-1.442878,311.9459,181.8867,309.3175
37.2788,0.027173,2.05005,-1.442878,311.9459,181.8867,309.3175
37.28297,0.027173,2.05005,-1.442878,312.0192,181.8853,309.3185
37.28766,0.027173,2.05005,-1.442878,312.0192,181.8853,309.3185
37.29172,0.027173,2.05005,-1.442878,312.0192,181.8853,309.3185
37.29601,0.027173,2.05005,-1.442878,312.0192,181.8853,309.3185
37.30024,0.027165,2.05005,-1.440291,312.0417,181.7897,309.3532
37.30561,0.027165,2.05005,-1.440291,312.0417,181.7897,309.3532
37.30985,0.027165,2.05005,-1.440291,312.0417,181.7897,309.3532
37.31433,0.027165,2.05005,-1.440291,312.0417,181.7897,309.3532
37.31873,0.027165,2.05005,-1.440291,312.0417,181.7897,309.3532
37.32387,0.027156,2.05005,-1.437704,312.0643,181.6943,309.3878
37.32892,0.027156,2.05005,-1.437704,312.0643,181.6943,309.3878
37.33282,0.027156,2.05005,-1.437704,312.0643,181.6943,309.3878
37.33749,0.027156,2.05005,-1.437704,312.0643,181.6943,309.3878
37.34185,0.027156,2.05005,-1.437704,311.9911,181.6956,309.3869
37.34643,0.027156,2.05005,-1.437704,311.9911,181.6956,309.3869
37.35106,0.027156,2.05005,-1.437704,311.9911,181.6956,309.3869
37.35996,0.027156,2.05005,-1.437704,311.9911,181.6956,309.3869
37.36461,0.023754,2.05005,-1.435127,312.0869,181.6225,309.4223
37.36882,0.023754,2.05005,-1.435128,312.0869,181.6225,309.4223
37.3743,0.023754,2.05005,-1.435128,312.0869,181.6225,309.4223
37.37911,0.023754,2.05005,-1.435128,312.0869,181.6225,309.4223
37.38338,0.023747,2.05005,-1.43254,312.037,181.6229,309.4225
37.38868,0.023747,2.05005,-1.43254,312.037,181.6229,309.4225
37.39263,0.023747,2.05005,-1.43254,312.037,181.6229,309.4225
37.39649,0.023747,2.05005,-1.43254,312.037,181.6229,309.4225
37.40149,0.023732,2.05005,-1.427364,312.083,181.5269,309.4579
37.407,0.023732,2.05005,-1.427364,312.083,181.5269,309.4579
37.41112,0.023732,2.05005,-1.427364,312.083,181.5269,309.4579
37.41531,0.023732,2.05005,-1.427364,312.083,181.5269,309.4579
37.41951,0.023732,2.05005,-1.427364,312.083,181.5269,309.4579
37.42398,0.023717,2.05005,-1.422187,312.1297,181.5254,309.4599
37.42851,0.023717,2.05005,-1.422187,312.1297,181.5254,309.4599
37.43315,0.023717,2.05005,-1.422187,312.1297,181.5254,309.4599
37.43752,0.023717,2.05005,-1.422187,312.1297,181.5254,309.4599
37.44152,0.023687,2.05005,-1.411828,312.1491,181.4292,309.4961
37.45395,0.023687,2.05005,-1.411828,312.1491,181.4292,309.4961
37.45639,0.023687,2.05005,-1.411828,312.1491,181.4292,309.4961
37.46001,0.016898,2.05005,-1.401481,312.2425,181.4735,309.5732
37.46524,0.016898,2.05005,-1.401481,312.2425,181.4735,309.5732
37.46948,0.016898,2.05005,-1.401481,312.2425,181.4735,309.5732
37.474,0.016898,2.05005,-1.401481,312.2425,181.4735,309.5732
37.4781,0.016898,2.05005,-1.401481,312.2425,181.4735,309.5732
37.48301,0.003372,2.05005,-1.383348,312.2349,181.3541,309.7888
37.48833,0.003372,2.05005,-1.383348,312.2349,181.3541,309.7888
37.49183,0.003372,2.05005,-1.383348,312.2349,181.3541,309.7888
37.49639,0.003372,2.05005,-1.383348,312.2349,181.3541,309.7888
37.4999,0.003372,2.05005,-1.383348,312.2349,181.3541,309.7888
37.50411,-0.010093,2.05005,-1.364193,312.2742,181.2813,310.1514
37.50917,-0.010093,2.05005,-1.364193,312.2742,181.2813,310.1514
37.51379,-0.010093,2.05005,-1.364193,312.2742,181.2813,310.1514
37.51759,-0.010093,2.05005,-1.364193,312.2742,181.2813,310.1514
37.52248,-0.033452,2.05005,-1.317621,312.4267,181.1366,310.6215
37.52736,-0.033452,2.05005,-1.317621,312.4267,181.1366,310.6215
37.53129,-0.033452,2.05005,-1.317621,312.4267,181.1366,310.6215
37.53527,-0.033452,2.05005,-1.317621,312.4267,181.1366,310.6215
37.53943,-0.033452,2.05005,-1.317621,312.4267,181.1366,310.6215
37.54401,-0.053033,2.050049,-1.243057,312.693,180.9241,311.1931
37.54814,-0.053033,2.050049,-1.243057,312.693,180.9241,311.1931
37.55276,-0.053033,2.050049,-1.243057,312.693,180.9241,311.1931
37.55787,-0.053033,2.050049,-1.243057,312.693,180.9241,311.1931
37.56215,-0.078338,2.050049,-1.1202,313.3132,180.7166,311.6102
37.56673,-0.078338,2.050049,-1.1202,313.3132,180.7166,311.6102
37.57149,-0.078338,2.050049,-1.1202,313.3132,180.7166,311.6102
37.5764,-0.078338,2.050049,-1.1202,313.3132,180.7166,311.6102
37.58017,-0.10555,2.050048,-0.960464,314.4541,180.5021,311.8898
37.585,-0.10555,2.050048,-0.960464,314.4541,180.5021,311.8898
37.59019,-0.10555,2.050048,-0.960464,314.4541,180.5021,311.8898
37.59426,-0.10555,2.050048,-0.960464,314.4541,180.5021,311.8898
37.59808,-0.10555,2.050048,-0.960464,314.4541,180.5021,311.8898
37.60224,-0.134239,2.050046,-0.773757,315.7123,180.284,312.1409
37.60706,-0.134239,2.050046,-0.773757,315.7123,180.284,312.1409
37.61125,-0.134239,2.050046,-0.773757,315.7123,180.284,312.1409
37.61555,-0.134239,2.050046,-0.773757,315.7123,180.284,312.1409
37.62027,-0.152815,2.050046,-0.614112,316.9479,179.9748,312.3123
37.62535,-0.152815,2.050046,-0.614112,316.9479,179.9748,312.3123
37.62957,-0.152815,2.050046,-0.614112,316.9479,179.9748,312.3123
37.63377,-0.152815,2.050046,-0.614112,316.9479,179.9748,312.3123
37.63855,-0.152815,2.050046,-0.614112,316.9479,179.9748,312.3123
37.64199,-0.167543,2.050047,-0.457103,318.1604,179.6378,312.4544
37.64639,-0.167543,2.050047,-0.457103,318.1604,179.6378,312.4544
37.65014,-0.167543,2.050047,-0.457103,318.1604,179.6378,312.4544
37.65503,-0.167543,2.050047,-0.457103,318.1604,179.6378,312.4544
37.65921,-0.167543,2.050047,-0.457103,318.1604,179.6378,312.4544
37.66353,-0.17259,2.050048,-0.29507,319.3468,179.1667,312.5081
37.66921,-0.17259,2.050048,-0.29507,319.3468,179.1667,312.5081
37.6736,-0.17259,2.050048,-0.29507,319.3468,179.1667,312.5081
37.67798,-0.17259,2.050048,-0.29507,319.3468,179.1667,312.5081
37.68235,-0.169394,2.050048,-0.163361,320.4883,178.8827,312.5715
37.68729,-0.169394,2.050048,-0.163361,320.4883,178.8827,312.5715
37.69153,-0.169394,2.050048,-0.163361,320.4883,178.8827,312.5715
37.69609,-0.169394,2.050048,-0.163361,320.4883,178.8827,312.5715
37.70012,-0.165951,2.050048,-0.021469,321.3665,178.6018,312.5542
37.70551,-0.165951,2.050048,-0.021469,321.3665,178.6018,312.5542
37.70921,-0.165951,2.050048,-0.021469,321.3665,178.6018,312.5542
37.71355,-0.165951,2.050048,-0.021469,321.3665,178.6018,312.5542
37.71789,-0.165951,2.050048,-0.021469,321.3665,178.6018,312.5542
37.72292,-0.163183,2.050048,0.092612,322.0299,178.5575,312.3592
37.72718,-0.163183,2.050048,0.092612,322.0299,178.5575,312.3592
37.73133,-0.163183,2.050048,0.092612,322.0299,178.5575,312.3592
37.73526,-0.163183,2.050048,0.092612,322.0299,178.5575,312.3592
37.73987,-0.163183,2.050048,0.092612,322.0299,178.5575,312.3592
37.74434,-0.15773,2.050049,0.205224,322.6934,178.4908,312.0888
37.7485,-0.15773,2.050049,0.205224,322.6934,178.4908,312.0888
37.7523,-0.15773,2.050049,0.205224,322.6934,178.4908,312.0888
37.75675,-0.15773,2.050049,0.205224,322.6934,178.4908,312.0888
37.76107,-0.15535,2.050049,0.30498,323.3133,178.4444,311.6036
37.76555,-0.15535,2.050049,0.30498,323.3133,178.4444,311.6036
37.76986,-0.15535,2.050049,0.30498,323.3133,178.4444,311.6036
37.77434,-0.15535,2.050049,0.30498,323.3133,178.4444,311.6036
37.77898,-0.15535,2.050049,0.30498,323.3133,178.4444,311.6036
37.78322,-0.150586,2.050049,0.393922,323.8899,178.3713,311.1238
37.78834,-0.150586,2.050049,0.393922,323.8899,178.3713,311.1238
37.79247,-0.150586,2.050049,0.393922,323.8899,178.3713,311.1238
37.79626,-0.150586,2.050049,0.393922,323.8899,178.3713,311.1238
37.80074,-0.148524,2.050049,0.481868,324.2928,178.5494,310.6287
37.80661,-0.148524,2.050049,0.481868,324.2928,178.5494,310.6287
37.81104,-0.148524,2.050049,0.481868,324.2928,178.5494,310.6287
37.81498,-0.148524,2.050049,0.481868,324.2928,178.5494,310.6287
37.81999,-0.148524,2.050049,0.481868,324.2928,178.5494,310.6287
37.82432,-0.146525,2.050049,0.567144,324.8192,178.6493,310.2891
37.82872,-0.146525,2.050049,0.567144,324.8192,178.6493,310.2891
37.83271,-0.146525,2.050049,0.567144,324.8192,178.6493,310.2891
37.83717,-0.146525,2.050049,0.567144,324.8192,178.6493,310.2891
37.84148,-0.144716,2.05005,0.644303,325.2991,178.6719,310.0295
37.84612,-0.144716,2.05005,0.644303,325.2991,178.6719,310.0295
37.85015,-0.144716,2.05005,0.644303,325.2991,178.6719,310.0295
37.85471,-0.144716,2.05005,0.644303,325.2991,178.6719,310.0295
37.85854,-0.144716,2.05005,0.644303,325.2991,178.6719,310.0295
37.86243,-0.142626,2.050049,0.733466,325.6558,178.7681,309.7689
37.86672,-0.142626,2.050049,0.733466,325.6558,178.7681,309.7689
37.87137,-0.142626,2.050049,0.733466,325.6558,178.7681,309.7689
37.8754,-0.142626,2.050049,0.733466,325.6558,178.7681,309.7689
37.87922,-0.142626,2.050049,0.733466,325.6558,178.7681,309.7689
37.88294,-0.138258,2.050049,0.814431,326.0393,178.9836,309.2952
37.88874,-0.138258,2.050049,0.814431,326.0393,178.9836,309.2952
37.89318,-0.138258,2.050049,0.814431,326.0393,178.9836,309.2952
37.89766,-0.138258,2.050049,0.814431,326.0393,178.9836,309.2952
