experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,interval_time,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,santa-70c8537d-4549-4d06-a02b-cac515cc4b26,1,1,1,1,8.064314,8.82,5,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,santa-70c8537d-4549-4d06-a02b-cac515cc4b26,1,2,1,2,10.0647,10.76,5,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,santa-70c8537d-4549-4d06-a02b-cac515cc4b26,1,3,2,1,12.36602,13.26,5,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,santa-70c8537d-4549-4d06-a02b-cac515cc4b26,1,4,2,2,14.60718,25.82,5,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,santa-70c8537d-4549-4d06-a02b-cac515cc4b26,1,5,3,1,27.10556,27.74,6,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,santa-70c8537d-4549-4d06-a02b-cac515cc4b26,1,6,3,2,28.9054,29.42,6,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,santa-70c8537d-4549-4d06-a02b-cac515cc4b26,1,7,4,1,30.54642,31.3,6,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,santa-70c8537d-4549-4d06-a02b-cac515cc4b26,1,8,4,2,32.44355,33.1,6,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,santa-70c8537d-4549-4d06-a02b-cac515cc4b26,1,9,5,1,34.86276,35.94,7,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,santa-70c8537d-4549-4d06-a02b-cac515cc4b26,1,10,5,2,37.20402,37.9,7,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/mentor_left_stylus_movement_T010.csv
guidance_experiment,santa-70c8537d-4549-4d06-a02b-cac515cc4b26,1,11,6,1,39.72373,40.62,7,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/trainee_right_stylus_movement_T011.csv,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/mentor_left_stylus_movement_T011.csv
guidance_experiment,santa-70c8537d-4549-4d06-a02b-cac515cc4b26,1,12,6,2,42.54583,42.98,7,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/trainee_right_stylus_movement_T012.csv,guidance_experiment/santa-70c8537d-4549-4d06-a02b-cac515cc4b26/S001/trackers/mentor_left_stylus_movement_T012.csv
