time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.24298,-3.408105,2.05005,-0.037783,314.1395,140.8383,80.50681
10.25358,-3.408105,2.05005,-0.037783,314.1395,140.8383,80.50681
10.25946,-3.408105,2.05005,-0.037783,314.1395,140.8383,80.50681
10.26281,-3.408105,2.05005,-0.037783,314.1395,140.8383,80.43356
10.26712,-3.408105,2.05005,-0.037783,314.1395,140.8383,80.43356
10.27007,-3.408105,2.05005,-0.037783,314.1395,140.8383,80.43356
10.27312,-3.408105,2.05005,-0.037783,314.1395,140.8383,80.43356
10.27619,-3.408105,2.05005,-0.037783,314.1395,140.8383,80.43355
10.28017,-3.408105,2.05005,-0.037783,314.1395,140.8383,80.50681
10.2839,-3.408105,2.05005,-0.037783,314.1395,140.8383,80.50681
10.28701,-3.408105,2.05005,-0.037783,314.1395,140.8383,80.50681
10.28997,-3.408105,2.05005,-0.037783,314.1395,140.8383,80.50681
10.29306,-3.408105,2.05005,-0.037783,314.1395,140.8383,80.50681
10.29646,-3.408105,2.05005,-0.037783,314.1395,140.8383,80.50681
10.30015,-3.408105,2.05005,-0.037783,314.1276,140.916,80.49906
10.30363,-3.408105,2.05005,-0.037783,314.1276,140.916,80.49906
10.30649,-3.408105,2.05005,-0.037783,314.1276,140.916,80.49906
10.3098,-3.408105,2.05005,-0.037783,314.1276,140.916,80.49906
10.31344,-3.408105,2.05005,-0.037783,314.1276,140.916,80.49906
10.32257,-3.408105,2.05005,-0.037783,314.1276,140.916,80.49906
10.3274,-3.408105,2.05005,-0.037783,314.1276,140.916,80.49906
10.33056,-3.408105,2.05005,-0.037783,314.1276,140.916,80.49906
10.33665,-3.408105,2.05005,-0.037783,314.1276,140.916,80.49906
10.33981,-3.408105,2.05005,-0.037783,314.1276,140.916,80.49906
10.34304,-3.408105,2.05005,-0.037783,314.1157,140.9936,80.49131
10.34961,-3.408105,2.05005,-0.037783,314.1157,140.9936,80.49131
10.35241,-3.408105,2.05005,-0.037783,314.1157,140.9936,80.49131
10.35547,-3.408105,2.05005,-0.037783,314.1157,140.9936,80.49131
10.35856,-3.408105,2.05005,-0.037783,314.1157,140.9936,80.49131
10.3617,-3.408105,2.05005,-0.037783,314.1157,140.9936,80.49131
10.36588,-3.408105,2.05005,-0.037783,314.1157,140.9936,80.49131
10.36891,-3.408105,2.05005,-0.037783,314.1157,140.9936,80.49131
10.37233,-3.408105,2.05005,-0.037783,314.1157,140.9936,80.49131
10.37514,-3.408105,2.05005,-0.037783,314.1157,140.9936,80.49131
10.37793,-3.408105,2.05005,-0.037783,314.1157,140.9936,80.49131
10.38133,-3.408105,2.05005,-0.037783,314.1039,141.0713,80.4835
10.38524,-3.408105,2.05005,-0.037783,314.1039,141.0713,80.4835
10.38847,-3.408105,2.05005,-0.037783,314.1039,141.0713,80.4835
10.39124,-3.408105,2.05005,-0.037783,314.1039,141.0713,80.4835
10.39425,-3.408105,2.05005,-0.037783,314.1039,141.0713,80.4835
10.39718,-3.408105,2.05005,-0.037783,314.1039,141.0713,80.4835
10.40042,-3.405286,2.05005,-0.039184,314.092,141.1254,80.47568
10.40461,-3.405286,2.05005,-0.039184,314.092,141.1254,80.47568
10.40758,-3.405286,2.05005,-0.039184,314.092,141.1254,80.47568
10.4106,-3.405286,2.05005,-0.039184,314.092,141.1254,80.47568
10.41383,-3.405286,2.05005,-0.039184,314.092,141.1254,80.47568
10.41724,-3.405286,2.05005,-0.039184,314.092,141.1254,80.47568
10.42056,-3.399646,2.05005,-0.041982,314.0802,141.156,80.46784
10.42412,-3.399646,2.05005,-0.041982,314.0802,141.156,80.46784
10.42701,-3.399646,2.05005,-0.041982,314.0802,141.156,80.46784
10.43008,-3.399646,2.05005,-0.041982,314.0802,141.156,80.46784
10.43373,-3.399646,2.05005,-0.041982,314.0802,141.156,80.46784
10.43701,-3.399646,2.05005,-0.041982,314.0802,141.156,80.46784
10.43996,-3.399646,2.05005,-0.041982,314.0802,141.156,80.46784
10.44261,-3.391182,2.05005,-0.046171,314.0565,141.2644,80.45207
10.44606,-3.391182,2.05005,-0.046171,314.0565,141.2644,80.45207
10.4496,-3.391182,2.05005,-0.046171,314.0565,141.2644,80.45207
10.45312,-3.391182,2.05005,-0.046171,314.0565,141.2644,80.45207
10.45586,-3.391182,2.05005,-0.046171,314.0565,141.2644,80.45207
10.45864,-3.391182,2.05005,-0.046171,314.0565,141.2644,80.45207
10.46137,-3.379888,2.05005,-0.051739,314.0447,141.2479,80.44417
10.46577,-3.379888,2.05005,-0.051739,314.0447,141.2479,80.44417
10.46901,-3.379888,2.05005,-0.051739,314.0447,141.2479,80.44417
10.472,-3.379888,2.05005,-0.051739,314.0447,141.2479,80.44417
10.47501,-3.379888,2.05005,-0.051739,314.0447,141.2479,80.44417
10.47785,-3.379888,2.05005,-0.051739,314.0447,141.2479,80.44417
10.48148,-3.357272,2.05005,-0.06282,314.1761,141.182,80.40403
10.48507,-3.357272,2.05005,-0.06282,314.1761,141.182,80.40403
10.48755,-3.357272,2.05005,-0.06282,314.1761,141.182,80.40403
10.49057,-3.357272,2.05005,-0.06282,314.1761,141.182,80.40403
10.49389,-3.357272,2.05005,-0.06282,314.1761,141.182,80.40403
10.49725,-3.357272,2.05005,-0.06282,314.1761,141.182,80.40403
10.50055,-3.313614,2.05005,-0.080987,314.2223,141.106,80.33385
10.50429,-3.313614,2.05005,-0.080987,314.2223,141.106,80.33385
10.50756,-3.313614,2.05005,-0.080987,314.2223,141.106,80.33385
10.51054,-3.313614,2.05005,-0.080987,314.2223,141.106,80.33385
10.51425,-3.313614,2.05005,-0.080987,314.2223,141.106,80.33385
10.51768,-3.313614,2.05005,-0.080987,314.2223,141.106,80.33385
10.52078,-3.245373,2.050049,-0.113352,314.2353,140.952,80.27765
10.52429,-3.245373,2.050049,-0.113352,314.2353,140.952,80.27765
10.52713,-3.245373,2.050049,-0.113352,314.2353,140.952,80.27765
10.53134,-3.245373,2.050049,-0.113352,314.2353,140.952,80.27765
10.53491,-3.245373,2.050049,-0.113352,314.2353,140.952,80.27765
10.53816,-3.245374,2.050049,-0.113352,314.2353,140.952,80.27765
10.54102,-3.141055,2.050048,-0.157594,314.2007,140.9508,80.07624
10.5452,-3.141055,2.050048,-0.157594,314.2007,140.9508,80.07624
10.5488,-3.141055,2.050048,-0.157594,314.2007,140.9508,80.07624
10.55219,-3.141055,2.050048,-0.157594,314.2007,140.9508,80.07624
