time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.24298,0.959823,2.05005,-0.949829,334.4001,154.6558,333.1729
10.25358,0.959823,2.05005,-0.949829,334.4001,154.6558,333.1729
10.25946,0.959823,2.05005,-0.949829,334.4001,154.6558,333.1729
10.26281,0.959823,2.05005,-0.949829,334.4639,154.8181,332.8463
10.26712,0.959823,2.05005,-0.949829,334.4639,154.8181,332.8463
10.27007,0.959823,2.05005,-0.949829,334.4639,154.8181,332.8463
10.27312,0.959823,2.05005,-0.949829,334.4639,154.8181,332.8463
10.27619,0.959823,2.05005,-0.949829,334.4639,154.8181,332.8463
10.28017,0.963017,2.05005,-0.949434,334.6785,154.8889,332.4576
10.2839,0.963017,2.05005,-0.949434,334.6785,154.8889,332.4576
10.28701,0.963017,2.05005,-0.949434,334.6785,154.8889,332.4576
10.28997,0.963017,2.05005,-0.949434,334.6785,154.8889,332.4576
10.29306,0.963017,2.05005,-0.949434,334.6785,154.8889,332.4576
10.29646,0.963017,2.05005,-0.949434,334.6785,154.8889,332.4576
10.30015,0.962608,2.05005,-0.94614,334.7646,155.0543,331.9765
10.30363,0.962608,2.05005,-0.94614,334.7646,155.0543,331.9765
10.30649,0.962608,2.05005,-0.94614,334.7646,155.0543,331.9765
10.3098,0.962608,2.05005,-0.94614,334.7646,155.0543,331.9765
10.31344,0.962608,2.05005,-0.94614,334.7646,155.0543,331.9765
10.32257,0.962608,2.05005,-0.94614,334.9063,155.143,331.517
10.3274,0.962608,2.05005,-0.94614,334.9063,155.143,331.517
10.33056,0.962608,2.05005,-0.94614,334.9063,155.143,331.517
10.33665,0.962608,2.05005,-0.94614,334.9063,155.143,331.517
10.33981,0.962608,2.05005,-0.94614,334.9063,155.143,331.517
10.34304,0.962526,2.05005,-0.945485,335.1165,155.3151,330.82
10.34961,0.962526,2.05005,-0.945485,335.1165,155.3151,330.82
10.35241,0.962526,2.05005,-0.945485,335.1165,155.3151,330.82
10.35547,0.962526,2.05005,-0.945485,335.1165,155.3151,330.82
10.35856,0.962526,2.05005,-0.945485,335.1165,155.3151,330.82
10.3617,0.962526,2.05005,-0.945485,335.1896,155.3202,330.5981
10.36588,0.962526,2.05005,-0.945485,335.1896,155.3202,330.5981
10.36891,0.962526,2.05005,-0.945485,335.1896,155.3202,330.5981
