time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
28.90448,0,1.244464,2.80571,335.5656,180.0514,210.1733
28.91052,0,1.244464,2.80571,335.5656,180.0514,210.1733
28.91487,0,1.244464,2.80571,335.5656,180.0514,210.1733
28.91837,0,1.244464,2.80571,335.5656,180.0514,210.1733
28.92259,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.92694,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.93017,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.93386,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.93798,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.94194,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.94643,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.95058,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.95468,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.95948,0,1.244464,2.80571,335.6389,180.0515,210.1732
28.96368,0,1.244464,2.80571,335.5656,180.0514,210.1733
28.97118,0,1.244464,2.80571,335.5656,180.0514,210.1733
28.97428,0,1.244464,2.80571,335.5656,180.0514,210.1733
28.97775,0,1.244464,2.80571,335.5656,180.0514,210.1733
28.98095,0,1.244464,2.80571,335.5656,180.0514,210.1733
28.98492,0,1.244464,2.80571,335.5656,180.0514,210.1733
28.99004,0,1.244464,2.80571,335.5656,180.0514,210.1733
28.99476,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.00012,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.00712,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.01497,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.02127,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.02537,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.02975,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.03346,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.03762,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.04166,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.04779,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.05174,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.05544,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.05949,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.06294,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.07054,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.07871,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.08144,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.08626,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.09134,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.09553,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.10059,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.10648,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.11145,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.11597,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.12089,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.12701,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.13107,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.13505,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.13987,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.14347,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.15024,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.15454,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.1587,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.16207,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.1669,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.17145,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.17495,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.17899,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.18318,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.19071,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.19439,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.19849,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.20198,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.20669,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.21045,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.21509,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.21935,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.22363,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.23064,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.23427,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.23801,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.24161,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.24675,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.25081,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.25501,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.25935,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.26318,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.27044,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.27522,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.27969,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.28402,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.28998,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.29356,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.29727,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.30075,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.30544,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.30971,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.31317,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.31753,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.32234,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.32738,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.33136,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.33487,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.33945,0,1.244464,2.80571,335.6389,180.0515,210.1732
