time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
30.56707,0.020527,2.05005,-1.502271,320.2829,127.164,226.834
30.57256,0.020527,2.05005,-1.502271,320.2829,127.164,226.834
30.57716,0.020527,2.05005,-1.502271,320.2829,127.164,226.834
30.58232,0.017074,2.05005,-1.486828,320.3021,127.1563,226.749
30.59273,0.017074,2.05005,-1.486828,320.3021,127.1563,226.749
30.59769,0.017074,2.05005,-1.486828,320.3021,127.1563,226.749
30.60286,0.017047,2.05005,-1.473942,320.3026,127.2064,226.6456
30.60973,0.017047,2.05005,-1.473942,320.3026,127.2064,226.6456
30.61398,0.017047,2.05005,-1.473942,320.3026,127.2064,226.6456
30.62115,0.017031,2.05005,-1.466206,320.3592,127.268,226.5491
30.6291,0.017031,2.05005,-1.466206,320.3592,127.268,226.5491
30.63629,0.017031,2.05005,-1.466206,320.3592,127.268,226.5491
30.63875,0.017031,2.05005,-1.466206,320.3592,127.268,226.5491
30.64233,0.010193,2.05005,-1.445573,320.3321,127.3848,226.3905
30.64658,0.010193,2.05005,-1.445573,320.3321,127.3848,226.3905
30.64993,0.010193,2.05005,-1.445573,320.3321,127.3848,226.3905
30.65389,0.010193,2.05005,-1.445573,320.3321,127.3848,226.3905
30.65875,0.010193,2.05005,-1.445573,320.3321,127.3848,226.3905
30.66231,-0.003384,2.05005,-1.411986,320.3619,127.5871,226.1354
30.66711,-0.003384,2.05005,-1.411986,320.3619,127.5871,226.1354
30.67242,-0.003384,2.05005,-1.411986,320.3619,127.5871,226.1354
30.67588,-0.003384,2.05005,-1.411986,320.3619,127.5871,226.1354
30.6794,-0.003384,2.05005,-1.411986,320.3619,127.5871,226.1354
30.68332,-0.026869,2.05005,-1.350338,320.4646,128.0345,225.6573
30.69261,-0.026869,2.05005,-1.350338,320.4646,128.0345,225.6573
30.70129,-0.040178,2.05005,-1.32489,320.5911,128.3613,225.4015
30.70529,-0.040178,2.05005,-1.32489,320.5911,128.3613,225.4015
30.70887,-0.040178,2.05005,-1.32489,320.5911,128.3613,225.4015
30.71192,-0.040178,2.05005,-1.32489,320.5911,128.3613,225.4015
30.71606,-0.040178,2.05005,-1.32489,320.5911,128.3613,225.4015
30.71991,-0.040178,2.05005,-1.32489,320.5911,128.3613,225.4015
30.72371,-0.069526,2.05005,-1.233797,320.9673,129.1082,224.6436
30.73079,-0.069526,2.05005,-1.233797,320.9673,129.1082,224.6436
30.73437,-0.069526,2.05005,-1.233797,320.9673,129.1082,224.6436
30.73837,-0.069526,2.05005,-1.233797,320.9673,129.1082,224.6436
30.74143,-0.079186,2.05005,-1.206111,321.0681,129.3776,224.4396
30.74567,-0.079186,2.05005,-1.206111,321.0681,129.3776,224.4396
30.74966,-0.079186,2.05005,-1.206111,321.0681,129.3776,224.4396
30.75271,-0.079186,2.05005,-1.206111,321.0681,129.3776,224.4396
30.757,-0.079186,2.05005,-1.206111,321.0681,129.3776,224.4396
30.76178,-0.094979,2.050049,-1.146964,321.3577,129.9271,223.9972
30.76721,-0.094979,2.050049,-1.146964,321.3577,129.9271,223.9972
30.77134,-0.094979,2.050049,-1.146964,321.3577,129.9271,223.9972
30.77533,-0.094979,2.050049,-1.146964,321.3577,129.9271,223.9972
30.78035,-0.106913,2.050049,-1.060884,321.7589,130.6913,223.2604
30.78459,-0.106913,2.050049,-1.060884,321.7589,130.6913,223.2604
30.78832,-0.106913,2.050049,-1.060884,321.7589,130.6913,223.2604
30.79248,-0.106913,2.050049,-1.060884,321.7589,130.6913,223.2604
30.79864,-0.106913,2.050049,-1.060884,321.7589,130.6913,223.2604
30.80446,-0.122907,2.050046,-0.8459,322.7719,132.438,221.5853
30.8139,-0.122907,2.050046,-0.8459,322.7719,132.438,221.5853
30.81786,-0.122907,2.050046,-0.8459,322.7719,132.438,221.5853
30.82154,-0.130866,2.050046,-0.759238,323.2582,133.1453,220.9016
30.82553,-0.130866,2.050045,-0.759238,323.2582,133.1453,220.9016
30.82928,-0.130866,2.050046,-0.759238,323.2582,133.1453,220.9016
30.83265,-0.130866,2.050046,-0.759238,323.2582,133.1453,220.9016
30.8364,-0.130866,2.050046,-0.759238,323.2582,133.1453,220.9016
30.84078,-0.151813,2.050045,-0.565365,324.244,134.7294,219.3896
30.84541,-0.151813,2.050045,-0.565365,324.244,134.7294,219.3896
