experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,interval_time,path_number,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf,1,1,1,1,5.800215,6.88,5,1,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf,1,2,1,2,8.803687,15.2,5,1,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf,1,3,2,1,17.04348,18.24,5,2,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf,1,4,2,2,19.56774,20.32,5,2,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf,1,5,3,1,21.60939,22.2,6,3,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf,1,6,3,2,23.40268,23.92,6,3,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf,1,7,4,1,25.02774,26.02,6,1,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf,1,8,4,2,27.20759,27.7,6,1,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf,1,9,5,1,28.90448,29.34,7,2,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf,1,10,5,2,30.56707,31.08,7,2,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/mentor_left_stylus_movement_T010.csv
guidance_experiment,spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf,1,11,6,1,32.20518,32.62,7,3,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/trainee_right_stylus_movement_T011.csv,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/mentor_left_stylus_movement_T011.csv
guidance_experiment,spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf,1,12,6,2,33.90719,35.28,7,3
,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/trainee_right_stylus_movement_T012.csv,guidance_experiment/spoil-ba240d36-2382-4068-a0ef-80c9c54cfcbf/S001/trackers/mentor_left_stylus_movement_T012.csv
