time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
13.56696,-1.305869,2.05005,-0.686734,331.9976,138.1943,354.9986
13.57679,-1.305869,2.05005,-0.686734,331.9976,138.1943,354.9986
13.58794,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.59386,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.59816,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.60358,-1.305869,2.05005,-0.686734,331.9976,138.1943,354.9986
13.61035,-1.305869,2.05005,-0.686734,331.9976,138.1943,354.9986
13.6158,-1.305869,2.05005,-0.686734,331.9976,138.1943,354.9986
13.6209,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.62672,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.63143,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.63515,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.64036,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.64524,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.64986,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.65463,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.65933,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.66405,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.66916,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.67426,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.67881,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.68309,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.68936,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.69676,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.70048,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.70508,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.71143,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.71614,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.72099,-1.305869,2.05005,-0.686734,331.9976,138.1943,354.9986
13.72647,-1.305869,2.05005,-0.686734,331.9976,138.1943,354.9986
13.7371,-1.305869,2.05005,-0.686734,331.9976,138.1943,354.9986
13.74397,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.74973,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.7542,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.75905,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.76347,-1.305869,2.05005,-0.686734,331.9976,138.1943,354.9986
13.76859,-1.305869,2.05005,-0.686734,331.9976,138.1943,354.9986
13.77372,-1.305869,2.05005,-0.686734,331.9976,138.1943,354.9986
13.77749,-1.305869,2.05005,-0.686734,331.9976,138.1943,354.9986
13.78162,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.78653,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.7914,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.79611,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.8009,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.80576,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.80995,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.81451,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.81959,-1.305869,2.05005,-0.686734,331.9976,138.1943,355.0718
13.82415,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
13.82842,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
13.83306,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
13.83751,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
13.84197,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.84667,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.85106,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.85567,-1.305869,2.05005,-0.686734,332.0695,138.21,355.0645
13.8605,-1.308955,2.05005,-0.686196,331.9976,138.2178,354.9986
13.8657,-1.308955,2.05005,-0.686196,331.9976,138.2178,354.9986
13.87036,-1.308955,2.05005,-0.686196,331.9976,138.2178,354.9986
13.87455,-1.308955,2.05005,-0.686196,331.9976,138.2178,354.9986
13.87914,-1.308955,2.05005,-0.686196,331.9976,138.2178,354.9986
13.88354,-1.308955,2.05005,-0.686196,331.9976,138.2178,354.9986
13.89192,-1.308955,2.05005,-0.686196,331.9976,138.2178,354.9986
13.89777,-1.308955,2.05005,-0.686196,331.9976,138.2178,354.9986
13.90123,-1.308955,2.05005,-0.686196,332.0695,138.2336,355.0645
13.90648,-1.308955,2.05005,-0.686196,332.0695,138.2336,355.0645
13.91248,-1.308955,2.05005,-0.686196,332.0695,138.2336,355.0645
13.91661,-1.308955,2.05005,-0.686196,332.0695,138.2336,355.0645
13.92125,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
13.92725,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
13.93154,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
13.93555,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
13.94067,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
13.94526,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
13.94946,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
13.95314,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
13.95821,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
13.9628,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
13.96807,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
13.97379,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
13.97833,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
13.98295,-1.308955,2.05005,-0.686196,332.0107,138.141,355.0836
13.98913,-1.308955,2.05005,-0.686196,332.0107,138.141,355.0836
13.99322,-1.308955,2.05005,-0.686196,332.0107,138.141,355.0836
13.99796,-1.308955,2.05005,-0.686196,332.0107,138.141,355.0836
14.00246,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
14.00775,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
14.01196,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
14.01617,-1.308955,2.05005,-0.686196,331.9976,138.2178,355.0718
14.02156,-1.308955,2.05005,-0.686196,331.9976,138.2178,354.9986
14.02693,-1.308955,2.05005,-0.686196,331.9976,138.2178,354.9986
14.03137,-1.308955,2.05005,-0.686196,331.9976,138.2178,354.9986
14.03652,-1.308955,2.05005,-0.686196,331.9976,138.2178,354.9986
14.04454,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.04798,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.05238,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.05762,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.06195,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.06652,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.07142,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.0759,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.08054,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.08556,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.09028,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.09487,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.10385,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.10972,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.11424,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.11842,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.12385,-1.3085,2.05005,-0.683591,332.0121,138.2276,354.9778
14.12993,-1.3085,2.05005,-0.683591,332.0121,138.2276,354.9778
14.13426,-1.3085,2.05005,-0.683591,332.0121,138.2276,354.9778
14.13969,-1.3085,2.05005,-0.683591,332.0121,138.2276,354.9778
14.1441,-1.3085,2.05005,-0.683591,332.0121,138.2276,354.9778
14.14982,-1.3085,2.05005,-0.683591,332.0121,138.2276,354.9778
14.15426,-1.3085,2.05005,-0.683591,332.0121,138.2276,354.9778
14.15913,-1.3085,2.05005,-0.683591,332.0121,138.2276,354.9778
14.16347,-1.3085,2.05005,-0.683591,332.0121,138.2276,354.9778
14.16815,-1.3085,2.05005,-0.683591,332.0121,138.2276,354.9778
14.17324,-1.3085,2.05005,-0.683591,332.0121,138.2276,354.9778
14.17722,-1.3085,2.05005,-0.683591,332.0121,138.2276,354.9778
14.1816,-1.3085,2.05005,-0.683591,332.0252,138.1508,355.0628
14.18707,-1.3085,2.05005,-0.683591,332.0252,138.1508,355.0628
14.19499,-1.3085,2.05005,-0.683591,332.0252,138.1508,355.0628
14.19763,-1.3085,2.05005,-0.683591,332.0252,138.1508,355.0628
14.20235,-1.3085,2.05005,-0.683591,331.9402,138.2118,354.9853
14.20765,-1.3085,2.05005,-0.683591,331.9402,138.2118,354.9853
14.21187,-1.3085,2.05005,-0.683591,331.9402,138.2118,354.9853
14.21615,-1.3085,2.05005,-0.683591,331.9402,138.2118,354.9853
14.2205,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.22594,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.2303,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.23485,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.23945,-1.3085,2.05005,-0.683591,332.0121,138.2276,355.0511
14.2438,-1.3085,2.05005,-0.683591,332.0252,138.1508,355.0628
14.2496,-1.3085,2.05005,-0.683591,332.0252,138.1508,355.0628
14.25318,-1.3085,2.05005,-0.683591,332.0252,138.1508,355.0628
14.25681,-1.3085,2.05005,-0.683591,332.0252,138.1508,355.0628
14.26143,-1.308955,2.05005,-0.686196,331.9257,138.2021,355.006
14.26647,-1.308955,2.05005,-0.686196,331.9257,138.2021,355.006
14.27087,-1.308955,2.05005,-0.686196,331.9257,138.2021,355.006
14.27486,-1.308955,2.05005,-0.686196,331.9257,138.2021,355.006
14.28012,-1.308955,2.05005,-0.686196,332.0695,138.2336,355.0645
14.2847,-1.308955,2.05005,-0.686196,332.0695,138.2336,355.0645
14.28971,-1.308954,2.05005,-0.686196,332.0695,138.2336,355.0645
14.29375,-1.308955,2.05005,-0.686196,332.0695,138.2336,355.0645
14.29783,-1.308955,2.05005,-0.686196,332.0695,138.2336,355.0645
14.30541,-1.308955,2.05005,-0.686196,332.0107,138.141,355.0836
14.31126,-1.308955,2.05005,-0.686196,332.0107,138.141,355.0836
14.31538,-1.308955,2.05005,-0.686196,332.0107,138.141,355.0836
14.31967,-1.308955,2.05005,-0.686196,332.0107,138.141,355.0836
14.32583,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.33044,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.33442,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.33851,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.34551,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.34931,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.35355,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.36002,-1.305869,2.05005,-0.686734,332.0107,138.1175,355.0103
14.36458,-1.305869,2.05005,-0.686734,332.0107,138.1175,355.0103
14.36879,-1.305869,2.05005,-0.686734,332.0107,138.1175,355.0103
14.37375,-1.305869,2.05005,-0.686734,332.0107,138.1175,355.0103
14.37742,-1.305869,2.05005,-0.686734,332.0107,138.1175,355.0103
14.38178,-1.305869,2.05005,-0.686734,331.9388,138.1017,355.091
14.38775,-1.305869,2.05005,-0.686734,331.9388,138.1017,355.091
14.39228,-1.305869,2.05005,-0.686734,331.9388,138.1017,355.091
14.39624,-1.305869,2.05005,-0.686734,331.9388,138.1017,355.091
14.40048,-1.305869,2.05005,-0.686734,332.0107,138.1175,355.0103
14.40595,-1.305869,2.05005,-0.686734,332.0107,138.1175,355.0103
14.40994,-1.305869,2.05005,-0.686734,332.0107,138.1175,355.0103
14.41375,-1.305869,2.05005,-0.686734,332.0107,138.1175,355.0103
14.4173,-1.305869,2.05005,-0.686734,332.0107,138.1175,355.0103
14.42173,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.43393,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.43647,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.44072,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.44544,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.44952,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.4536,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.45792,-1.305869,2.05005,-0.686734,332.0107,138.1174,355.0836
14.46246,-1.305869,2.05005,-0.686734,332.0107,138.1175,355.0103
14.46751,-1.305869,2.05005,-0.686734,332.0107,138.1175,355.0103
14.47207,-1.305869,2.05005,-0.686734,332.0107,138.1175,355.0103
14.4762,-1.305869,2.05005,-0.686734,332.0107,138.1175,355.0103
14.48062,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0836
14.48533,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0836
14.48977,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0836
14.49635,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0836
14.50017,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0103
14.50925,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0103
14.51283,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0103
14.51688,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0103
14.52132,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0836
14.52737,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0836
14.53174,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0836
14.53587,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0836
14.54067,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0103
14.54559,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0103
14.54967,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0103
14.55379,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0103
14.5586,-1.302783,2.05005,-0.68727,332.0107,138.0939,355.0103
14.56282,-1.302594,2.05005,-0.686181,332.0107,138.0939,355.0103
