timestamp,log_type,message,stacktrace
0,Exception,IOException: The port `COM10' does not exist.,System.IO.Ports.WinSerialStream.ReportIOError (System.String optional_arg) (at <a971fed4bf844502b6501dbde9cced46>:0).  System.IO.Ports.WinSerialStream..ctor (System.String port_name System.Int32 baud_rate System.Int32 data_bits System.IO.Ports.Parity parity System.IO.Ports.StopBits sb System.Boolean dtr_enable System.Boolean rts_enable System.IO.Ports.Handshake hs System.Int32 read_timeout System.Int32 write_timeout System.Int32 read_buffer_size System.Int32 write_buffer_size) (at <a971fed4bf844502b6501dbde9cced46>:0).  (wrapper remoting-invoke-with-check) System.IO.Ports.WinSerialStream..ctor(stringintintSystem.IO.Ports.ParitySystem.IO.Ports.StopBitsboolboolSystem.IO.Ports.Handshakeintintintint).  System.IO.Ports.SerialPort.Open () (at <a971fed4bf844502b6501dbde9cced46>:0).  (wrapper remoting-invoke-with-check) System.IO.Ports.SerialPort.Open().  ProvideGuidance.Start () (at Assets/Scripts/ProvideGuidance.cs:29).  
0,Error,Haptic(Left Device) HD_Error : 260 The device handle passed into an operation is not valid.,UnityEngine.Debug:LogError (object).  HapticPlugin:checkErrors () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:395).  HapticPlugin:FixedUpdate () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:310).  
0,Error,Haptic(Right Device) HD_Error : 772 Unable to start or maintain the servo loop timer.,UnityEngine.Debug:LogError (object).  HapticPlugin:checkErrors () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:395).  HapticPlugin:FixedUpdate () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:310).  
0,Log,Look rotation viewing vector is zero,UnityEngine.Quaternion:LookRotation (UnityEngine.Vector3UnityEngine.Vector3).  HapticPlugin:QuaternionFromMatrix (UnityEngine.Matrix4x4) (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:384).  HapticPlugin:updateDevice () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:502).  HapticPlugin:safeUpdateManipulator () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:634).  HapticPlugin:startSafetyMode () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:369).  HapticPluginSafetyScript:Update () (at Assets/OpenHaptics/HapticScripts/HapticPluginSafetyScript.cs:43).  
0,Log,Look rotation viewing vector is zero,UnityEngine.Quaternion:LookRotation (UnityEngine.Vector3UnityEngine.Vector3).  HapticPlugin:QuaternionFromMatrix (UnityEngine.Matrix4x4) (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:384).  HapticPlugin:updateDevice () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:502).  HapticPlugin:safeUpdateManipulator () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:634).  HapticPlugin:startSafetyMode () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:369).  HapticPluginSafetyScript:Update () (at Assets/OpenHaptics/HapticScripts/HapticPluginSafetyScript.cs:43).  
0.02,Error,Haptic(Left Device) HD_Error : 768 Device fault.  Check that the device is connected properly and activated.,UnityEngine.Debug:LogError (object).  HapticPlugin:checkErrors () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:395).  HapticPlugin:FixedUpdate () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:310).  
0.02,Log,Look rotation viewing vector is zero,UnityEngine.Quaternion:LookRotation (UnityEngine.Vector3UnityEngine.Vector3).  HapticPlugin:QuaternionFromMatrix (UnityEngine.Matrix4x4) (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:384).  HapticPlugin:updateDevice () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:502).  HapticPlugin:safeUpdateManipulator () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:634).  HapticPlugin:startSafetyMode () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:369).  HapticPluginSafetyScript:Update () (at Assets/OpenHaptics/HapticScripts/HapticPluginSafetyScript.cs:43).  
0.02,Log,Look rotation viewing vector is zero,UnityEngine.Quaternion:LookRotation (UnityEngine.Vector3UnityEngine.Vector3).  HapticPlugin:QuaternionFromMatrix (UnityEngine.Matrix4x4) (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:384).  HapticPlugin:updateDevice () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:502).  HapticPlugin:safeUpdateManipulator () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:634).  HapticPlugin:startSafetyMode () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:369).  HapticPluginSafetyScript:Update () (at Assets/OpenHaptics/HapticScripts/HapticPluginSafetyScript.cs:43).  
0.3533334,Log,Look rotation viewing vector is zero,UnityEngine.Quaternion:LookRotation (UnityEngine.Vector3UnityEngine.Vector3).  HapticPlugin:QuaternionFromMatrix (UnityEngine.Matrix4x4) (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:384).  HapticPlugin:updateDevice () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:502).  HapticPlugin:safeUpdateManipulator () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:634).  HapticPlugin:startSafetyMode () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:369).  HapticPluginSafetyScript:Update () (at Assets/OpenHaptics/HapticScripts/HapticPluginSafetyScript.cs:43).  
0.3533334,Log,Look rotation viewing vector is zero,UnityEngine.Quaternion:LookRotation (UnityEngine.Vector3UnityEngine.Vector3).  HapticPlugin:QuaternionFromMatrix (UnityEngine.Matrix4x4) (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:384).  HapticPlugin:updateDevice () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:502).  HapticPlugin:safeUpdateManipulator () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:634).  HapticPlugin:startSafetyMode () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:369).  HapticPluginSafetyScript:Update () (at Assets/OpenHaptics/HapticScripts/HapticPluginSafetyScript.cs:43).  
