time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
6.185155,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.67709
6.192899,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.67709
6.198665,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.67709
6.201215,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.60384
6.204924,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.60384
6.207446,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.60384
6.210291,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.60384
6.212899,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.60384
6.215549,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.60384
6.218315,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.60384
6.221485,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.60384
6.224518,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.60384
6.227462,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.60384
6.230389,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.60384
6.23305,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.60384
6.236152,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.60384
6.238913,-3.4557,2.05005,-0.076534,328.2384,152.6087,92.60384
6.24337,-3.455701,2.05005,-0.076534,328.3101,152.6264,92.66778
6.247439,-3.4557,2.05005,-0.076534,328.3101,152.6264,92.66778
6.249743,-3.4557,2.05005,-0.076534,328.3101,152.6264,92.66778
6.253198,-3.4557,2.05005,-0.076534,328.3101,152.6264,92.66778
6.255736,-3.4557,2.05005,-0.076534,328.3101,152.6264,92.66778
6.258216,-3.4557,2.05005,-0.076534,328.3101,152.6264,92.66778
6.260869,-3.452865,2.05005,-0.077954,328.2962,152.6803,92.58269
6.264321,-3.452865,2.05005,-0.077954,328.2962,152.6803,92.58269
6.267294,-3.452865,2.05005,-0.077954,328.2962,152.6803,92.58269
6.269973,-3.452865,2.05005,-0.077954,328.2962,152.6803,92.58269
6.272606,-3.452865,2.05005,-0.077954,328.2962,152.6803,92.58269
6.275088,-3.452865,2.05005,-0.077954,328.2962,152.6803,92.58269
6.27828,-3.452865,2.05005,-0.077954,328.2962,152.6803,92.58269
6.28122,-3.447661,2.05005,-0.081728,328.3818,152.5734,92.58525
6.284439,-3.447661,2.05005,-0.081728,328.3818,152.5734,92.58525
6.28703,-3.447661,2.05005,-0.081728,328.3818,152.5734,92.58525
6.289847,-3.447661,2.05005,-0.081728,328.3818,152.5734,92.58525
6.292627,-3.447661,2.05005,-0.081728,328.3818,152.5734,92.58525
6.295746,-3.447661,2.05005,-0.081728,328.3818,152.5734,92.58525
6.298791,-3.447661,2.05005,-0.081728,328.3818,152.5734,92.58525
6.301296,-3.436309,2.05005,-0.087389,328.3679,152.5566,92.64665
6.304244,-3.436308,2.05005,-0.087389,328.3679,152.5566,92.64665
6.306843,-3.436309,2.05005,-0.087389,328.3679,152.5566,92.64665
6.309375,-3.436309,2.05005,-0.087389,328.3679,152.5566,92.64665
6.312002,-3.436309,2.05005,-0.087389,328.3679,152.5566,92.64665
6.315111,-3.436308,2.05005,-0.087389,328.3679,152.5566,92.64665
6.317583,-3.436309,2.05005,-0.087389,328.3679,152.5566,92.64665
6.320017,-3.424914,2.05005,-0.100112,328.4121,152.4333,92.68168
6.324984,-3.424914,2.05005,-0.100112,328.4121,152.4333,92.68168
6.327773,-3.424913,2.05005,-0.100112,328.4121,152.4333,92.68168
6.331204,-3.424913,2.05005,-0.100112,328.4121,152.4333,92.68168
6.333957,-3.424913,2.05005,-0.100112,328.4121,152.4333,92.68168
6.336604,-3.424913,2.05005,-0.100112,328.4121,152.4333,92.68168
6.339118,-3.424913,2.05005,-0.100112,328.4121,152.4333,92.68168
6.341557,-3.410811,2.05005,-0.12179,328.3154,152.3887,92.69527
6.344951,-3.410811,2.05005,-0.12179,328.3154,152.3887,92.69527
6.347504,-3.410811,2.05005,-0.12179,328.3154,152.3887,92.69527
6.350228,-3.410811,2.05005,-0.12179,328.3154,152.3887,92.69527
6.352912,-3.410811,2.05005,-0.12179,328.3154,152.3887,92.69527
6.355593,-3.410811,2.05005,-0.12179,328.3154,152.3887,92.69527
6.358346,-3.410811,2.05005,-0.12179,328.3154,152.3887,92.69527
6.362084,-3.395504,2.05005,-0.155716,328.2052,152.0598,92.94587
6.36644,-3.395504,2.05005,-0.155716,328.2052,152.0598,92.94587
6.368919,-3.395504,2.05005,-0.155716,328.2052,152.0598,92.94587
6.371414,-3.395504,2.05005,-0.155716,328.2052,152.0598,92.94587
6.374276,-3.395504,2.05005,-0.155716,328.2052,152.0598,92.94587
6.377115,-3.395504,2.05005,-0.155716,328.2052,152.0598,92.94587
6.380596,-3.375214,2.05005,-0.201834,328.1545,151.852,93.09505
6.384672,-3.375214,2.05005,-0.201834,328.1545,151.852,93.09505
6.388,-3.375214,2.05005,-0.201834,328.1545,151.852,93.09505
6.390635,-3.375214,2.05005,-0.201834,328.1545,151.852,93.09505
6.394889,-3.375214,2.05005,-0.201834,328.1545,151.852,93.09505
6.397657,-3.375214,2.05005,-0.201834,328.1545,151.852,93.09505
6.400119,-3.345392,2.050049,-0.273733,328.0066,151.3975,93.5453
6.405296,-3.345392,2.050049,-0.273733,328.0066,151.3975,93.5453
6.407687,-3.345392,2.050049,-0.273733,328.0066,151.3975,93.5453
6.411956,-3.345392,2.050049,-0.273733,328.0066,151.3975,93.5453
6.414418,-3.345392,2.050049,-0.273733,328.0066,151.3975,93.5453
6.417166,-3.345392,2.050049,-0.273733,328.0066,151.3975,93.5453
6.420076,-3.314418,2.05005,-0.344982,327.7404,151.1333,93.81907
6.424221,-3.314417,2.050049,-0.344982,327.7404,151.1333,93.81907
6.427435,-3.314417,2.050049,-0.344982,327.7404,151.1333,93.81907
6.429995,-3.314417,2.050049,-0.344982,327.7404,151.1333,93.81907
6.432531,-3.314417,2.050049,-0.344982,327.7404,151.1333,93.81907
6.435722,-3.314417,2.050049,-0.344982,327.7404,151.1333,93.81907
6.43805,-3.314417,2.050049,-0.344982,327.7404,151.1333,93.81907
6.44109,-3.283906,2.050049,-0.434948,327.4451,150.7546,94.31749
6.44503,-3.283906,2.050049,-0.434948,327.4451,150.7546,94.31749
6.447318,-3.283906,2.050049,-0.434948,327.4451,150.7546,94.31749
6.449903,-3.283906,2.050049,-0.434948,327.4451,150.7546,94.31749
6.452844,-3.283906,2.050049,-0.434948,327.4451,150.7546,94.31749
6.456038,-3.283906,2.050049,-0.434948,327.4451,150.7546,94.31749
6.458883,-3.283906,2.050049,-0.434948,327.4451,150.7546,94.31749
6.461864,-3.253109,2.050049,-0.527087,326.9552,150.5941,94.71121
6.465577,-3.253109,2.050049,-0.527087,326.9552,150.5941,94.71121
6.468593,-3.253109,2.050049,-0.527087,326.9552,150.5941,94.71121
6.471636,-3.253109,2.050049,-0.527087,326.9552,150.5941,94.71121
6.474661,-3.253109,2.050049,-0.527087,326.9552,150.5941,94.71121
6.47734,-3.253109,2.050049,-0.527087,326.9552,150.5941,94.71121
6.479862,-3.253109,2.050049,-0.527087,326.9552,150.5941,94.71121
6.482772,-3.226681,2.050049,-0.623893,326.4674,150.6091,94.95563
6.485497,-3.226681,2.050049,-0.623893,326.4674,150.6091,94.95563
6.488694,-3.226681,2.050048,-0.623892,326.4674,150.6091,94.95563
6.492211,-3.226681,2.050049,-0.623893,326.4674,150.6091,94.95563
6.495336,-3.226681,2.050049,-0.623893,326.4674,150.6091,94.95563
6.498531,-3.226681,2.050049,-0.623893,326.4674,150.6091,94.95563
6.501256,-3.20012,2.050049,-0.714901,325.8786,150.7951,94.92914
6.504404,-3.20012,2.050049,-0.714901,325.8786,150.7951,94.92914
6.507451,-3.20012,2.050048,-0.714901,325.8786,150.7951,94.92914
6.510095,-3.20012,2.050049,-0.714901,325.8786,150.7951,94.92914
6.512811,-3.20012,2.050049,-0.714901,325.8786,150.7951,94.92914
6.515936,-3.20012,2.050049,-0.714901,325.8786,150.7951,94.92914
6.518931,-3.20012,2.050049,-0.714901,325.8786,150.7951,94.92914
6.521449,-3.16899,2.050048,-0.815448,325.2883,150.999,94.63426
6.525553,-3.16899,2.050048,-0.815448,325.2883,150.999,94.63426
6.528639,-3.16899,2.050048,-0.815448,325.2883,150.999,94.63426
6.530988,-3.16899,2.050048,-0.815448,325.2883,150.999,94.63426
6.534194,-3.16899,2.050048,-0.815448,325.2883,150.999,94.63426
6.537256,-3.16899,2.050048,-0.815448,325.2883,150.999,94.63426
6.539896,-3.16899,2.050048,-0.815448,325.2883,150.999,94.63426
6.542439,-3.134368,2.050048,-0.910925,324.7665,151.3344,94.39383
6.546226,-3.134368,2.050048,-0.910925,324.7665,151.3344,94.39383
6.548851,-3.134368,2.050048,-0.910925,324.7665,151.3344,94.39383
6.551221,-3.134368,2.050048,-0.910925,324.7665,151.3344,94.39383
6.554118,-3.134368,2.050048,-0.910925,324.7665,151.3344,94.39383
6.556484,-3.134368,2.050048,-0.910925,324.7665,151.3344,94.39383
6.558908,-3.134368,2.050048,-0.910925,324.7665,151.3344,94.39383
6.562278,-3.098852,2.050047,-1.007519,324.1614,151.65,93.92932
6.565942,-3.098852,2.050047,-1.007519,324.1614,151.65,93.92932
6.568921,-3.098852,2.050047,-1.007519,324.1614,151.65,93.92932
6.571574,-3.098852,2.050047,-1.007519,324.1614,151.65,93.92932
6.574159,-3.098852,2.050047,-1.007519,324.1614,151.65,93.92932
6.583201,-3.058529,2.050048,-1.095174,323.5743,151.9959,93.40258
6.586142,-3.058529,2.050048,-1.095174,323.5743,151.9959,93.40258
6.588561,-3.058529,2.050047,-1.095174,323.5743,151.9959,93.40258
6.591279,-3.058529,2.050048,-1.095174,323.5743,151.9959,93.40258
6.595102,-3.058529,2.050048,-1.095174,323.5743,151.9959,93.40258
6.598059,-3.058529,2.050048,-1.095174,323.5743,151.9959,93.40258
6.601004,-3.018067,2.050048,-1.165702,323.104,152.4044,92.79925
6.604624,-3.018066,2.050048,-1.165702,323.104,152.4044,92.79925
6.607253,-3.018066,2.050048,-1.165702,323.104,152.4044,92.79925
6.610671,-3.018067,2.050048,-1.165702,323.104,152.4044,92.79925
6.61344,-3.018066,2.050048,-1.165702,323.104,152.4044,92.79925
6.616632,-3.018067,2.050048,-1.165702,323.104,152.4044,92.79925
6.619361,-3.018067,2.050048,-1.165702,323.104,152.4044,92.79925
6.621994,-2.968089,2.050049,-1.222859,322.6866,152.9427,92.05039
6.626389,-2.968089,2.050049,-1.222859,322.6866,152.9427,92.05039
6.628789,-2.968089,2.050049,-1.222859,322.6866,152.9427,92.05039
6.631085,-2.968089,2.050049,-1.222859,322.6866,152.9427,92.05039
6.633956,-2.968089,2.050049,-1.222859,322.6866,152.9427,92.05039
6.636587,-2.968089,2.050049,-1.222859,322.6866,152.9427,92.05039
6.6391,-2.968089,2.050049,-1.222859,322.6866,152.9427,92.05039
6.642353,-2.916333,2.050048,-1.276753,322.2919,153.7053,91.30108
6.645575,-2.916333,2.050048,-1.276754,322.2919,153.7053,91.30108
6.648434,-2.916333,2.050048,-1.276754,322.2919,153.7053,91.30108
6.650808,-2.916333,2.050048,-1.276754,322.2919,153.7053,91.30108
6.653325,-2.916333,2.050048,-1.276754,322.2919,153.7053,91.30108
6.657149,-2.916333,2.050048,-1.276754,322.2919,153.7053,91.30108
6.659654,-2.916333,2.050048,-1.276754,322.2919,153.7053,91.30108
6.662486,-2.861044,2.050049,-1.32216,321.8945,154.5734,90.41637
6.666249,-2.861045,2.050049,-1.32216,321.8945,154.5734,90.41637
6.668601,-2.861044,2.050049,-1.32216,321.8945,154.5734,90.41637
6.670972,-2.861045,2.050049,-1.32216,321.8945,154.5734,90.41637
6.674509,-2.861045,2.050049,-1.32216,321.8945,154.5734,90.41637
6.678405,-2.861045,2.050049,-1.32216,321.8945,154.5734,90.41637
6.680924,-2.808832,2.050049,-1.355801,321.5137,155.4417,89.39812
6.684268,-2.808832,2.050049,-1.355801,321.5137,155.4417,89.39812
6.687158,-2.808832,2.050049,-1.355801,321.5137,155.4417,89.39812
6.690342,-2.808832,2.050049,-1.355801,321.5137,155.4417,89.39812
6.693178,-2.808832,2.050049,-1.355801,321.5137,155.4417,89.39812
6.696589,-2.808832,2.050049,-1.355801,321.5137,155.4417,89.39812
6.69916,-2.808832,2.050049,-1.355801,321.5137,155.4417,89.39812
6.702512,-2.76672,2.050049,-1.375492,321.1177,156.4033,88.46715
6.705872,-2.76672,2.050049,-1.375492,321.1177,156.4033,88.46715
6.708728,-2.76672,2.050049,-1.375492,321.1177,156.4033,88.46715
6.712361,-2.76672,2.050049,-1.375492,321.1177,156.4033,88.46715
6.714863,-2.76672,2.050049,-1.375492,321.1177,156.4033,88.46715
6.717374,-2.76672,2.050049,-1.375492,321.1177,156.4033,88.46715
6.720825,-2.739753,2.05005,-1.384549,320.8686,157.396,87.44772
6.724113,-2.739754,2.05005,-1.384549,320.8686,157.396,87.44772
6.727326,-2.739754,2.05005,-1.384549,320.8686,157.396,87.44772
6.729869,-2.739753,2.05005,-1.384549,320.8686,157.396,87.44772
6.732226,-2.739753,2.05005,-1.384549,320.8686,157.396,87.44772
6.735346,-2.739753,2.05005,-1.384549,320.8686,157.396,87.44772
6.738267,-2.739753,2.05005,-1.384549,320.8686,157.396,87.44772
6.740601,-2.733007,2.05005,-1.386799,320.6254,158.5363,86.49371
6.744892,-2.733007,2.05005,-1.386799,320.6254,158.5363,86.49371
6.747331,-2.733007,2.05005,-1.386799,320.6254,158.5363,86.49371
6.749795,-2.733007,2.05005,-1.386799,320.6254,158.5363,86.49371
6.753962,-2.733007,2.05005,-1.386799,320.6254,158.5363,86.49371
6.756557,-2.733007,2.05005,-1.386799,320.6254,158.5363,86.49371
6.759619,-2.733007,2.05005,-1.386799,320.6254,158.5363,86.49371
6.76272,-2.733007,2.05005,-1.386799,320.5431,159.3265,85.8718
6.765872,-2.733007,2.05005,-1.386799,320.5431,159.3265,85.8718
6.769599,-2.733007,2.05005,-1.386799,320.5431,159.3265,85.8718
6.772343,-2.733007,2.05005,-1.386799,320.5431,159.3265,85.8718
6.775517,-2.733007,2.05005,-1.386799,320.5431,159.3265,85.8718
6.778543,-2.733007,2.05005,-1.3868,320.5431,159.3265,85.8718
6.781282,-2.73558,2.05005,-1.383276,320.4606,159.8507,85.39781
6.785535,-2.73558,2.05005,-1.383276,320.4606,159.8507,85.39781
6.788258,-2.73558,2.05005,-1.383276,320.4606,159.8507,85.39781
6.790822,-2.73558,2.05005,-1.383276,320.4606,159.8507,85.39781
6.793612,-2.73558,2.05005,-1.383276,320.4606,159.8507,85.39781
6.796559,-2.73558,2.05005,-1.383276,320.4606,159.8507,85.39781
6.800121,-2.733979,2.05005,-1.378476,320.396,160.3138,85.0966
6.804241,-2.733979,2.05005,-1.378476,320.396,160.3138,85.0966
6.806756,-2.733979,2.05005,-1.378476,320.396,160.3138,85.0966
6.809307,-2.733979,2.05005,-1.378476,320.396,160.3138,85.0966
6.812134,-2.733979,2.05005,-1.378476,320.396,160.3138,85.0966
6.815341,-2.733979,2.05005,-1.378476,320.396,160.3138,85.0966
6.817762,-2.733979,2.05005,-1.378476,320.396,160.3138,85.0966
6.820368,-2.735745,2.05005,-1.37255,320.3694,160.8011,84.75768
6.824188,-2.735745,2.05005,-1.37255,320.3694,160.8011,84.75768
6.826907,-2.735745,2.05005,-1.37255,320.3694,160.8011,84.75768
6.829977,-2.735745,2.05005,-1.37255,320.3694,160.8011,84.75768
6.832857,-2.735745,2.05005,-1.37255,320.3694,160.8011,84.75768
6.835301,-2.735745,2.05005,-1.37255,320.3694,160.8011,84.75768
6.83775,-2.735745,2.05005,-1.37255,320.3694,160.8011,84.75768
6.84036,-2.734141,2.05005,-1.367748,320.4613,160.9331,84.60567
6.844508,-2.734141,2.05005,-1.367748,320.4613,160.9331,84.60567
6.847427,-2.734141,2.05005,-1.367748,320.4613,160.9331,84.60567
6.849934,-2.734141,2.05005,-1.367748,320.4613,160.9331,84.60567
6.852463,-2.734141,2.05005,-1.367748,320.4613,160.9331,84.60567
6.854994,-2.734141,2.05005,-1.367748,320.4613,160.9331,84.60567
6.857452,-2.734141,2.05005,-1.367748,320.4613,160.9331,84.60567
6.860189,-2.735097,2.05005,-1.359418,320.4661,161.1514,84.44096
6.864539,-2.735097,2.05005,-1.359419,320.4661,161.1514,84.44096
6.867028,-2.735097,2.05005,-1.359419,320.4661,161.1514,84.44096
6.870055,-2.735097,2.05005,-1.359419,320.4661,161.1514,84.44096
6.872536,-2.735097,2.05005,-1.359419,320.4661,161.1514,84.44096
6.8748,-2.735097,2.05005,-1.359419,320.4661,161.1514,84.44096
6.878974,-2.735097,2.05005,-1.359419,320.4661,161.1514,84.44096
6.881403,-2.73685,2.05005,-1.353489,320.577,161.3179,84.34449
6.884934,-2.73685,2.05005,-1.353489,320.577,161.3179,84.34449
6.8873,-2.73685,2.05005,-1.353489,320.577,161.3179,84.34449
6.890006,-2.73685,2.05005,-1.353489,320.577,161.3179,84.34449
6.893472,-2.73685,2.05005,-1.353489,320.577,161.3179,84.34449
6.896365,-2.73685,2.05005,-1.353489,320.577,161.3179,84.34449
6.89898,-2.73685,2.05005,-1.353489,320.577,161.3179,84.34449
6.902036,-2.739533,2.05005,-1.33922,320.8678,161.5509,84.1844
6.905027,-2.739533,2.05005,-1.33922,320.8678,161.5509,84.1844
6.90782,-2.739533,2.05005,-1.33922,320.8678,161.5509,84.1844
