time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
6.185155,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.192899,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.198665,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.201215,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.204924,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.207446,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.210291,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.212899,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.215549,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.218315,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.221485,0,1.244465,2.80571,335.6389,179.9952,93.61107
6.224518,0,1.244464,2.80571,335.6389,179.9952,93.61107
6.227462,0,1.244464,2.80571,335.6389,179.9952,93.61107
6.230389,0,1.244464,2.80571,335.6389,179.9952,93.61107
6.23305,0,1.244464,2.80571,335.6389,179.9952,93.61107
6.236152,0,1.244464,2.80571,335.6389,179.9952,93.61107
6.238913,0,1.244464,2.80571,335.6389,179.9952,93.61107
6.24337,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.247439,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.249743,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.253198,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.255736,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.258216,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.260869,0,1.244464,2.80571,335.7121,180.0515,93.56696
6.264321,0,1.244464,2.80571,335.7121,180.0515,93.56696
6.267294,0,1.244464,2.80571,335.7121,180.0515,93.56696
6.269973,0,1.244464,2.80571,335.7121,180.0515,93.56696
6.272606,0,1.244464,2.80571,335.7121,180.0515,93.56696
6.275088,0,1.244464,2.80571,335.7121,180.0515,93.56696
6.27828,0,1.244464,2.80571,335.7121,180.0515,93.56696
6.28122,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.284439,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.28703,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.289847,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.292627,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.295746,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.298791,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.301296,0,1.244464,2.80571,335.6389,180.0515,93.56696
6.304244,0,1.244464,2.80571,335.6389,180.0515,93.56696
6.306843,0,1.244464,2.80571,335.6389,180.0515,93.56696
6.309375,0,1.244464,2.80571,335.6389,180.0515,93.56696
6.312002,0,1.244464,2.80571,335.6389,180.0515,93.56696
6.315111,0,1.244464,2.80571,335.6389,180.0515,93.56696
6.317583,0,1.244464,2.80571,335.6389,180.0515,93.56696
6.320017,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.324984,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.327773,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.331204,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.333957,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.336604,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.339118,0,1.244464,2.80571,335.6389,179.9952,93.53783
6.341557,0,1.244464,2.80571,335.7121,179.9952,93.53783
6.344951,0,1.244464,2.80571,335.7121,179.9952,93.53783
6.347504,0,1.244464,2.80571,335.7121,179.9952,93.53783
6.350228,0,1.244464,2.80571,335.7121,179.9952,93.53783
6.352912,0,1.244464,2.80571,335.7121,179.9952,93.53783
6.355593,0,1.244464,2.80571,335.7121,179.9952,93.53783
6.358346,0,1.244464,2.80571,335.7121,179.9952,93.53783
6.362084,0,1.244464,2.80571,335.6389,179.9952,93.53783
