time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
60.1034,-3.426237,2.05005,-0.003745,330.9186,145.9735,39.48687
60.10605,-3.426237,2.05005,-0.003745,330.9186,145.9735,39.48687
60.10855,-3.426237,2.05005,-0.003745,330.9186,145.9735,39.48687
60.11095,-3.426237,2.05005,-0.003745,330.9186,145.9735,39.48687
60.11408,-3.426237,2.05005,-0.003745,330.9186,145.9735,39.48687
60.11658,-3.426237,2.05005,-0.003745,330.9186,145.9735,39.48687
60.11898,-3.426237,2.05005,-0.003745,330.9186,145.9735,39.48687
60.12139,-3.423431,2.05005,-0.005154,331.0189,145.8396,39.49667
60.12573,-3.423431,2.05005,-0.005154,331.0189,145.8396,39.49667
60.12814,-3.423431,2.05005,-0.005154,331.0189,145.8396,39.49667
60.13106,-3.423431,2.05005,-0.005154,331.0189,145.8396,39.49667
60.13341,-3.423431,2.05005,-0.005154,331.0189,145.8396,39.49667
60.13565,-3.423431,2.05005,-0.005154,331.0189,145.8396,39.49667
60.13786,-3.423431,2.05005,-0.005154,331.0189,145.8396,39.49667
60.14017,-3.423431,2.05005,-0.005154,330.9901,145.9677,39.40501
60.14285,-3.423431,2.05005,-0.005154,330.9901,145.9677,39.40501
60.14613,-3.423431,2.05005,-0.005154,330.9901,145.9677,39.40501
60.1484,-3.423431,2.05005,-0.005154,330.9901,145.9677,39.40501
60.1509,-3.423431,2.05005,-0.005154,330.9901,145.9677,39.40501
60.15305,-3.423431,2.05005,-0.005154,330.9901,145.9677,39.40501
60.15532,-3.423431,2.05005,-0.005154,330.9901,145.9677,39.40501
60.15772,-3.423431,2.05005,-0.005154,330.9901,145.9677,39.40501
60.16049,-3.406588,2.05005,-0.013579,330.9901,145.8499,39.40501
60.16661,-3.406588,2.05005,-0.013579,330.9901,145.8499,39.40501
60.16839,-3.406588,2.05005,-0.013579,330.9901,145.8499,39.40501
60.17091,-3.406588,2.05005,-0.013579,330.9901,145.8499,39.40501
60.17345,-3.406588,2.05005,-0.013579,330.9901,145.8499,39.40501
60.17853,-3.406588,2.05005,-0.013579,330.9901,145.8499,39.40501
60.18098,-3.396525,2.05005,-0.021544,331.1219,145.7563,39.48436
60.18657,-3.396525,2.05005,-0.021544,331.1219,145.7563,39.48436
60.18862,-3.396525,2.05005,-0.021544,331.1219,145.7563,39.48436
60.19127,-3.396525,2.05005,-0.021544,331.1219,145.7563,39.48436
60.19359,-3.396525,2.05005,-0.021544,331.1219,145.7563,39.48436
60.19588,-3.396525,2.05005,-0.021544,331.1219,145.7563,39.48436
60.19833,-3.396525,2.05005,-0.021544,331.1219,145.7563,39.48436
60.20094,-3.380813,2.05005,-0.032276,331.0389,145.6095,39.51619
60.20745,-3.380813,2.05005,-0.032276,331.0389,145.6095,39.51619
60.21063,-3.380813,2.05005,-0.032276,331.0389,145.6095,39.51619
