experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,interval_time,path_number,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,try-d5236855-cabc-45e6-840e-69a8c962b07a,1,1,1,1,21.63167,23,5,1,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,try-d5236855-cabc-45e6-840e-69a8c962b07a,1,2,1,2,24.48906,25.26,5,1,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,try-d5236855-cabc-45e6-840e-69a8c962b07a,1,3,2,1,27.4486,29.5,5,2,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,try-d5236855-cabc-45e6-840e-69a8c962b07a,1,4,2,2,40.02145,47.58,5,2,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,try-d5236855-cabc-45e6-840e-69a8c962b07a,1,5,3,1,49.42638,52.72,6,3,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,try-d5236855-cabc-45e6-840e-69a8c962b07a,1,6,3,2,54.70108,55.94,6,3,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,try-d5236855-cabc-45e6-840e-69a8c962b07a,1,7,4,1,57.36632,58.38,6,1,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,try-d5236855-cabc-45e6-840e-69a8c962b07a,1,8,4,2,60.1034,60.92,6,1,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,try-d5236855-cabc-45e6-840e-69a8c962b07a,1,9,5,1,63.20705,64.3,7,2,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,try-d5236855-cabc-45e6-840e-69a8c962b07a,1,10,5,2,66.48308,67.36,7,2,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/mentor_left_stylus_movement_T010.csv
guidance_experiment,try-d5236855-cabc-45e6-840e-69a8c962b07a,1,11,6,1,68.76208,69.64,7,3,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/trainee_right_stylus_movement_T011.csv,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/mentor_left_stylus_movement_T011.csv
guidance_experiment,try-d5236855-cabc-45e6-840e-69a8c962b07a,1,12,6,2,71.18256,71.82,7,3
,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/trainee_right_stylus_movement_T012.csv,guidance_experiment/try-d5236855-cabc-45e6-840e-69a8c962b07a/S001/trackers/mentor_left_stylus_movement_T012.csv
