time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
19.04141,-3.429384,2.05005,-0.130684,317.707,129.6799,66.51162
19.05012,-3.429384,2.05005,-0.130684,317.707,129.6799,66.51162
19.05771,-3.429384,2.05005,-0.130684,317.707,129.6799,66.51162
19.06153,-3.428202,2.05005,-0.12829,317.7124,129.7005,66.40767
19.06422,-3.428202,2.05005,-0.12829,317.7124,129.7005,66.40767
19.06653,-3.428202,2.05005,-0.12829,317.7124,129.7005,66.40767
19.06892,-3.428202,2.05005,-0.12829,317.7124,129.7005,66.40767
19.07165,-3.428202,2.05005,-0.12829,317.7124,129.7005,66.40767
19.07368,-3.428202,2.05005,-0.12829,317.7124,129.7005,66.40767
19.07581,-3.428202,2.05005,-0.12829,317.7124,129.7005,66.40767
19.07795,-3.428202,2.05005,-0.12829,317.7124,129.7005,66.40767
19.08002,-3.431058,2.05005,-0.126879,317.6279,129.776,66.49209
19.08401,-3.431057,2.05005,-0.126879,317.6279,129.776,66.49209
19.08614,-3.431057,2.05005,-0.126879,317.6279,129.776,66.49209
19.08865,-3.431058,2.05005,-0.126879,317.6279,129.776,66.49209
19.09129,-3.431058,2.05005,-0.126879,317.6279,129.776,66.49209
19.09346,-3.431058,2.05005,-0.126879,317.6279,129.776,66.49209
19.09558,-3.431058,2.05005,-0.126879,317.6279,129.776,66.49209
19.09757,-3.431058,2.05005,-0.126879,317.6279,129.776,66.49209
19.10027,-3.432028,2.05005,-0.114482,317.6313,129.9601,66.3224
19.10444,-3.432028,2.05005,-0.114482,317.6313,129.9601,66.3224
19.10703,-3.432028,2.05005,-0.114482,317.6313,129.9601,66.3224
19.10927,-3.432028,2.05005,-0.114482,317.6313,129.9601,66.3224
19.1113,-3.432028,2.05005,-0.114482,317.6313,129.9601,66.3224
19.11346,-3.432028,2.05005,-0.114482,317.6313,129.9601,66.3224
19.11582,-3.432028,2.05005,-0.114482,317.6313,129.9601,66.3224
19.11791,-3.432028,2.05005,-0.114482,317.6313,129.9601,66.3224
19.12017,-3.441512,2.05005,-0.097845,317.7431,130.1054,66.30451
19.12385,-3.441512,2.05005,-0.097845,317.7431,130.1054,66.30451
19.12589,-3.441512,2.05005,-0.097845,317.7431,130.1054,66.30451
19.12814,-3.441512,2.05005,-0.097845,317.7431,130.1054,66.30451
19.13058,-3.441512,2.05005,-0.097845,317.7431,130.1054,66.30451
19.13273,-3.441512,2.05005,-0.097845,317.7431,130.1054,66.30451
19.13477,-3.441512,2.05005,-0.097845,317.7431,130.1054,66.30451
19.13715,-3.441512,2.05005,-0.097845,317.7431,130.1054,66.30451
19.13936,-3.441512,2.05005,-0.097845,317.7431,130.1054,66.30451
19.1418,-3.446006,2.05005,-0.092621,317.7615,130.1218,66.35136
19.14459,-3.446006,2.05005,-0.092621,317.7615,130.1218,66.35136
19.14684,-3.446005,2.05005,-0.092621,317.7615,130.1218,66.35136
19.14905,-3.446005,2.05005,-0.092621,317.7615,130.1218,66.35136
19.15152,-3.446006,2.05005,-0.092621,317.7615,130.1218,66.35136
19.15402,-3.446005,2.05005,-0.092621,317.7615,130.1218,66.35136
19.15603,-3.446005,2.05005,-0.092621,317.7615,130.1218,66.35136
19.15852,-3.446005,2.05005,-0.092621,317.7615,130.1218,66.35136
19.16078,-3.450493,2.05005,-0.087395,317.6828,130.242,66.25829
19.16406,-3.450493,2.05005,-0.087395,317.6828,130.242,66.25829
19.16604,-3.450493,2.05005,-0.087395,317.6828,130.242,66.25829
19.16827,-3.450493,2.05005,-0.087395,317.6828,130.242,66.25829
19.17102,-3.450493,2.05005,-0.087395,317.6828,130.242,66.25829
19.17333,-3.450493,2.05005,-0.087395,317.6828,130.242,66.25829
19.1753,-3.450493,2.05005,-0.087395,317.6828,130.242,66.25829
19.1774,-3.450493,2.05005,-0.087395,317.6828,130.242,66.25829
19.17953,-3.450493,2.05005,-0.087395,317.6828,130.242,66.25829
19.18166,-3.453331,2.05005,-0.085975,317.7413,130.3629,66.31221
19.18429,-3.453332,2.05005,-0.085975,317.7413,130.3629,66.31221
19.18665,-3.453332,2.05005,-0.085975,317.7413,130.3629,66.31221
19.18879,-3.453332,2.05005,-0.085975,317.7413,130.3629,66.31221
19.191,-3.453332,2.05005,-0.085975,317.7413,130.3629,66.31221
19.19345,-3.453332,2.05005,-0.085975,317.7413,130.3629,66.31221
19.19779,-3.453332,2.05005,-0.085975,317.7413,130.3629,66.31221
19.20051,-3.453331,2.05005,-0.085975,317.7413,130.3629,66.31221
19.20628,-3.453332,2.05005,-0.085975,317.7413,130.3629,66.31221
19.20978,-3.453332,2.05005,-0.085975,317.7413,130.3629,66.31221
19.21198,-3.453331,2.05005,-0.085975,317.7413,130.3629,66.31221
19.21408,-3.453332,2.05005,-0.085975,317.7413,130.3629,66.31221
19.21607,-3.453332,2.05005,-0.085975,317.7413,130.3629,66.31221
19.21845,-3.453332,2.05005,-0.085975,317.7413,130.3629,66.31221
