time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
19.04141,12.04239,2.05005,-0.055509,33.89621,156.8867,40.77722
19.05012,12.04239,2.05005,-0.055509,33.89621,156.8867,40.77722
19.05771,12.04239,2.05005,-0.055509,33.89621,156.8867,40.77722
19.06153,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.06422,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.06653,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.06892,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.07165,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.07368,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.07581,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.07795,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.08002,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.08401,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.08614,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.08865,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.09129,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.09346,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.09558,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.09757,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.10027,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.10444,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.10703,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.10927,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.1113,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.11346,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.11582,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.11791,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.12017,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.12385,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.12589,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.12814,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.13058,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
19.13273,12.04239,2.05005,-0.055509,33.82301,156.884,40.70243
