time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
28.02543,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.57376
28.03255,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.57376
28.0382,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.57376
28.04041,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.57376
28.04318,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.57376
28.04515,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.57376
28.04728,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.57376
28.04962,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.57376
28.05153,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.57376
28.05349,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.57376
28.05585,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.57376
28.0581,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.57376
28.06014,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.64701
28.06582,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.64701
28.06815,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.64701
28.07069,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.64701
28.07297,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.64701
28.07518,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.64701
28.07759,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.64701
28.07982,-3.413682,2.05005,-0.084562,319.8211,138.6312,55.64701
28.08215,-3.410843,2.05005,-0.085966,319.8211,138.6077,55.57377
28.08691,-3.410843,2.05005,-0.085966,319.8211,138.6077,55.57377
28.08913,-3.410843,2.05005,-0.085966,319.8211,138.6077,55.57377
28.09109,-3.410843,2.05005,-0.085966,319.8211,138.6077,55.57377
28.09347,-3.410843,2.05005,-0.085966,319.8211,138.6077,55.57377
28.10468,-3.410844,2.05005,-0.085966,319.8211,138.6077,55.647
28.10865,-3.410843,2.05005,-0.085966,319.8211,138.6077,55.647
28.11069,-3.410843,2.05005,-0.085966,319.8211,138.6077,55.647
28.11296,-3.410843,2.05005,-0.085966,319.8211,138.6077,55.647
28.11543,-3.410843,2.05005,-0.085966,319.8211,138.6077,55.647
28.11755,-3.410843,2.05005,-0.085966,319.8211,138.6077,55.647
28.1192,-3.410843,2.05005,-0.085966,319.8211,138.6077,55.647
28.12096,-3.410844,2.05005,-0.085966,319.809,138.6839,55.64048
28.12661,-3.410843,2.05005,-0.085966,319.809,138.6839,55.64048
28.12856,-3.410843,2.05005,-0.085966,319.809,138.6839,55.64048
28.13016,-3.410843,2.05005,-0.085966,319.809,138.6839,55.64048
28.13237,-3.410843,2.05005,-0.085966,319.809,138.6839,55.64048
28.13461,-3.410843,2.05005,-0.085966,319.809,138.6839,55.64048
28.13629,-3.410843,2.05005,-0.085966,319.809,138.6839,55.64048
28.13823,-3.410843,2.05005,-0.085966,319.809,138.6839,55.64048
28.13999,-3.410843,2.05005,-0.085966,319.809,138.6839,55.64048
28.14168,-3.410843,2.05005,-0.085966,319.8928,138.6272,55.63442
28.14653,-3.410843,2.05005,-0.085966,319.8928,138.6272,55.63442
28.14894,-3.410843,2.05005,-0.085966,319.8928,138.6272,55.63442
28.15067,-3.410843,2.05005,-0.085966,319.8928,138.6272,55.63442
28.15282,-3.410843,2.05005,-0.085966,319.8928,138.6272,55.63442
28.15454,-3.410843,2.05005,-0.085966,319.8928,138.6272,55.63442
28.15628,-3.410843,2.05005,-0.085966,319.8928,138.6272,55.63442
28.15827,-3.410843,2.05005,-0.085966,319.8928,138.6272,55.63442
28.16008,-3.408005,2.05005,-0.087367,319.8928,138.6272,55.63442
28.16305,-3.408005,2.05005,-0.087367,319.8928,138.6272,55.63442
28.16545,-3.408005,2.05005,-0.087367,319.8928,138.6272,55.63442
28.16777,-3.408004,2.05005,-0.087367,319.8928,138.6272,55.63442
28.17005,-3.408005,2.05005,-0.087367,319.8928,138.6272,55.63442
28.17211,-3.408005,2.05005,-0.087367,319.8928,138.6272,55.63442
28.17385,-3.408004,2.05005,-0.087367,319.8928,138.6272,55.63442
28.17557,-3.408005,2.05005,-0.087367,319.8928,138.6272,55.63442
28.17757,-3.408005,2.05005,-0.087367,319.8928,138.6272,55.63442
28.17983,-3.408005,2.05005,-0.087367,319.8928,138.6272,55.63442
28.18254,-3.408005,2.05005,-0.087367,319.8807,138.6799,55.62789
28.1875,-3.408005,2.05005,-0.087367,319.8807,138.6799,55.62789
28.18952,-3.408005,2.05005,-0.087367,319.8807,138.6799,55.62789
28.19163,-3.408005,2.05005,-0.087367,319.8807,138.6799,55.62789
28.19355,-3.408005,2.05005,-0.087367,319.8807,138.6799,55.62789
28.19518,-3.408005,2.05005,-0.087367,319.8807,138.6799,55.62789
28.19761,-3.408005,2.05005,-0.087367,319.8807,138.6799,55.62789
