time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
28.02543,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.03255,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.0382,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.04041,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.04318,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.04515,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.04728,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.04962,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.05153,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.05349,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.05585,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.0581,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.06014,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.06582,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.06815,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.07069,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.07297,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.07518,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.07759,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.07982,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.08215,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.08691,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.08913,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.09109,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.09347,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.10468,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.10865,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.11069,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.11296,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.11543,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.11755,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.1192,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.12096,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.12661,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.12856,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.13016,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.13237,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.13461,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.13629,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.13823,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.13999,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.14168,11.71801,2.05005,-1.441662,33.25668,176.7402,339.2462
28.14653,11.71801,2.05005,-1.441662,33.25668,176.7402,339.2462
28.14894,11.71801,2.05005,-1.441662,33.25668,176.7402,339.2462
28.15067,11.71801,2.05005,-1.441662,33.25668,176.7402,339.2462
28.15282,11.71801,2.05005,-1.441662,33.25668,176.7402,339.2462
28.15454,11.71801,2.05005,-1.441662,33.25668,176.7402,339.2462
28.15628,11.71801,2.05005,-1.441662,33.25668,176.7402,339.2462
28.15827,11.71801,2.05005,-1.441662,33.25668,176.7402,339.2462
28.16008,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.16305,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.16545,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.16777,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.17005,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.17211,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.17385,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.17557,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.17757,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.17983,11.71801,2.05005,-1.441662,33.25494,176.7982,339.1497
28.18254,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.1875,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.18952,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.19163,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.19355,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.19518,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.19761,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.2001,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.20266,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.20486,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.20676,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.2089,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.21123,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.21339,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.21549,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.21753,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.21979,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.22204,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.22696,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.22909,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.23128,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.23352,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.23541,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.23701,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.2386,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.24049,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.2455,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.24754,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.24967,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.25161,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.25362,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.25529,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.25749,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.25955,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.26125,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.26672,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.26895,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.27114,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.27334,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.27524,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.27743,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.27964,11.71801,2.05005,-1.441662,33.25493,176.7982,339.223
28.28199,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.28565,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.28781,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.29016,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.29229,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.29408,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.29583,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.29785,11.71801,2.05005,-1.441662,33.32813,176.8013,339.2247
28.30044,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.30574,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.30772,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.30956,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.31152,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.31318,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.31538,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
28.3179,11.71801,2.05005,-1.441662,33.25319,176.856,339.1998
