timestamp,log_type,message,stacktrace
3.535027,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:347).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:501).  
3.535027,Log,First Condition Setting: dt = 5,UnityEngine.Debug:Log (object).  TelementoringExperimentGenerator:Generate (UXF.Session) (at Assets/Scripts/TelementoringExperimentGenerator.cs:35).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:350).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:501).  
3.535027,Log,Second Condition Setting: dt = 6,UnityEngine.Debug:Log (object).  TelementoringExperimentGenerator:Generate (UXF.Session) (at Assets/Scripts/TelementoringExperimentGenerator.cs:47).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:350).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:501).  
3.535027,Log,First Condition Setting: dt = 7,UnityEngine.Debug:Log (object).  TelementoringExperimentGenerator:Generate (UXF.Session) (at Assets/Scripts/TelementoringExperimentGenerator.cs:59).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:350).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:501).  
15.66615,Log,dt set to: 5 for Block 1,UnityEngine.Debug:Log (object).  ProvideGuidance:UpdateSettings (UXF.Block) (at Assets/Scripts/ProvideGuidance.cs:158).  UnityEngine.Events.UnityEvent`1<UXF.Block>:Invoke (UXF.Block).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:125).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:428).  StartPointController/<Countdown>d__6:MoveNext () (at Assets/Scripts/StartPointController.cs:34).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
15.66615,Log,Current path: 1,UnityEngine.Debug:Log (object).  RandomizePaths:UpdateSettings (UXF.Trial) (at Assets/Scripts/RandomizePaths.cs:54).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:128).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:428).  StartPointController/<Countdown>d__6:MoveNext () (at Assets/Scripts/StartPointController.cs:34).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
15.66615,Log,New Trial,UnityEngine.Debug:Log (object).  StartPointController/<Countdown>d__6:MoveNext () (at Assets/Scripts/StartPointController.cs:35).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
15.67807,Log,Started Coroutine at timestamp : 15.67807,UnityEngine.Debug:Log (object).  ProvideGuidance/<GuidanceCoroutine>d__10:MoveNext () (at Assets/Scripts/ProvideGuidance.cs:52).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:148).  
15.67807,Log,mentor x z: -3.496531 -0.01709766,UnityEngine.Debug:Log (object).  ProvideGuidance/<GuidanceCoroutine>d__10:MoveNext () (at Assets/Scripts/ProvideGuidance.cs:54).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:148).  
15.67807,Log,trainee x z: -2.290841 -0.1164555,UnityEngine.Debug:Log (object).  ProvideGuidance/<GuidanceCoroutine>d__10:MoveNext () (at Assets/Scripts/ProvideGuidance.cs:55).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:148).  
20.68,Log,command trainee to move LEFT,UnityEngine.Debug:Log (object).  ProvideGuidance/<GuidanceCoroutine>d__10:MoveNext () (at Assets/Scripts/ProvideGuidance.cs:85).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
20.68,Log,Finished Coroutine at timestamp : 20.68,UnityEngine.Debug:Log (object).  ProvideGuidance/<GuidanceCoroutine>d__10:MoveNext () (at Assets/Scripts/ProvideGuidance.cs:86).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
20.68224,Log,Started Coroutine at timestamp : 20.68224,UnityEngine.Debug:Log (object).  ProvideGuidance/<GuidanceCoroutine>d__10:MoveNext () (at Assets/Scripts/ProvideGuidance.cs:52).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:148).  
20.68224,Log,mentor x z: -1.346552 -0.2477614,UnityEngine.Debug:Log (object).  ProvideGuidance/<GuidanceCoroutine>d__10:MoveNext () (at Assets/Scripts/ProvideGuidance.cs:54).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:148).  
20.68224,Log,trainee x z: -1.362362 -0.4278696,UnityEngine.Debug:Log (object).  ProvideGuidance/<GuidanceCoroutine>d__10:MoveNext () (at Assets/Scripts/ProvideGuidance.cs:55).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:148).  
25.68691,Log,command trainee to move UP,UnityEngine.Debug:Log (object).  ProvideGuidance/<GuidanceCoroutine>d__10:MoveNext () (at Assets/Scripts/ProvideGuidance.cs:106).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
25.68691,Log,Finished Coroutine at timestamp : 25.68691,UnityEngine.Debug:Log (object).  ProvideGuidance/<GuidanceCoroutine>d__10:MoveNext () (at Assets/Scripts/ProvideGuidance.cs:107).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
25.68977,Log,Started Coroutine at timestamp : 25.68977,UnityEngine.Debug:Log (object).  ProvideGuidance/<GuidanceCoroutine>d__10:MoveNext () (at Assets/Scripts/ProvideGuidance.cs:52).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:148).  
25.68977,Log,mentor x z: -0.5265084 -0.4037485,UnityEngine.Debug:Log (object).  ProvideGuidance/<GuidanceCoroutine>d__10:MoveNext () (at Assets/Scripts/ProvideGuidance.cs:54).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:148).  
