time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
15.66615,-3.496531,2.05005,-0.017098,319.9697,143.6726,355.1041
15.67807,-3.496531,2.05005,-0.017098,319.9697,143.6726,355.1041
15.68351,-3.496531,2.05005,-0.017098,319.9697,143.6726,355.1041
15.68661,-3.496531,2.05005,-0.017098,319.9697,143.6726,355.1041
15.68931,-3.496531,2.05005,-0.017098,319.9697,143.6726,355.1041
15.6917,-3.496531,2.05005,-0.017098,319.9697,143.6726,355.1041
15.6938,-3.496531,2.05005,-0.017098,319.9697,143.6726,355.1041
15.69611,-3.496531,2.05005,-0.017098,319.9697,143.6726,355.1041
15.69829,-3.496531,2.05005,-0.017098,319.9697,143.6726,355.1041
15.70061,-3.496531,2.05005,-0.017098,319.9581,143.7496,355.1697
15.70334,-3.496531,2.05005,-0.017098,319.9581,143.7496,355.1697
15.70607,-3.496531,2.05005,-0.017098,319.9581,143.7496,355.1697
15.70824,-3.496531,2.05005,-0.017098,319.9581,143.7496,355.1697
15.7104,-3.496531,2.05005,-0.017098,319.9581,143.7496,355.1697
15.71322,-3.496531,2.05005,-0.017098,319.9581,143.7496,355.1697
15.71555,-3.496531,2.05005,-0.017098,319.9581,143.7496,355.1697
15.71768,-3.496531,2.05005,-0.017098,319.9581,143.7496,355.1697
15.72004,-3.495591,2.05005,-0.015262,319.9802,143.6902,355.0768
15.72293,-3.495592,2.05005,-0.015262,319.9802,143.6902,355.0768
15.72515,-3.495592,2.05005,-0.015262,319.9802,143.6902,355.0768
15.72738,-3.495591,2.05005,-0.015262,319.9802,143.6902,355.0768
15.7295,-3.495592,2.05005,-0.015262,319.9802,143.6902,355.0768
15.73172,-3.495591,2.05005,-0.015262,319.9802,143.6902,355.0768
15.73379,-3.495591,2.05005,-0.015262,319.9802,143.6902,355.0768
15.73589,-3.495591,2.05005,-0.015262,319.9802,143.6902,355.0768
15.73835,-3.495591,2.05005,-0.015262,319.9802,143.6902,355.0768
15.74052,-3.495591,2.05005,-0.015262,319.9686,143.7671,355.1425
15.74329,-3.495592,2.05005,-0.015262,319.9686,143.7671,355.1425
15.74566,-3.495591,2.05005,-0.015262,319.9686,143.7671,355.1425
15.74784,-3.495591,2.05005,-0.015262,319.9686,143.7671,355.1425
15.74985,-3.495591,2.05005,-0.015262,319.9686,143.7671,355.1425
15.75193,-3.495591,2.05005,-0.015262,319.9686,143.7671,355.1425
15.75432,-3.495591,2.05005,-0.015262,319.9686,143.7671,355.1425
15.75661,-3.495592,2.05005,-0.015262,319.9686,143.7671,355.1425
15.75891,-3.495591,2.05005,-0.015262,319.9686,143.7671,355.1425
15.76129,-3.495591,2.05005,-0.015262,319.9686,143.7671,355.2157
15.76596,-3.495591,2.05005,-0.015262,319.9686,143.7671,355.2157
15.76803,-3.495592,2.05005,-0.015262,319.9686,143.7671,355.2157
15.77038,-3.495591,2.05005,-0.015262,319.9686,143.7671,355.2157
15.78227,-3.495592,2.05005,-0.015262,319.9802,143.6902,355.2233
15.78737,-3.495591,2.05005,-0.015262,319.9802,143.6902,355.2233
15.78987,-3.495591,2.05005,-0.015262,319.9802,143.6902,355.2233
15.79185,-3.495591,2.05005,-0.015262,319.9802,143.6902,355.2233
15.79411,-3.495591,2.05005,-0.015262,319.9802,143.6902,355.2233
15.79637,-3.495591,2.05005,-0.015262,319.9802,143.6902,355.2233
15.79845,-3.495591,2.05005,-0.015262,319.9802,143.6902,355.2233
15.80072,-3.495591,2.05005,-0.015262,319.9802,143.6902,355.2233
15.80625,-3.495592,2.05005,-0.015262,319.9802,143.6902,355.2233
15.80833,-3.495592,2.05005,-0.015262,319.9802,143.6902,355.2233
15.81063,-3.495591,2.05005,-0.015262,319.9802,143.6902,355.2233
