time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
15.66615,9.709159,2.05005,-0.116456,334.2841,127.3218,65.24229
15.67807,9.709159,2.05005,-0.116456,334.2841,127.3218,65.24229
15.68351,9.709159,2.05005,-0.116456,334.2754,127.3959,65.23898
15.68661,9.70916,2.05005,-0.116456,334.2754,127.3959,65.23898
15.68931,9.709159,2.05005,-0.116456,334.2754,127.3959,65.23898
15.6917,9.709159,2.05005,-0.116456,334.2754,127.3959,65.23898
15.6938,9.709159,2.05005,-0.116456,334.2754,127.3959,65.23898
15.69611,9.709159,2.05005,-0.116456,334.2754,127.3959,65.23898
15.69829,9.70916,2.05005,-0.116456,334.2754,127.3959,65.23898
15.70061,9.709159,2.05005,-0.116456,334.3567,127.3322,65.23778
15.70334,9.709159,2.05005,-0.116456,334.3567,127.3322,65.23778
15.70607,9.709159,2.05005,-0.116456,334.3567,127.3322,65.23778
15.70824,9.70916,2.05005,-0.116456,334.3567,127.3322,65.23778
15.7104,9.709159,2.05005,-0.116456,334.3567,127.3322,65.23778
15.71322,9.709159,2.05005,-0.116456,334.3567,127.3322,65.23778
15.71555,9.709159,2.05005,-0.116456,334.3567,127.3322,65.23778
15.71768,9.709159,2.05005,-0.116456,334.3567,127.3322,65.23778
15.72004,9.71201,2.05005,-0.117397,334.2668,127.4465,65.16241
15.72293,9.71201,2.05005,-0.117397,334.2668,127.4465,65.16241
15.72515,9.71201,2.05005,-0.117397,334.2668,127.4465,65.16241
15.72738,9.71201,2.05005,-0.117397,334.2668,127.4465,65.16241
15.7295,9.712011,2.05005,-0.117397,334.2668,127.4465,65.16241
15.73172,9.71201,2.05005,-0.117397,334.2668,127.4465,65.16241
15.73379,9.71201,2.05005,-0.117397,334.2668,127.4465,65.16241
15.73589,9.71201,2.05005,-0.117397,334.2668,127.4465,65.16241
15.73835,9.71201,2.05005,-0.117397,334.2668,127.4465,65.16241
15.74052,9.71201,2.05005,-0.117397,334.3394,127.4569,65.15789
15.74329,9.71201,2.05005,-0.117397,334.3394,127.4569,65.15789
15.74566,9.71201,2.05005,-0.117397,334.3394,127.4569,65.15789
15.74784,9.71201,2.05005,-0.117397,334.3394,127.4569,65.15789
15.74985,9.71201,2.05005,-0.117397,334.3394,127.4569,65.15789
15.75193,9.71201,2.05005,-0.117397,334.3394,127.4569,65.15789
15.75432,9.71201,2.05005,-0.117397,334.3394,127.4569,65.15789
15.75661,9.71201,2.05005,-0.117397,334.3394,127.4569,65.15789
15.75891,9.71201,2.05005,-0.117397,334.3394,127.4569,65.15789
15.76129,9.71201,2.05005,-0.117397,334.3308,127.531,65.08131
15.76596,9.712009,2.05005,-0.117397,334.3308,127.531,65.08131
15.76803,9.712011,2.05005,-0.117397,334.3308,127.531,65.08131
15.77038,9.71201,2.05005,-0.117397,334.3308,127.531,65.08131
15.78227,9.712011,2.05005,-0.117397,334.3308,127.531,65.15456
15.78737,9.71201,2.05005,-0.117397,334.3308,127.531,65.15456
15.78987,9.71201,2.05005,-0.117397,334.3308,127.531,65.15456
15.79185,9.71201,2.05005,-0.117397,334.3308,127.531,65.15456
15.79411,9.71201,2.05005,-0.117397,334.3308,127.531,65.15456
15.79637,9.71201,2.05005,-0.117397,334.3308,127.531,65.15456
15.79845,9.71201,2.05005,-0.117397,334.3308,127.531,65.15456
15.80072,9.714863,2.05005,-0.118337,334.3308,127.5074,65.08131
15.80625,9.714863,2.05005,-0.118337,334.3308,127.5074,65.08131
15.80833,9.714862,2.05005,-0.118337,334.3308,127.5074,65.08131
15.81063,9.714862,2.05005,-0.118337,334.3308,127.5074,65.08131
15.81279,9.714862,2.05005,-0.118337,334.3308,127.5074,65.08131
15.81502,9.714862,2.05005,-0.118337,334.3308,127.5074,65.08131
15.81721,9.714862,2.05005,-0.118337,334.3308,127.5074,65.08131
15.81937,9.714862,2.05005,-0.118337,334.3308,127.5074,65.08131
15.82178,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.82642,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.82825,9.714863,2.05005,-0.118337,334.3222,127.5816,65.07796
15.83038,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.83246,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.83414,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.83607,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.83862,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.84079,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.84622,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.84803,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.85188,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.85378,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.85554,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.85745,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.85947,9.714862,2.05005,-0.118337,334.3222,127.5816,65.07796
15.86163,9.717714,2.05005,-0.119276,334.3135,127.6321,65.00135
15.86618,9.717714,2.05005,-0.119276,334.3135,127.6321,65.00135
15.86839,9.717714,2.05005,-0.119276,334.3135,127.6321,65.00135
15.87042,9.717714,2.05005,-0.119276,334.3135,127.6321,65.00135
15.8722,9.717714,2.05005,-0.119276,334.3135,127.6321,65.00135
15.87428,9.717714,2.05005,-0.119276,334.3135,127.6321,65.00135
15.87627,9.717714,2.05005,-0.119276,334.3135,127.6321,65.00135
15.87815,9.717714,2.05005,-0.119276,334.3135,127.6321,65.00135
15.87999,9.717714,2.05005,-0.119276,334.3135,127.6321,65.00135
15.8817,9.720567,2.05005,-0.120214,334.3222,127.5345,65.00471
15.88732,9.720567,2.05005,-0.120214,334.3222,127.5345,65.00471
15.88956,9.720567,2.05005,-0.120214,334.3222,127.5345,65.00471
15.89151,9.720567,2.05005,-0.120214,334.3222,127.5345,65.00471
15.8936,9.720567,2.05005,-0.120214,334.3222,127.5345,65.00471
15.89567,9.720567,2.05005,-0.120214,334.3222,127.5345,65.00471
15.89774,9.720567,2.05005,-0.120214,334.3222,127.5345,65.00471
15.89979,9.720567,2.05005,-0.120214,334.3222,127.5345,65.00471
15.90143,9.720772,2.05005,-0.11959,334.2409,127.5982,65.00585
15.90608,9.720772,2.05005,-0.11959,334.2409,127.5982,65.00585
15.90775,9.720772,2.05005,-0.11959,334.2409,127.5982,65.00585
15.90998,9.720772,2.05005,-0.11959,334.2409,127.5982,65.00585
15.91196,9.720772,2.05005,-0.11959,334.2409,127.5982,65.00585
15.91411,9.720772,2.05005,-0.11959,334.2409,127.5982,65.00585
15.91609,9.720772,2.05005,-0.11959,334.2409,127.5982,65.00585
15.9182,9.720772,2.05005,-0.11959,334.2409,127.5982,65.00585
15.92077,9.726478,2.05005,-0.121462,334.3049,127.6356,64.99796
15.93399,9.726478,2.05005,-0.121462,334.3049,127.6356,64.99796
15.93604,9.726478,2.05005,-0.121462,334.3049,127.6356,64.99796
15.93803,9.726478,2.05005,-0.121462,334.3049,127.6356,64.99796
15.94015,9.735039,2.05005,-0.124262,334.2151,127.7028,64.92244
15.94624,9.735039,2.05005,-0.124262,334.2151,127.7028,64.92244
15.94823,9.735039,2.05005,-0.124262,334.2151,127.7028,64.92244
15.95024,9.735039,2.05005,-0.124262,334.2151,127.7028,64.92244
15.95196,9.735039,2.05005,-0.124262,334.2151,127.7028,64.92244
15.9538,9.735039,2.05005,-0.124262,334.2151,127.7028,64.92244
15.95546,9.735039,2.05005,-0.124262,334.2151,127.7028,64.92244
15.95755,9.735039,2.05005,-0.124262,334.2151,127.7028,64.92244
15.95949,9.735039,2.05005,-0.124262,334.2151,127.7028,64.92244
15.96135,9.749316,2.05005,-0.128904,334.1893,127.8075,64.8389
15.96637,9.749316,2.05005,-0.128904,334.1893,127.8075,64.8389
15.96828,9.749315,2.05005,-0.128904,334.1893,127.8075,64.8389
15.97051,9.749316,2.05005,-0.128904,334.1893,127.8075,64.8389
15.97287,9.749316,2.05005,-0.128904,334.1893,127.8075,64.8389
15.97476,9.749316,2.05005,-0.128904,334.1893,127.8075,64.8389
15.9767,9.749317,2.05005,-0.128904,334.1893,127.8075,64.8389
15.97912,9.749316,2.05005,-0.128904,334.1893,127.8075,64.8389
15.98127,9.767285,2.05005,-0.131869,334.116,127.7406,64.81559
15.98612,9.767285,2.05005,-0.131869,334.116,127.7406,64.81559
15.98853,9.767285,2.05005,-0.131869,334.116,127.7406,64.81559
15.99089,9.767285,2.05005,-0.131869,334.116,127.7406,64.81559
15.99285,9.767285,2.05005,-0.131869,334.116,127.7406,64.81559
15.99456,9.767285,2.05005,-0.131869,334.116,127.7406,64.81559
15.99649,9.767285,2.05005,-0.131869,334.116,127.7406,64.81559
15.99845,9.767285,2.05005,-0.131869,334.116,127.7406,64.81559
16.00048,9.790158,2.05005,-0.139176,334.0176,127.7643,64.80971
16.00622,9.790158,2.05005,-0.139176,334.0176,127.7643,64.80971
16.00817,9.790158,2.05005,-0.139176,334.0176,127.7643,64.80971
16.00994,9.790159,2.05005,-0.139176,334.0176,127.7643,64.80971
16.01225,9.790158,2.05005,-0.139176,334.0176,127.7643,64.80971
16.01472,9.790158,2.05005,-0.139176,334.0176,127.7643,64.80971
16.01664,9.790158,2.05005,-0.139176,334.0176,127.7643,64.80971
16.01843,9.790158,2.05005,-0.139176,334.0176,127.7643,64.80971
16.02031,9.801603,2.05005,-0.142801,333.9279,127.8317,64.80724
16.02338,9.801603,2.05005,-0.142801,333.9279,127.8317,64.80724
16.02592,9.801603,2.05005,-0.142801,333.9279,127.8317,64.80724
16.02782,9.801603,2.05005,-0.142801,333.9279,127.8317,64.80724
16.02992,9.801603,2.05005,-0.142801,333.9279,127.8317,64.80724
16.03175,9.801603,2.05005,-0.142801,333.9279,127.8317,64.80724
16.03392,9.801603,2.05005,-0.142801,333.9279,127.8317,64.80724
16.03582,9.801603,2.05005,-0.142801,333.9279,127.8317,64.80724
16.03769,9.801603,2.05005,-0.142801,333.9279,127.8317,64.80724
16.03971,9.801603,2.05005,-0.142801,333.9279,127.8317,64.80724
16.04173,9.833304,2.05005,-0.152046,333.5135,127.9661,64.80892
16.04737,9.833304,2.05005,-0.152046,333.5135,127.9661,64.80892
16.04916,9.833304,2.05005,-0.152046,333.5135,127.9661,64.80892
16.05096,9.833304,2.05005,-0.152046,333.5135,127.9661,64.80892
16.05275,9.833304,2.05005,-0.152046,333.5135,127.9661,64.80892
16.05484,9.833304,2.05005,-0.152046,333.5135,127.9661,64.80892
16.05695,9.833304,2.05005,-0.152046,333.5135,127.9661,64.80892
16.05851,9.833304,2.05005,-0.152046,333.5135,127.9661,64.80892
16.06014,9.839037,2.05005,-0.153825,333.5049,127.9697,64.80532
16.06286,9.839037,2.05005,-0.153825,333.5049,127.9697,64.80532
16.06497,9.839037,2.05005,-0.153825,333.5049,127.9697,64.80532
16.06676,9.839037,2.05005,-0.153825,333.5049,127.9697,64.80532
16.06869,9.839037,2.05005,-0.153825,333.5049,127.9697,64.80532
16.07069,9.839037,2.05005,-0.153825,333.5049,127.9697,64.80532
16.07291,9.839037,2.05005,-0.153825,333.5049,127.9697,64.80532
16.08157,9.847833,2.05005,-0.155856,333.2444,128.2394,64.87437
16.08678,9.847833,2.05005,-0.155856,333.2444,128.2394,64.87437
16.08909,9.847833,2.05005,-0.155856,333.2444,128.2394,64.87437
16.09103,9.847833,2.05005,-0.155856,333.2444,128.2394,64.87437
16.09293,9.847833,2.05005,-0.155856,333.2444,128.2394,64.87437
16.09474,9.847833,2.05005,-0.155856,333.2444,128.2394,64.87437
16.09672,9.847833,2.05005,-0.155856,333.2444,128.2394,64.87437
16.09868,9.847833,2.05005,-0.155856,333.2444,128.2394,64.87437
16.10044,9.848627,2.05005,-0.15328,333.0906,128.3782,64.85201
16.10642,9.848627,2.05005,-0.15328,333.0906,128.3782,64.85201
16.1082,9.848627,2.05005,-0.15328,333.0906,128.3782,64.85201
16.11036,9.848627,2.05005,-0.15328,333.0906,128.3782,64.85201
16.11245,9.848627,2.05005,-0.15328,333.0906,128.3782,64.85201
16.11454,9.848627,2.05005,-0.15328,333.0906,128.3782,64.85201
16.11665,9.848627,2.05005,-0.15328,333.0906,128.3782,64.85201
16.11882,9.848627,2.05005,-0.15328,333.0906,128.3782,64.85201
16.12072,9.849422,2.05005,-0.150704,333.0011,128.602,64.74797
16.12614,9.849422,2.05005,-0.150704,333.0011,128.602,64.74797
16.12828,9.849422,2.05005,-0.150704,333.0011,128.602,64.74797
16.13002,9.849422,2.05005,-0.150704,333.0011,128.602,64.74797
16.13184,9.849422,2.05005,-0.150704,333.0011,128.602,64.74797
16.13383,9.849422,2.05005,-0.150704,333.0011,128.602,64.74797
16.1357,9.849422,2.05005,-0.150704,333.0011,128.602,64.74797
16.13774,9.849422,2.05005,-0.150704,333.0011,128.602,64.74797
16.13969,9.849422,2.05005,-0.150704,333.0011,128.602,64.74797
16.14165,9.847352,2.05005,-0.147243,333.0013,128.711,64.79312
16.14613,9.847353,2.05005,-0.147243,333.0013,128.711,64.79312
16.14809,9.847353,2.05005,-0.147243,333.0013,128.711,64.79312
16.15051,9.847353,2.05005,-0.147243,333.0013,128.711,64.79312
16.15622,9.847353,2.05005,-0.147243,333.0013,128.711,64.79312
16.15846,9.847353,2.05005,-0.147243,333.0013,128.711,64.79312
16.16047,9.847353,2.05005,-0.147243,332.9286,128.7006,64.79782
16.16298,9.847353,2.05005,-0.147243,332.9286,128.7006,64.79782
16.16474,9.847353,2.05005,-0.147243,332.9286,128.7006,64.79782
16.16636,9.847353,2.05005,-0.147243,332.9286,128.7006,64.79782
16.16851,9.847353,2.05005,-0.147243,332.9286,128.7006,64.79782
16.17087,9.847353,2.05005,-0.147243,332.9286,128.7006,64.79782
16.17263,9.847353,2.05005,-0.147243,332.9286,128.7006,64.79782
16.17431,9.847353,2.05005,-0.147243,332.9286,128.7006,64.79782
16.17591,9.847353,2.05005,-0.147243,332.9286,128.7006,64.79782
16.1775,9.847353,2.05005,-0.147243,332.9286,128.7006,64.79782
16.17923,9.847353,2.05005,-0.147243,332.9286,128.7006,64.79782
16.18127,9.847353,2.05005,-0.147243,332.8307,128.9135,64.71809
16.18627,9.847353,2.05005,-0.147243,332.8307,128.9135,64.71809
16.18815,9.847353,2.05005,-0.147243,332.8307,128.9135,64.71809
16.18986,9.847353,2.05005,-0.147243,332.8307,128.9135,64.71809
16.19153,9.847353,2.05005,-0.147243,332.8307,128.9135,64.71809
16.19351,9.847353,2.05005,-0.147243,332.8307,128.9135,64.71809
16.19533,9.847353,2.05005,-0.147243,332.8307,128.9135,64.71809
16.19755,9.847353,2.05005,-0.147243,332.8307,128.9135,64.71809
16.19943,9.847353,2.05005,-0.147243,332.8307,128.9135,64.71809
16.20129,9.847353,2.05005,-0.147243,332.8224,128.9879,64.71432
16.2061,9.847353,2.05005,-0.147243,332.8224,128.9879,64.71432
16.20805,9.847353,2.05005,-0.147243,332.8224,128.9879,64.71432
16.20984,9.847353,2.05005,-0.147243,332.8224,128.9879,64.71432
16.21182,9.847353,2.05005,-0.147243,332.8224,128.9879,64.71432
16.2137,9.847353,2.05005,-0.147243,332.8224,128.9879,64.71432
16.2157,9.847353,2.05005,-0.147243,332.8224,128.9879,64.71432
16.21783,9.847353,2.05005,-0.147243,332.8224,128.9879,64.71432
16.21973,9.847353,2.05005,-0.147243,332.8224,128.9879,64.71432
16.22188,9.847353,2.05005,-0.147243,332.814,129.0623,64.71055
16.22643,9.847353,2.05005,-0.147243,332.814,129.0623,64.71055
16.23542,9.847353,2.05005,-0.147243,332.814,129.0623,64.71055
16.23741,9.847353,2.05005,-0.147243,332.814,129.0623,64.71055
16.23993,9.847353,2.05005,-0.147243,332.814,129.0623,64.71055
16.2419,9.847353,2.05005,-0.147243,332.814,129.0623,64.78378
16.24634,9.847353,2.05005,-0.147243,332.814,129.0623,64.78378
16.24848,9.847353,2.05005,-0.147243,332.814,129.0623,64.78378
16.25054,9.847353,2.05005,-0.147243,332.814,129.0623,64.78378
16.25251,9.847353,2.05005,-0.147243,332.814,129.0623,64.78378
16.25455,9.847353,2.05005,-0.147243,332.814,129.0623,64.78378
16.25624,9.847353,2.05005,-0.147243,332.814,129.0623,64.78378
16.25803,9.847353,2.05005,-0.147243,332.814,129.0623,64.78378
16.25981,9.847353,2.05005,-0.147243,332.814,129.0623,64.78378
16.26174,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.26719,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.2691,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.27155,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.27336,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.27541,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.27714,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.27924,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.28159,9.847353,2.05005,-0.147243,332.8056,129.1367,64.70676
16.2864,9.847353,2.05005,-0.147243,332.8056,129.1367,64.70676
16.28891,9.847353,2.05005,-0.147243,332.8056,129.1367,64.70676
16.29096,9.847353,2.05005,-0.147243,332.8056,129.1367,64.70676
16.29282,9.847353,2.05005,-0.147243,332.8056,129.1367,64.70676
16.29478,9.847353,2.05005,-0.147243,332.8056,129.1367,64.70676
16.2965,9.847353,2.05005,-0.147243,332.8056,129.1367,64.70676
16.29851,9.847353,2.05005,-0.147243,332.8056,129.1367,64.70676
16.30043,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.30304,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.30576,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.30767,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.30952,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.31167,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.31371,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.31536,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.31695,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.31859,9.847353,2.05005,-0.147243,332.8056,129.1367,64.78
16.3208,9.851012,2.05005,-0.145551,332.725,129.2628,64.67952
16.32639,9.851012,2.05005,-0.145551,332.725,129.2628,64.67952
16.32852,9.851011,2.05005,-0.145551,332.725,129.2628,64.67952
16.33094,9.851012,2.05005,-0.145551,332.725,129.2628,64.67952
16.33307,9.851012,2.05005,-0.145551,332.725,129.2628,64.67952
16.33492,9.851012,2.05005,-0.145551,332.725,129.2628,64.67952
16.33694,9.851012,2.05005,-0.145551,332.725,129.2628,64.67952
16.33935,9.851012,2.05005,-0.145551,332.725,129.2628,64.67952
16.3417,9.851011,2.05005,-0.145551,332.7167,129.3373,64.67573
16.34633,9.851012,2.05005,-0.145551,332.7167,129.3373,64.67573
16.34849,9.851012,2.05005,-0.145551,332.7167,129.3373,64.67573
16.35082,9.851012,2.05005,-0.145551,332.7167,129.3373,64.67573
16.3528,9.851012,2.05005,-0.145551,332.7167,129.3373,64.67573
16.35489,9.851012,2.05005,-0.145551,332.7167,129.3373,64.67573
16.35677,9.851012,2.05005,-0.145551,332.7167,129.3373,64.67573
16.35831,9.851012,2.05005,-0.145551,332.7167,129.3373,64.67573
16.35999,9.851012,2.05005,-0.145551,332.7167,129.3373,64.67573
16.36168,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.36639,9.851013,2.05005,-0.145551,332.7894,129.3476,64.74426
16.36853,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.37079,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.3726,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.37465,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.37635,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.3784,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.38796,9.851012,2.05005,-0.145551,332.7727,129.4965,64.66335
16.39035,9.851012,2.05005,-0.145551,332.7727,129.4965,64.66335
16.39219,9.851012,2.05005,-0.145551,332.7727,129.4965,64.66335
16.3938,9.851012,2.05005,-0.145551,332.7727,129.4965,64.66335
16.39534,9.851012,2.05005,-0.145551,332.7727,129.4965,64.66335
16.3973,9.851012,2.05005,-0.145551,332.7727,129.4965,64.66335
16.39917,9.851012,2.05005,-0.145551,332.7727,129.4965,64.66335
16.40104,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.40661,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.40853,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.41057,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.41251,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.41447,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.41652,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.4186,9.851012,2.05005,-0.145551,332.7894,129.3476,64.74426
16.42056,9.851013,2.05005,-0.145551,332.7644,129.5709,64.65949
16.42643,9.851012,2.05005,-0.145551,332.7644,129.5709,64.65949
16.42859,9.851012,2.05005,-0.145551,332.7644,129.5709,64.65949
16.43079,9.851012,2.05005,-0.145551,332.7644,129.5709,64.65949
16.4332,9.851012,2.05005,-0.145551,332.7644,129.5709,64.65949
16.43529,9.851012,2.05005,-0.145551,332.7644,129.5709,64.65949
16.43756,9.851012,2.05005,-0.145551,332.7644,129.5709,64.65949
16.44025,9.851012,2.05005,-0.145551,332.6834,129.6351,64.66034
16.44398,9.851012,2.05005,-0.145551,332.6834,129.6351,64.66034
16.44655,9.851012,2.05005,-0.145551,332.6834,129.6351,64.66034
16.4484,9.851012,2.05005,-0.145551,332.6834,129.6351,64.66034
