time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
18.86417,-3.498224,2.05005,0.095892,319.6303,153.0469,84.18713
18.86874,-3.498224,2.05005,0.095892,319.6303,153.0469,84.18713
18.87271,-3.498224,2.05005,0.095892,319.6303,153.0469,84.18713
18.8758,-3.498224,2.05005,0.095892,319.6303,153.0469,84.18713
18.87955,-3.498224,2.05005,0.095892,319.6303,153.0469,84.18713
18.88265,-3.492695,2.05005,0.093017,319.6203,153.0781,84.17772
18.88636,-3.492695,2.05005,0.093017,319.6203,153.0781,84.17772
18.8902,-3.492695,2.05005,0.093017,319.6203,153.0781,84.17772
18.89326,-3.492695,2.05005,0.093017,319.6203,153.0781,84.17772
18.89623,-3.492695,2.05005,0.093017,319.6203,153.0781,84.17772
18.89978,-3.492695,2.05005,0.093017,319.6203,153.0781,84.17772
18.90298,-3.487164,2.05005,0.090147,319.6825,153.1252,84.23122
18.907,-3.487164,2.05005,0.090147,319.6825,153.1252,84.23122
18.91022,-3.487164,2.05005,0.090147,319.6825,153.1252,84.23122
18.91367,-3.487164,2.05005,0.090147,319.6825,153.1252,84.23122
18.91688,-3.487164,2.05005,0.090147,319.6825,153.1252,84.23122
18.92023,-3.484397,2.05005,0.088714,319.7448,153.1958,84.21152
18.9243,-3.484397,2.05005,0.088714,319.7448,153.1958,84.21152
18.92779,-3.484397,2.05005,0.088714,319.7448,153.1958,84.21152
18.93121,-3.484397,2.05005,0.088714,319.7448,153.1958,84.21152
18.93427,-3.484397,2.05005,0.088714,319.7448,153.1958,84.21152
18.93727,-3.484397,2.05005,0.088714,319.7448,153.1958,84.21152
18.94016,-3.48163,2.05005,0.087281,319.797,153.3447,84.25563
18.94375,-3.48163,2.05005,0.087281,319.797,153.3447,84.25563
18.94702,-3.48163,2.05005,0.087281,319.797,153.3447,84.25563
18.94999,-3.48163,2.05005,0.087281,319.797,153.3447,84.25563
18.95314,-3.48163,2.05005,0.087281,319.797,153.3447,84.25563
18.9566,-3.48163,2.05005,0.087281,319.797,153.3447,84.25563
18.96255,-3.48163,2.05005,0.087281,319.7771,153.5013,84.23662
18.96814,-3.48163,2.05005,0.087281,319.7771,153.5013,84.23662
18.97802,-3.48163,2.05005,0.087281,319.7771,153.5013,84.23662
18.9809,-3.480399,2.05005,0.08966,319.9254,153.6269,84.25549
18.98444,-3.480399,2.05005,0.08966,319.9254,153.6269,84.25549
18.98745,-3.480399,2.05005,0.08966,319.9254,153.6269,84.25549
18.99115,-3.480399,2.05005,0.08966,319.9254,153.6269,84.25549
18.99406,-3.4804,2.05005,0.08966,319.9254,153.6269,84.25549
18.99751,-3.480399,2.05005,0.08966,319.9254,153.6269,84.25549
19.00056,-3.480399,2.05005,0.08966,319.8235,153.8464,84.16368
19.00464,-3.4804,2.05005,0.08966,319.8235,153.8464,84.16368
19.00763,-3.480399,2.05005,0.08966,319.8235,153.8464,84.16368
19.01057,-3.480399,2.05005,0.08966,319.8235,153.8464,84.16368
19.01331,-3.480399,2.05005,0.08966,319.8235,153.8464,84.16368
19.01623,-3.480399,2.05005,0.08966,319.8235,153.8464,84.16368
19.019,-3.480399,2.05005,0.08966,319.8235,153.8464,84.16368
19.02238,-3.480399,2.05005,0.08966,319.876,154.0187,84.06122
19.02651,-3.480399,2.05005,0.08966,319.876,154.0187,84.06122
19.02998,-3.4804,2.05005,0.08966,319.876,154.0187,84.06122
19.03283,-3.4804,2.05005,0.08966,319.876,154.0187,84.06122
19.0359,-3.480399,2.05005,0.08966,319.876,154.0187,84.06122
19.03938,-3.480399,2.05005,0.08966,319.876,154.0187,84.06122
19.04221,-3.4804,2.05005,0.08966,319.9384,154.1127,84.11483
19.04587,-3.4804,2.05005,0.08966,319.9384,154.1127,84.11483
19.04812,-3.4804,2.05005,0.08966,319.9384,154.1127,84.11483
19.05104,-3.480399,2.05005,0.08966,319.9384,154.1127,84.11483
19.05447,-3.480399,2.05005,0.08966,319.9384,154.1127,84.11483
19.05741,-3.480399,2.05005,0.08966,319.9384,154.1127,84.11483
19.06062,-3.483166,2.05005,0.091092,319.9187,154.293,84.09558
19.06417,-3.483165,2.05005,0.091092,319.9187,154.293,84.09558
19.0673,-3.483166,2.05005,0.091092,319.9187,154.293,84.09558
19.07375,-3.483166,2.05005,0.091092,319.9187,154.293,84.09558
19.0813,-3.481934,2.05005,0.09347,319.9089,154.3715,84.08592
19.08496,-3.481934,2.05005,0.09347,319.9089,154.3715,84.08592
19.08814,-3.481934,2.05005,0.09347,319.9089,154.3715,84.08592
19.09167,-3.481934,2.05005,0.09347,319.9089,154.3715,84.08592
19.09487,-3.481934,2.05005,0.09347,319.9089,154.3715,84.08592
19.0975,-3.481934,2.05005,0.09347,319.9089,154.3715,84.08592
19.10056,-3.484699,2.05005,0.094903,319.9132,154.4891,84.12512
19.10432,-3.484698,2.05005,0.094903,319.9132,154.4891,84.12512
19.10723,-3.484698,2.05005,0.094903,319.9132,154.4891,84.12512
19.11032,-3.484699,2.05005,0.094903,319.9132,154.4891,84.12512
19.11367,-3.484699,2.05005,0.094903,319.9132,154.4891,84.12512
19.11704,-3.484698,2.05005,0.094903,319.9132,154.4891,84.12512
19.1206,-3.484699,2.05005,0.094903,319.9034,154.5676,84.04221
19.12437,-3.484699,2.05005,0.094903,319.9034,154.5676,84.04221
19.12747,-3.484698,2.05005,0.094903,319.9034,154.5676,84.04221
19.13056,-3.484699,2.05005,0.094903,319.9034,154.5676,84.04221
19.13353,-3.484699,2.05005,0.094903,319.9034,154.5676,84.04221
19.13669,-3.484698,2.05005,0.094903,319.9034,154.5676,84.04221
19.13983,-3.484699,2.05005,0.094903,319.9034,154.5676,84.04221
19.14277,-3.481934,2.05005,0.09347,319.8936,154.6225,84.03249
19.14697,-3.481934,2.05005,0.09347,319.8936,154.6225,84.03249
19.15022,-3.481934,2.05005,0.09347,319.8936,154.6225,84.03249
19.15318,-3.481934,2.05005,0.09347,319.8936,154.6225,84.03249
19.15603,-3.481934,2.05005,0.09347,319.8936,154.6225,84.03249
19.15893,-3.481934,2.05005,0.09347,319.8936,154.6225,84.03249
19.16197,-3.481934,2.05005,0.09347,319.8936,154.6225,84.17899
19.16572,-3.481934,2.05005,0.09347,319.8936,154.6225,84.17899
19.1687,-3.481934,2.05005,0.09347,319.8936,154.6225,84.17899
19.17237,-3.481934,2.05005,0.09347,319.8936,154.6225,84.17899
19.17482,-3.481934,2.05005,0.09347,319.8936,154.6225,84.17899
19.17717,-3.481934,2.05005,0.09347,319.8936,154.6225,84.17899
19.18004,-3.476403,2.05005,0.090609,319.9659,154.5907,84.1691
19.18365,-3.476403,2.05005,0.090609,319.9659,154.5907,84.1691
19.18661,-3.476403,2.05005,0.090609,319.9659,154.5907,84.1691
19.18949,-3.476403,2.05005,0.090609,319.9659,154.5907,84.1691
19.19259,-3.476403,2.05005,0.090609,319.9659,154.5907,84.1691
19.19539,-3.476403,2.05005,0.090609,319.9659,154.5907,84.1691
19.19821,-3.476403,2.05005,0.090609,319.9659,154.5907,84.1691
19.20054,-3.462565,2.05005,0.083476,320.1203,154.4252,84.23234
19.20451,-3.462565,2.05005,0.083476,320.1203,154.4252,84.23234
19.20739,-3.462565,2.05005,0.083476,320.1203,154.4252,84.23234
19.21047,-3.462565,2.05005,0.083476,320.1203,154.4252,84.23234
19.21331,-3.462565,2.05005,0.083476,320.1203,154.4252,84.23234
19.21577,-3.462565,2.05005,0.083476,320.1203,154.4252,84.23234
19.21841,-3.462565,2.05005,0.083476,320.1203,154.4252,84.23234
19.22129,-3.434845,2.05005,0.069295,320.2649,154.2201,84.28606
19.22515,-3.434845,2.05005,0.069295,320.2649,154.2201,84.28606
19.22805,-3.434845,2.05005,0.069295,320.2649,154.2201,84.28606
19.23091,-3.434845,2.05005,0.069295,320.2649,154.2201,84.28606
19.23326,-3.434845,2.05005,0.069295,320.2649,154.2201,84.28606
19.23553,-3.434845,2.05005,0.069295,320.2649,154.2201,84.28606
19.23906,-3.434845,2.05005,0.069295,320.2649,154.2201,84.28606
19.24173,-3.388788,2.050049,0.043054,320.4481,154.0301,84.26172
19.24552,-3.388788,2.050049,0.043054,320.4481,154.0301,84.26172
19.24834,-3.388788,2.050049,0.043054,320.4481,154.0301,84.26172
19.25143,-3.388788,2.050049,0.043054,320.4481,154.0301,84.26172
19.25523,-3.388788,2.050049,0.043054,320.4481,154.0301,84.26172
19.25849,-3.388788,2.050049,0.043054,320.4481,154.0301,84.26172
19.26133,-3.324567,2.050049,0.011307,320.6067,154.0038,84.2478
19.26484,-3.324568,2.050049,0.011307,320.6067,154.0038,84.2478
19.26764,-3.324567,2.050049,0.011307,320.6067,154.0038,84.2478
19.27128,-3.324568,2.050049,0.011307,320.6067,154.0038,84.2478
19.27435,-3.324568,2.050049,0.011307,320.6067,154.0038,84.2478
19.27714,-3.324567,2.050049,0.011307,320.6067,154.0038,84.2478
19.2809,-3.235868,2.050048,-0.03427,320.6403,154.0729,84.08052
19.28461,-3.235867,2.050048,-0.03427,320.6403,154.0729,84.08052
19.2884,-3.235867,2.050048,-0.03427,320.6403,154.0729,84.08052
19.29073,-3.235867,2.050048,-0.03427,320.6403,154.0729,84.08052
19.2936,-3.235868,2.050048,-0.03427,320.6403,154.0729,84.08052
19.29688,-3.235867,2.050048,-0.03427,320.6403,154.0729,84.08052
19.29977,-3.235867,2.050048,-0.03427,320.6403,154.0729,84.08052
19.30261,-3.138034,2.050047,-0.082567,320.646,154.2848,83.95391
19.30633,-3.138034,2.050047,-0.082567,320.646,154.2848,83.95391
19.30924,-3.138034,2.050047,-0.082567,320.646,154.2848,83.95391
19.31217,-3.138034,2.050047,-0.082567,320.646,154.2848,83.95391
19.31514,-3.138034,2.050047,-0.082567,320.646,154.2848,83.95391
19.3184,-3.138034,2.050047,-0.082567,320.646,154.2848,83.95391
19.32187,-3.036624,2.050048,-0.130716,320.5525,154.697,83.80165
19.32524,-3.036624,2.050048,-0.130716,320.5525,154.697,83.80165
19.32792,-3.036624,2.050048,-0.130716,320.5525,154.697,83.80165
19.33069,-3.036624,2.050048,-0.130716,320.5525,154.697,83.80165
19.33338,-3.036624,2.050048,-0.130716,320.5525,154.697,83.80165
19.33599,-3.036624,2.050048,-0.130716,320.5525,154.697,83.80165
19.33904,-3.036624,2.050048,-0.130716,320.5525,154.697,83.80165
19.34181,-2.934475,2.050048,-0.177374,320.4612,155.1125,83.71748
19.34521,-2.934475,2.050048,-0.177374,320.4612,155.1125,83.71748
19.34793,-2.934475,2.050048,-0.177374,320.4612,155.1125,83.71748
19.35085,-2.934475,2.050048,-0.177374,320.4612,155.1125,83.71748
19.35378,-2.934475,2.050048,-0.177374,320.4612,155.1125,83.71748
19.35675,-2.934475,2.050048,-0.177374,320.4612,155.1125,83.71748
19.35999,-2.934475,2.050048,-0.177374,320.4612,155.1125,83.71748
19.363,-2.846078,2.050048,-0.216693,320.2003,155.8591,83.53915
19.36666,-2.846078,2.050048,-0.216693,320.2003,155.8591,83.53915
19.36932,-2.846078,2.050048,-0.216693,320.2003,155.8591,83.53915
19.37208,-2.846078,2.050048,-0.216693,320.2003,155.8591,83.53915
19.37544,-2.846078,2.050048,-0.216693,320.2003,155.8591,83.53915
19.37845,-2.846078,2.050048,-0.216693,320.2003,155.8591,83.53915
19.38134,-2.776554,2.050049,-0.253054,320.0633,156.6492,83.39019
19.38495,-2.776554,2.050049,-0.253054,320.0633,156.6492,83.39019
19.38793,-2.776554,2.050049,-0.253054,320.0633,156.6492,83.39019
19.39021,-2.776554,2.050049,-0.253054,320.0633,156.6492,83.39019
19.39244,-2.776554,2.050049,-0.253054,320.0633,156.6492,83.39019
19.39471,-2.776554,2.050049,-0.253054,320.0633,156.6492,83.39019
19.39702,-2.776554,2.050049,-0.253054,320.0633,156.6492,83.39019
19.39946,-2.776554,2.050049,-0.253054,320.0633,156.6492,83.39019
19.4022,-2.722188,2.05005,-0.277029,319.8254,157.5298,83.14696
19.40612,-2.722188,2.05005,-0.277029,319.8254,157.5298,83.14696
19.40953,-2.722188,2.05005,-0.277029,319.8254,157.5298,83.14696
19.4124,-2.722188,2.05005,-0.277029,319.8254,157.5298,83.14696
19.41483,-2.722188,2.05005,-0.277029,319.8254,157.5298,83.14696
19.41814,-2.722188,2.05005,-0.277029,319.8254,157.5298,83.14696
19.42137,-2.69007,2.05005,-0.28927,319.7057,158.3663,83.0515
