time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
18.86417,3.198549,2.05005,-1.858138,314.3096,154.4041,252.6826
18.86874,3.198549,2.05005,-1.858138,314.3096,154.4041,252.6826
18.87271,3.198549,2.05005,-1.858138,314.3096,154.4041,252.6826
18.8758,3.198549,2.05005,-1.858138,314.3096,154.4041,252.6826
18.87955,3.198549,2.05005,-1.858138,314.3096,154.4041,252.6826
18.88265,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.88636,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.8902,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.89326,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.89623,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.89978,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.90298,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.907,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.91022,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.91367,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.91688,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.92023,3.198715,2.05005,-1.85859,314.3123,154.307,252.7979
18.9243,3.198715,2.05005,-1.85859,314.3123,154.307,252.7979
18.92779,3.198715,2.05005,-1.85859,314.3123,154.307,252.7979
18.93121,3.198715,2.05005,-1.85859,314.3123,154.307,252.7979
18.93427,3.198715,2.05005,-1.85859,314.3123,154.307,252.7979
18.93727,3.198715,2.05005,-1.85859,314.3123,154.307,252.7979
18.94016,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.94375,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.94702,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.94999,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.95314,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.9566,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
18.96255,3.198715,2.05005,-1.85859,314.3123,154.307,252.7246
18.96814,3.198715,2.05005,-1.85859,314.3123,154.307,252.7246
18.97802,3.198715,2.05005,-1.85859,314.3123,154.307,252.7246
18.9809,3.198715,2.05005,-1.85859,314.3123,154.307,252.7979
18.98444,3.198715,2.05005,-1.85859,314.3123,154.307,252.7979
18.98745,3.198715,2.05005,-1.85859,314.3123,154.307,252.7979
18.99115,3.198715,2.05005,-1.85859,314.3123,154.307,252.7979
18.99406,3.198715,2.05005,-1.85859,314.3123,154.307,252.7979
18.99751,3.198715,2.05005,-1.85859,314.3123,154.307,252.7979
19.00056,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
19.00464,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
19.00763,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
19.01057,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
19.01331,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
19.01623,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
19.019,3.198715,2.05005,-1.85859,314.2364,154.3998,252.7589
19.02238,3.197855,2.05005,-1.856257,314.3328,154.4063,252.7527
19.02651,3.197855,2.05005,-1.856257,314.3328,154.4063,252.7527
19.02998,3.197855,2.05005,-1.856257,314.3328,154.4063,252.7527
19.03283,3.197855,2.05005,-1.856257,314.3328,154.4063,252.7527
19.0359,3.197855,2.05005,-1.856257,314.3328,154.4063,252.7527
19.03938,3.197855,2.05005,-1.856257,314.3328,154.4063,252.7527
19.04221,3.198022,2.05005,-1.856708,314.3328,154.4063,252.7527
19.04587,3.198022,2.05005,-1.856708,314.3328,154.4063,252.7527
19.04812,3.198022,2.05005,-1.856708,314.3328,154.4063,252.7527
19.05104,3.198022,2.05005,-1.856708,314.3328,154.4063,252.7527
19.05447,3.198022,2.05005,-1.856708,314.3328,154.4063,252.7527
19.05741,3.198022,2.05005,-1.856708,314.3328,154.4063,252.7527
19.06062,3.197161,2.05005,-1.854374,314.3588,154.3115,252.7915
19.06417,3.197161,2.05005,-1.854374,314.3588,154.3115,252.7915
19.0673,3.197161,2.05005,-1.854374,314.3588,154.3115,252.7915
19.07375,3.197161,2.05005,-1.854374,314.3588,154.3115,252.7915
19.0813,3.197161,2.05005,-1.854374,314.356,154.4086,252.6764
19.08496,3.197161,2.05005,-1.854374,314.356,154.4086,252.6764
19.08814,3.197161,2.05005,-1.854374,314.356,154.4086,252.6764
19.09167,3.197161,2.05005,-1.854374,314.356,154.4086,252.6764
19.09487,3.197161,2.05005,-1.854374,314.356,154.4086,252.6764
19.0975,3.197161,2.05005,-1.854374,314.356,154.4086,252.6764
19.10056,3.197161,2.05005,-1.854374,314.3588,154.3115,252.7915
19.10432,3.197161,2.05005,-1.854374,314.3588,154.3115,252.7915
19.10723,3.197161,2.05005,-1.854374,314.3588,154.3115,252.7915
19.11032,3.197161,2.05005,-1.854374,314.3588,154.3115,252.7915
19.11367,3.197161,2.05005,-1.854374,314.3588,154.3115,252.7915
19.11704,3.197161,2.05005,-1.854374,314.3588,154.3115,252.7915
19.1206,3.196301,2.05005,-1.85204,314.3793,154.4108,252.7465
19.12437,3.196301,2.05005,-1.852039,314.3793,154.4108,252.7465
19.12747,3.196301,2.05005,-1.852039,314.3793,154.4108,252.7465
19.13056,3.196301,2.05005,-1.852039,314.3793,154.4108,252.7465
19.13353,3.196301,2.05005,-1.852039,314.3793,154.4108,252.7465
19.13669,3.196301,2.05005,-1.85204,314.3793,154.4108,252.7465
19.13983,3.196301,2.05005,-1.852039,314.3793,154.4108,252.7465
19.14277,3.196301,2.05005,-1.85204,314.3793,154.4108,252.7465
19.14697,3.196301,2.05005,-1.852039,314.3793,154.4108,252.7465
19.15022,3.196301,2.05005,-1.852039,314.3793,154.4108,252.7465
19.15318,3.196301,2.05005,-1.852039,314.3793,154.4108,252.7465
19.15603,3.196301,2.05005,-1.852039,314.3793,154.4108,252.7465
19.15893,3.196301,2.05005,-1.852039,314.3793,154.4108,252.7465
19.16197,3.193718,2.05005,-1.845034,314.4518,154.3206,252.7789
19.16572,3.193718,2.05005,-1.845034,314.4518,154.3206,252.7789
19.1687,3.193718,2.05005,-1.845034,314.4518,154.3206,252.7789
19.17237,3.193718,2.05005,-1.845034,314.4518,154.3206,252.7789
19.17482,3.193718,2.05005,-1.845034,314.4518,154.3206,252.7789
19.17717,3.193718,2.05005,-1.845034,314.4518,154.3206,252.7789
19.18004,3.188381,2.05005,-1.830559,314.5912,154.334,252.8332
19.18365,3.188381,2.05005,-1.830559,314.5912,154.334,252.8332
19.18661,3.188381,2.05005,-1.830559,314.5912,154.334,252.8332
19.18949,3.188381,2.05005,-1.830559,314.5912,154.334,252.8332
19.19259,3.188381,2.05005,-1.830559,314.5912,154.334,252.8332
19.19539,3.188381,2.05005,-1.830559,314.5912,154.334,252.8332
19.19821,3.188381,2.05005,-1.830559,314.5912,154.334,252.8332
19.20054,3.195668,2.05005,-1.806595,314.6076,154.2706,253.4764
19.20451,3.195668,2.05005,-1.806595,314.6076,154.2706,253.4764
19.20739,3.195668,2.05005,-1.806595,314.6076,154.2706,253.4764
19.21047,3.195668,2.05005,-1.806595,314.6076,154.2706,253.4764
19.21331,3.195668,2.05005,-1.806595,314.6076,154.2706,253.4764
19.21577,3.195668,2.05005,-1.806595,314.6076,154.2706,253.4764
19.21841,3.195668,2.05005,-1.806595,314.6076,154.2706,253.4764
19.22129,3.199253,2.05005,-1.762087,314.8857,154.0859,254.4982
19.22515,3.199253,2.05005,-1.762087,314.8857,154.0859,254.4982
19.22805,3.199253,2.05005,-1.762087,314.8857,154.0859,254.4982
19.23091,3.199253,2.05005,-1.762087,314.8857,154.0859,254.4982
19.23326,3.199253,2.05005,-1.762087,314.8857,154.0859,254.4982
19.23553,3.199253,2.05005,-1.762087,314.8857,154.0859,254.4982
19.23906,3.199253,2.05005,-1.762087,314.8857,154.0859,254.4982
19.24173,3.202978,2.05005,-1.707767,315.2069,153.8619,255.4326
19.24552,3.202978,2.05005,-1.707767,315.2069,153.8619,255.4326
19.24834,3.202978,2.05005,-1.707766,315.2069,153.8619,255.4326
19.25143,3.202978,2.05005,-1.707766,315.2069,153.8619,255.4326
19.25523,3.202978,2.05005,-1.707766,315.2069,153.8619,255.4326
19.25849,3.202978,2.05005,-1.707766,315.2069,153.8619,255.4326
19.26133,3.212561,2.05005,-1.638093,315.6476,153.6234,256.3564
19.26484,3.212561,2.05005,-1.638093,315.6476,153.6234,256.3564
19.26764,3.212561,2.05005,-1.638093,315.6476,153.6234,256.3564
19.27128,3.212561,2.05005,-1.638093,315.6476,153.6234,256.3564
19.27435,3.212561,2.05005,-1.638093,315.6476,153.6234,256.3564
19.27714,3.212561,2.05005,-1.638093,315.6476,153.6234,256.3564
