time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.765109,0.023993,2.05005,-1.517957,323.2994,177.1419,282.3746
8.773367,0.023993,2.05005,-1.517957,323.2994,177.1419,282.3746
8.780454,0.023993,2.05005,-1.517957,323.2994,177.1419,282.3746
8.784079,0.023993,2.05005,-1.517957,323.2994,177.1419,282.3746
8.787187,0.023993,2.05005,-1.517957,323.2994,177.1419,282.3746
8.790238,0.023993,2.05005,-1.517957,323.2994,177.1419,282.3746
8.793203,0.023993,2.05005,-1.517957,323.2994,177.1419,282.3746
8.797066,0.023993,2.05005,-1.517957,323.2994,177.1419,282.3746
8.799754,0.023993,2.05005,-1.517957,323.2994,177.1419,282.3746
8.802234,0.020565,2.05005,-1.517966,323.2984,177.2285,282.4194
8.805264,0.020565,2.05005,-1.517966,323.2984,177.2285,282.4194
8.808544,0.020565,2.05005,-1.517966,323.2984,177.2285,282.4194
8.814256,0.020565,2.05005,-1.517966,323.2984,177.2285,282.4194
8.818101,0.020565,2.05005,-1.517966,323.2984,177.2285,282.4194
8.820665,0.013706,2.05005,-1.515399,323.3939,177.3879,282.3888
8.823646,0.013706,2.05005,-1.515399,323.3939,177.3879,282.3888
8.827322,0.013706,2.05005,-1.515399,323.3939,177.3879,282.3888
8.830474,0.013706,2.05005,-1.515399,323.3939,177.3879,282.3888
8.833265,0.013706,2.05005,-1.515399,323.3939,177.3879,282.3888
8.836156,0.013706,2.05005,-1.515399,323.3939,177.3879,282.3888
8.839189,0.013706,2.05005,-1.515399,323.3939,177.3879,282.3888
8.842541,0.006849,2.05005,-1.510244,323.3663,177.5218,282.2854
8.846404,0.006849,2.05005,-1.510244,323.3663,177.5218,282.2854
8.8494,0.006849,2.05005,-1.510244,323.3663,177.5218,282.2854
8.85207,0.006849,2.05005,-1.510244,323.3663,177.5218,282.2854
8.854773,0.006849,2.05005,-1.510244,323.3663,177.5218,282.2854
8.857654,0.006849,2.05005,-1.510244,323.3663,177.5218,282.2854
8.861082,-0.006844,2.05005,-1.50508,323.414,177.531,282.3112
8.864592,-0.006844,2.05005,-1.50508,323.414,177.531,282.3112
8.867395,-0.006844,2.05005,-1.50508,323.414,177.531,282.3112
8.870049,-0.006844,2.05005,-1.50508,323.414,177.531,282.3112
8.873149,-0.006844,2.05005,-1.50508,323.414,177.531,282.3112
8.876553,-0.006844,2.05005,-1.50508,323.414,177.531,282.3112
8.879756,-0.006844,2.05005,-1.50508,323.414,177.531,282.3112
8.886329,-0.020517,2.05005,-1.498253,323.486,177.4547,282.3637
8.891467,-0.020517,2.05005,-1.498253,323.486,177.4547,282.3637
8.894944,-0.020517,2.05005,-1.498253,323.486,177.4547,282.3637
8.898104,-0.020517,2.05005,-1.498253,323.486,177.4547,282.3637
8.900805,-0.027347,2.05005,-1.49565,323.5836,177.4177,282.3896
8.904865,-0.027347,2.05005,-1.49565,323.5836,177.4177,282.3896
8.907517,-0.027347,2.05005,-1.49565,323.5836,177.4177,282.3896
8.910862,-0.027347,2.05005,-1.49565,323.5836,177.4177,282.3896
8.913612,-0.027347,2.05005,-1.49565,323.5836,177.4177,282.3896
8.91634,-0.027347,2.05005,-1.49565,323.5836,177.4177,282.3896
8.919336,-0.027347,2.05005,-1.49565,323.5836,177.4177,282.3896
8.922099,-0.027338,2.05005,-1.493066,323.5348,177.3307,282.4172
8.925274,-0.027338,2.05005,-1.493066,323.5348,177.3307,282.4172
8.928241,-0.027338,2.05005,-1.493066,323.5348,177.3307,282.4172
8.931026,-0.027338,2.05005,-1.493066,323.5348,177.3307,282.4172
8.934346,-0.027338,2.05005,-1.493066,323.5348,177.3307,282.4172
8.937697,-0.027338,2.05005,-1.493066,323.5348,177.3307,282.4172
8.940418,-0.027338,2.05005,-1.493066,323.536,177.2444,282.4453
8.944316,-0.027338,2.05005,-1.493066,323.536,177.2444,282.4453
8.946815,-0.027338,2.05005,-1.493066,323.536,177.2444,282.4453
8.950314,-0.027338,2.05005,-1.493066,323.536,177.2444,282.4453
8.95366,-0.027338,2.05005,-1.493066,323.536,177.2444,282.4453
8.95641,-0.027338,2.05005,-1.493066,323.536,177.2444,282.4453
8.959264,-0.027338,2.05005,-1.493066,323.536,177.2444,282.4453
8.962019,-0.027338,2.05005,-1.493066,323.5371,177.158,282.5466
