time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.765109,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.773367,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.780454,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.784079,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.787187,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.790238,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.793203,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.797066,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.799754,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.802234,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.805264,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.808544,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.814256,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.818101,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.820665,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.823646,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.827322,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.830474,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.833265,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.836156,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.839189,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.842541,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.846404,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.8494,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.85207,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.854773,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.857654,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.861082,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.864592,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.867395,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.870049,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.873149,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.876553,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.879756,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.886329,0,1.244464,2.80571,335.6388,179.8827,40.3768
8.891467,0,1.244464,2.80571,335.6388,179.8827,40.3768
8.894944,0,1.244464,2.80571,335.6388,179.8827,40.3768
8.898104,0,1.244464,2.80571,335.6388,179.8827,40.3768
8.900805,0,1.244465,2.80571,335.7121,179.8826,40.37683
8.904865,0,1.244465,2.80571,335.7121,179.8826,40.37683
8.907517,0,1.244465,2.80571,335.7121,179.8826,40.37683
8.910862,0,1.244465,2.80571,335.7121,179.8826,40.37683
8.913612,0,1.244465,2.80571,335.7121,179.8826,40.37683
8.91634,0,1.244465,2.80571,335.7121,179.8826,40.37683
8.919336,0,1.244465,2.80571,335.7121,179.8826,40.37683
8.922099,0,1.244465,2.80571,335.6388,179.8827,40.3768
8.925274,0,1.244465,2.80571,335.6388,179.8827,40.3768
