timestamp,log_type,message,stacktrace
3.929716,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:333).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:501).  
11.58027,Log,New Trial,UnityEngine.Debug:Log (object).  StartPointController/<Countdown>d__6:MoveNext () (at Assets/Scripts/StartPointController.cs:35).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
11.58906,Log,Started Coroutine at timestamp : 11.58906,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:38).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
11.58906,Log,mentor pos: (0.00 1.24 2.81),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:49).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
11.58906,Log,trainee pos: (-0.08 2.05 -1.56),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:50).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
14.58985,Log,Finished Coroutine at timestamp : 14.58985,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:56).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
14.59335,Log,Started Coroutine at timestamp : 14.59335,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:38).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
14.59335,Log,mentor pos: (0.00 1.24 2.81),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:49).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
14.59335,Log,trainee pos: (-1.27 2.05 -1.10),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:50).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
17.59443,Log,Finished Coroutine at timestamp : 17.59443,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:56).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
17.59783,Log,Started Coroutine at timestamp : 17.59783,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:38).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
17.59783,Log,mentor pos: (0.00 1.24 2.81),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:49).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
17.59783,Log,trainee pos: (-1.42 2.05 -0.41),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:50).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
20.59966,Log,Finished Coroutine at timestamp : 20.59966,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:56).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
20.60251,Log,Started Coroutine at timestamp : 20.60251,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:38).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
20.60251,Log,mentor pos: (0.00 1.24 2.81),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:49).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
20.60251,Log,trainee pos: (-1.31 2.05 0.16),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:50).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
23.6055,Log,Finished Coroutine at timestamp : 23.6055,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:56).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
23.60865,Log,Started Coroutine at timestamp : 23.60865,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:38).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
23.60865,Log,mentor pos: (0.00 1.24 2.81),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:49).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
23.60865,Log,trainee pos: (-0.52 2.05 -0.13),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:50).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
26.6093,Log,Finished Coroutine at timestamp : 26.6093,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:56).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
26.61279,Log,Started Coroutine at timestamp : 26.61279,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:38).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
26.61279,Log,mentor pos: (0.00 1.24 2.81),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:49).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
26.61279,Log,trainee pos: (0.46 2.05 -0.32),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:50).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
29.61604,Log,Finished Coroutine at timestamp : 29.61604,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:56).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
29.61894,Log,Started Coroutine at timestamp : 29.61894,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:38).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
29.61894,Log,mentor pos: (0.00 1.24 2.81),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:49).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
29.61894,Log,trainee pos: (1.02 2.05 -0.25),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:50).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
32.62057,Log,Finished Coroutine at timestamp : 32.62057,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:56).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
32.62536,Log,Started Coroutine at timestamp : 32.62536,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:38).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
