time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
21.8675,0.08203,1.10005,-1.561802,325.21,184.3889,311.3728
21.87633,0.08203,1.10005,-1.561802,325.21,184.3889,311.3728
21.88537,0.078749,1.10005,-1.561835,325.1383,184.4975,311.7173
21.89473,0.078749,1.10005,-1.561835,325.1383,184.4975,311.7173
21.90335,0.075468,1.10005,-1.561866,324.85,184.755,312.2363
21.91397,0.075468,1.10005,-1.561866,324.85,184.755,312.2363
21.9222,0.072119,1.10005,-1.554433,324.6085,185.0572,312.6872
21.93239,0.072119,1.10005,-1.554433,324.6085,185.0572,312.6872
21.94112,0.0622,1.10005,-1.543666,324.362,185.1098,313.1272
21.9511,0.0622,1.10005,-1.543666,324.362,185.1098,313.1272
21.96094,0.055466,1.100049,-1.516976,324.2799,185.2578,313.5663
21.97024,0.055466,1.100049,-1.516976,324.2799,185.2578,313.5663
21.97845,0.055466,1.100049,-1.516976,324.2799,185.2578,313.5663
21.98845,0.038895,1.100048,-1.464971,324.48,185.4354,314.0331
21.99879,0.038895,1.100048,-1.464971,324.48,185.4354,314.0331
22.008,0.022532,1.100048,-1.410494,324.7234,185.4204,314.3983
22.01763,0.022532,1.100048,-1.410494,324.7234,185.4204,314.3983
22.02583,0.006392,1.100048,-1.354718,324.967,185.4535,314.6153
22.03553,0.006392,1.100048,-1.354718,324.967,185.4535,314.6153
22.04403,-0.006368,1.100048,-1.325447,325.1713,185.4254,314.738
22.05459,-0.006368,1.100048,-1.325447,325.1713,185.4254,314.738
22.06391,-0.031628,1.100049,-1.274016,325.3187,185.5341,314.9482
22.07298,-0.031628,1.100049,-1.274016,325.3187,185.5341,314.9482
22.08246,-0.062904,1.100049,-1.231133,325.493,185.6683,315.0794
22.09217,-0.062904,1.100049,-1.231133,325.493,185.6683,315.0794
22.10076,-0.097091,1.100049,-1.198721,325.55,185.7292,315.2126
22.10985,-0.097091,1.100049,-1.198721,325.55,185.7292,315.2126
