time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
22.9844,0,1.244464,2.80571,318.0501,178.6193,282.6489
22.98811,0,1.244464,2.80571,318.0501,178.6193,282.6489
22.99167,0,1.244464,2.80571,318.0501,178.6193,282.6489
22.99491,0,1.244464,2.80571,318.0501,178.6193,282.6489
22.99835,0,1.244464,2.80571,318.0501,178.6193,282.6489
23.00176,0,1.244464,2.80571,317.9775,178.6655,282.6833
23.00551,0,1.244464,2.80571,317.9775,178.6655,282.6833
23.00898,0,1.244464,2.80571,317.9775,178.6655,282.6833
23.0123,0,1.244464,2.80571,317.9775,178.6655,282.6833
23.01526,0,1.244464,2.80571,317.9775,178.6655,282.6833
23.0184,0,1.244464,2.80571,317.9775,178.6655,282.6833
23.02161,0,1.244464,2.80571,317.9769,178.6212,282.6476
23.02498,0,1.244464,2.80571,317.9769,178.6212,282.6476
23.02844,0,1.244464,2.80571,317.9769,178.6212,282.6476
23.03152,0,1.244464,2.80571,317.9769,178.6212,282.6476
23.03454,0,1.244464,2.80571,317.9769,178.6212,282.6476
23.03794,0,1.244464,2.80571,317.9769,178.6212,282.6476
23.04116,0,1.244464,2.80571,317.9775,178.6655,282.6833
23.04503,0,1.244464,2.80571,317.9775,178.6655,282.6833
23.04799,0,1.244464,2.80571,317.9775,178.6655,282.6833
23.05116,0,1.244464,2.80571,317.9775,178.6655,282.6833
23.05464,0,1.244464,2.80571,317.9775,178.6655,282.6833
23.05807,0,1.244464,2.80571,317.9775,178.6655,282.6833
23.06145,0,1.244464,2.80571,318.0501,178.6193,282.6489
23.06496,0,1.244464,2.80571,318.0501,178.6193,282.6489
23.06769,0,1.244464,2.80571,318.0501,178.6193,282.6489
23.07129,0,1.244464,2.80571,318.0501,178.6193,282.6489
23.0742,0,1.244464,2.80571,318.0501,178.6193,282.6489
23.07723,0,1.244464,2.80571,318.0501,178.6193,282.6489
23.08029,0,1.244464,2.80571,318.0507,178.6637,282.6845
23.08366,0,1.244464,2.80571,318.0507,178.6637,282.6845
23.08724,0,1.244464,2.80571,318.0507,178.6637,282.6845
23.09086,0,1.244464,2.80571,318.0507,178.6637,282.6845
