time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
12.98589,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
12.99287,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
12.9969,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.00075,-0.137662,2.05005,-1.551318,317.0347,190.1632,329.6468
13.0043,-0.137662,2.05005,-1.551318,317.0347,190.1632,329.6468
13.00738,-0.137662,2.05005,-1.551318,317.0347,190.1632,329.6468
13.01038,-0.137662,2.05005,-1.551318,317.0347,190.1632,329.6468
13.0133,-0.137662,2.05005,-1.551318,317.0347,190.1632,329.6468
13.017,-0.137662,2.05005,-1.551318,317.0347,190.1632,329.6468
13.02018,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.02364,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.02672,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.03015,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.03335,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.0366,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.04004,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.04598,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.0489,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.05203,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.05594,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.05958,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.06338,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.06794,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.07311,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.07605,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.07954,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.08236,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.08611,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.08968,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.09303,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.09607,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.09927,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.10237,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.10595,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.10915,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.11211,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.11511,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.11809,-0.137662,2.05005,-1.551318,316.9654,190.26,329.611
13.12179,-0.137662,2.05005,-1.551318,317.0347,190.1632,329.6468
