time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
111.5242,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.532,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.5359,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.5394,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.5429,0,1.244465,2.40571,335.6389,179.9952,322.429
111.547,0,1.244464,2.40571,335.6389,179.9952,322.429
111.5505,0,1.244464,2.40571,335.6389,179.9952,322.429
111.5549,0,1.244464,2.40571,335.6389,179.9952,322.429
111.5584,0,1.244464,2.40571,335.6389,179.9952,322.429
111.5618,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.5662,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.57,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.5738,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.5773,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.5809,0,1.244464,2.40571,335.7121,179.9952,322.429
111.5849,0,1.244464,2.40571,335.7121,179.9952,322.429
111.5887,0,1.244464,2.40571,335.7121,179.9952,322.429
111.5921,0,1.244464,2.40571,335.7121,179.9952,322.429
111.5958,0,1.244464,2.40571,335.7121,179.9952,322.429
111.5993,0,1.244464,2.40571,335.7121,179.9952,322.429
111.6032,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.6094,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.6129,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.6163,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.6206,0,1.244464,2.40571,335.7121,179.9952,322.429
111.6246,0,1.244464,2.40571,335.7121,179.9952,322.429
111.6281,0,1.244464,2.40571,335.7121,179.9952,322.429
111.6317,0,1.244464,2.40571,335.7121,179.9952,322.429
111.6354,0,1.244464,2.40571,335.7121,179.9952,322.429
111.6389,0,1.244464,2.40571,335.7121,179.9952,322.429
111.6427,0,1.244464,2.40571,335.6389,179.9952,322.429
111.6471,0,1.244464,2.40571,335.6389,179.9952,322.429
111.6636,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.6711,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.6746,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.6778,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.6815,0,1.244465,2.40571,335.6389,179.9952,322.3557
111.6861,0,1.244464,2.40571,335.6389,179.9952,322.3557
111.69,0,1.244464,2.40571,335.6389,179.9952,322.3557
111.6934,0,1.244464,2.40571,335.6389,179.9952,322.3557
111.6968,0,1.244464,2.40571,335.6389,179.9952,322.3557
111.7,0,1.244464,2.40571,335.6389,179.9952,322.3557
111.7039,0,1.244464,2.40571,335.6389,179.9952,322.429
111.7093,0,1.244464,2.40571,335.6389,179.9952,322.429
111.7128,0,1.244464,2.40571,335.6389,179.9952,322.429
111.7162,0,1.244464,2.40571,335.6389,179.9952,322.429
111.7201,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.724,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.7274,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.7306,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.7342,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.7381,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.7417,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.7456,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.7489,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.7526,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.7561,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.7597,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.7628,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.7669,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.7707,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.7821,0,1.244464,2.40571,335.6389,179.9952,322.429
111.7856,0,1.244464,2.40571,335.6389,179.9952,322.429
111.789,0,1.244464,2.40571,335.6389,179.9952,322.429
111.7924,0,1.244464,2.40571,335.6389,179.9952,322.429
111.7958,0,1.244464,2.40571,335.6389,179.9952,322.429
111.7994,0,1.244464,2.40571,335.6389,179.9952,322.429
111.814,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8197,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8226,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8266,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8303,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8334,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8371,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8404,0,1.244464,2.40571,335.6389,179.9952,322.429
111.8445,0,1.244464,2.40571,335.6389,179.9952,322.429
111.848,0,1.244464,2.40571,335.6389,179.9952,322.429
111.8521,0,1.244464,2.40571,335.6389,179.9952,322.429
111.8555,0,1.244464,2.40571,335.6389,179.9952,322.429
111.8585,0,1.244464,2.40571,335.6389,179.9952,322.429
111.8617,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8656,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8694,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.873,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8762,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8795,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8826,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8871,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8907,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8941,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.8971,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9046,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9081,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9115,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9149,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9186,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9226,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.927,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9309,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9344,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9379,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9412,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9454,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9487,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9526,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9669,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9706,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9741,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9773,0,1.244464,2.40571,335.6389,180.0515,322.4581
111.9805,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.9852,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.9887,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.9921,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.9953,0,1.244464,2.40571,335.6389,180.0515,322.3849
111.9985,0,1.244464,2.40571,335.6389,180.0515,322.3849
