time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
111.5242,-0.003275,2.05005,-1.545901,287.3201,172.1588,317.07
111.532,-0.003275,2.05005,-1.545901,287.3201,172.1588,317.07
111.5359,-0.003275,2.05005,-1.545901,287.3201,172.1588,317.07
111.5394,-0.003275,2.05005,-1.545901,287.3201,172.1588,317.07
111.5429,-0.003276,2.05005,-1.548519,287.2891,172.5467,316.8123
111.547,-0.003276,2.05005,-1.548519,287.2891,172.5467,316.8123
111.5505,-0.003276,2.05005,-1.548519,287.2891,172.5467,316.8123
111.5549,-0.003276,2.05005,-1.548519,287.2891,172.5467,316.8123
111.5584,-0.003276,2.05005,-1.548519,287.2891,172.5467,316.8123
111.5618,-0.003277,2.05005,-1.551138,287.261,172.8028,316.6919
111.5662,-0.003277,2.05005,-1.551138,287.261,172.8028,316.6919
111.57,-0.003277,2.05005,-1.551138,287.261,172.8028,316.6919
111.5738,-0.003277,2.05005,-1.551138,287.261,172.8028,316.6919
111.5773,-0.003277,2.05005,-1.551138,287.261,172.8028,316.6919
111.5809,-0.003277,2.05005,-1.551138,287.2562,173.0689,316.4879
111.5849,-0.003277,2.05005,-1.551138,287.2562,173.0689,316.4879
111.5887,-0.003277,2.05005,-1.551138,287.2562,173.0689,316.4879
111.5921,-0.003277,2.05005,-1.551138,287.2562,173.0689,316.4879
111.5958,-0.003277,2.05005,-1.551138,287.2562,173.0689,316.4879
111.5993,-0.003277,2.05005,-1.551138,287.2562,173.0689,316.4879
111.6032,-0.003277,2.05005,-1.551138,287.2538,173.202,316.3492
111.6094,-0.003277,2.05005,-1.551138,287.2538,173.202,316.3492
111.6129,-0.003277,2.05005,-1.551138,287.2538,173.202,316.3492
111.6163,-0.003277,2.05005,-1.551138,287.2538,173.202,316.3492
111.6206,-0.003277,2.05005,-1.551138,287.2515,173.3351,316.2838
111.6246,-0.003277,2.05005,-1.551138,287.2515,173.3351,316.2838
111.6281,-0.003277,2.05005,-1.551138,287.2515,173.3351,316.2838
111.6317,-0.003277,2.05005,-1.551138,287.2515,173.3351,316.2838
111.6354,-0.003277,2.05005,-1.551138,287.2515,173.3351,316.2838
111.6389,-0.003277,2.05005,-1.551138,287.2515,173.3351,316.2838
111.6427,-0.006553,2.05005,-1.551136,287.2493,173.4918,316.145
111.6471,-0.006553,2.05005,-1.551136,287.2493,173.4918,316.145
111.6636,-0.006549,2.05005,-1.545899,287.2935,173.6417,315.9887
111.6711,-0.006549,2.05005,-1.545899,287.2935,173.6417,315.9887
111.6746,-0.006549,2.05005,-1.545899,287.2935,173.6417,315.9887
111.6778,-0.006549,2.05005,-1.545899,287.2935,173.6417,315.9887
111.6815,-0.009824,2.05005,-1.545895,287.2935,173.6653,315.9887
111.6861,-0.009824,2.05005,-1.545895,287.2935,173.6653,315.9887
111.69,-0.009824,2.05005,-1.545895,287.2935,173.6653,315.9887
111.6934,-0.009824,2.05005,-1.545895,287.2935,173.6653,315.9887
111.6968,-0.009824,2.05005,-1.545895,287.2935,173.6653,315.9887
111.7,-0.009824,2.05005,-1.545895,287.2935,173.6653,315.9887
111.7039,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.8503
111.7093,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.8503
111.7128,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.8503
111.7162,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.8503
111.7201,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.8503
111.724,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.8503
111.7274,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.8503
111.7306,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.8503
111.7342,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.8503
111.7381,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.8503
111.7417,-0.013098,2.05005,-1.54589,287.2892,173.9545,315.7851
111.7456,-0.013098,2.05005,-1.54589,287.2892,173.9545,315.7851
111.7489,-0.013098,2.05005,-1.54589,287.2892,173.9545,315.7851
111.7526,-0.013098,2.05005,-1.54589,287.2892,173.9545,315.7851
111.7561,-0.013098,2.05005,-1.54589,287.2892,173.9545,315.7851
111.7597,-0.013098,2.05005,-1.54589,287.2892,173.9545,315.7851
111.7628,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.777
111.7669,-0.013098,2.05005,-1.545891,287.2913,173.8216,315.777
111.7707,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.777
111.7821,-0.013098,2.05005,-1.545891,287.2913,173.8216,315.777
111.7856,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.777
111.789,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.777
111.7924,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.777
111.7958,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.777
111.7994,-0.013098,2.05005,-1.54589,287.2913,173.8216,315.777
111.814,-0.00982,2.05005,-1.543276,287.392,173.5547,315.8853
111.8197,-0.00982,2.05005,-1.543276,287.392,173.5547,315.8853
111.8226,-0.00982,2.05005,-1.543276,287.392,173.5547,315.8853
111.8266,-0.00982,2.05005,-1.543276,287.392,173.5547,315.8853
111.8303,-0.00982,2.05005,-1.543276,287.392,173.5547,315.8853
111.8334,-0.00982,2.05005,-1.543276,287.392,173.5547,315.8853
111.8371,-0.00982,2.05005,-1.543276,287.392,173.5547,315.8853
111.8404,-0.009813,2.05005,-1.537025,287.3698,173.2934,316.0098
111.8445,-0.009813,2.05005,-1.537025,287.3698,173.2934,316.0098
111.848,-0.009813,2.05005,-1.537024,287.3698,173.2934,316.0098
111.8521,-0.009813,2.05005,-1.537025,287.3698,173.2934,316.0098
111.8555,-0.009813,2.05005,-1.537025,287.3698,173.2934,316.0098
111.8585,-0.009813,2.05005,-1.537025,287.3698,173.2934,316.0098
111.8617,-0.009803,2.05005,-1.529164,287.4463,172.9247,316.1741
111.8656,-0.009803,2.05005,-1.529164,287.4463,172.9247,316.1741
111.8694,-0.009803,2.05005,-1.529164,287.4463,172.9247,316.1741
111.873,-0.009803,2.05005,-1.529164,287.4463,172.9247,316.1741
111.8762,-0.009803,2.05005,-1.529164,287.4463,172.9247,316.1741
111.8795,-0.009803,2.05005,-1.529164,287.4463,172.9247,316.1741
111.8826,-0.009782,2.05005,-1.512421,287.5926,172.5879,316.305
111.8871,-0.009782,2.05005,-1.512421,287.5926,172.5879,316.305
111.8907,-0.009782,2.05005,-1.512421,287.5926,172.5879,316.305
111.8941,-0.009782,2.05005,-1.512421,287.5926,172.5879,316.305
111.8971,-0.009782,2.05005,-1.512421,287.5926,172.5879,316.305
111.9,-0.006508,2.05005,-1.49567,287.7211,171.9636,316.5644
111.9046,-0.006508,2.05005,-1.49567,287.7211,171.9636,316.5644
111.9081,-0.006508,2.05005,-1.49567,287.7211,171.9636,316.5644
111.9115,-0.006508,2.05005,-1.49567,287.7211,171.9636,316.5644
111.9149,-0.006508,2.05005,-1.49567,287.7211,171.9636,316.5644
111.9186,-0.006508,2.05005,-1.49567,287.7211,171.9636,316.5644
111.9226,-0.006491,2.05005,-1.475261,287.9169,171.5318,316.7938
111.927,-0.006491,2.05005,-1.475261,287.9169,171.5318,316.7938
111.9309,-0.006491,2.05005,-1.475261,287.9169,171.5318,316.7938
111.9344,-0.006491,2.05005,-1.475261,287.9169,171.5318,316.7938
111.9379,-0.006491,2.05005,-1.475261,287.9169,171.5318,316.7938
111.9412,-0.009685,2.05005,-1.433798,288.2484,171.3244,316.8132
111.9454,-0.009685,2.05005,-1.433798,288.2484,171.3244,316.8132
111.9487,-0.009685,2.05005,-1.433798,288.2484,171.3244,316.8132
111.9526,-0.009685,2.05005,-1.433798,288.2484,171.3244,316.8132
111.9669,-0.012734,2.050049,-1.324429,289.1184,171.0051,316.6519
111.9706,-0.012734,2.050049,-1.324429,289.1184,171.0051,316.6519
111.9741,-0.012734,2.050049,-1.324429,289.1184,171.0051,316.6519
111.9773,-0.012734,2.050049,-1.324429,289.1184,171.0051,316.6519
111.9805,-0.015844,2.05005,-1.288595,289.3977,171.0357,316.569
111.9852,-0.015844,2.05005,-1.288595,289.3977,171.0357,316.569
111.9887,-0.015844,2.05005,-1.288595,289.3977,171.0357,316.569
111.9921,-0.015844,2.05005,-1.288595,289.3977,171.0357,316.569
111.9953,-0.015844,2.05005,-1.288595,289.3977,171.0357,316.569
111.9985,-0.015844,2.05005,-1.288595,289.3977,171.0357,316.569
112.0026,-0.015697,2.05005,-1.217249,289.9845,170.8277,316.5601
112.0066,-0.015697,2.05005,-1.217249,289.9845,170.8277,316.5601
112.01,-0.015697,2.05005,-1.217249,289.9845,170.8277,316.5601
112.0135,-0.015697,2.05005,-1.217249,289.9845,170.8277,316.5601
112.017,-0.015697,2.05005,-1.217249,289.9845,170.8277,316.5601
112.0203,-0.015547,2.05005,-1.144111,290.6168,170.6505,316.444
112.0246,-0.015547,2.05005,-1.144111,290.6168,170.6505,316.444
112.028,-0.015547,2.05005,-1.144111,290.6168,170.6505,316.444
112.0316,-0.015547,2.05005,-1.144111,290.6168,170.6505,316.444
112.0355,-0.015547,2.05005,-1.144111,290.6168,170.6505,316.444
112.0391,-0.015547,2.05005,-1.144111,290.6168,170.6505,316.444
112.0422,-0.015444,2.05005,-1.094178,291.0643,170.401,316.331
112.0461,-0.015444,2.05005,-1.094178,291.0643,170.401,316.331
112.0495,-0.015444,2.05005,-1.094178,291.0643,170.401,316.331
112.0535,-0.015444,2.05005,-1.094178,291.0643,170.401,316.331
112.057,-0.015444,2.05005,-1.094178,291.0643,170.401,316.331
112.0603,-0.01836,2.05005,-1.02398,291.4892,169.9772,316.4203
112.0645,-0.01836,2.05005,-1.02398,291.4892,169.9772,316.4203
112.0681,-0.01836,2.050049,-1.02398,291.4892,169.9772,316.4203
112.0724,-0.01836,2.05005,-1.02398,291.4892,169.9772,316.4203
112.0759,-0.01836,2.05005,-1.02398,291.4892,169.9772,316.4203
112.0791,-0.01836,2.05005,-1.02398,291.4892,169.9772,316.4203
112.0822,-0.018199,2.05005,-0.958969,291.9799,169.685,316.3459
112.0868,-0.018199,2.05005,-0.958969,291.9799,169.685,316.3459
112.0911,-0.018199,2.05005,-0.958969,291.9799,169.685,316.3459
112.0952,-0.018199,2.05005,-0.958969,291.9799,169.685,316.3459
112.0987,-0.018199,2.05005,-0.958969,291.9799,169.685,316.3459
112.1022,-0.018049,2.05005,-0.898109,292.3755,169.4669,316.1952
112.107,-0.018049,2.05005,-0.898109,292.3755,169.4669,316.1952
112.1212,-0.01785,2.05005,-0.817299,293.0042,169.341,316.0189
112.1239,-0.01785,2.05005,-0.817299,293.0042,169.341,316.0189
112.1274,-0.01785,2.05005,-0.817299,293.0042,169.341,316.0189
112.131,-0.01785,2.05005,-0.817299,293.0042,169.341,316.0189
112.1341,-0.01785,2.05005,-0.817299,293.0042,169.341,316.0189
112.1376,-0.01785,2.05005,-0.817299,293.0042,169.341,316.0189
112.1413,-0.020717,2.05005,-0.779758,293.2337,169.2879,315.9433
112.1455,-0.020717,2.05005,-0.779758,293.2337,169.2879,315.9433
112.1488,-0.020717,2.05005,-0.779758,293.2337,169.2879,315.9433
112.1528,-0.020717,2.05005,-0.779758,293.2337,169.2879,315.9433
112.1563,-0.020717,2.05005,-0.779758,293.2337,169.2879,315.9433
112.1593,-0.020717,2.05005,-0.779758,293.2337,169.2879,315.9433
112.1625,-0.026485,2.05005,-0.738947,293.4881,169.1724,315.8822
112.1666,-0.026485,2.05005,-0.738947,293.4881,169.1724,315.8822
112.1706,-0.026485,2.05005,-0.738947,293.4881,169.1724,315.8822
112.1744,-0.026485,2.05005,-0.738947,293.4881,169.1724,315.8822
112.1779,-0.026485,2.05005,-0.738947,293.4881,169.1724,315.8822
112.1813,-0.032156,2.05005,-0.691633,293.6941,168.9647,315.914
112.1856,-0.032156,2.05005,-0.691633,293.6941,168.9647,315.914
112.189,-0.032156,2.05005,-0.691633,293.6941,168.9647,315.914
112.1923,-0.032156,2.05005,-0.691633,293.6941,168.9647,315.914
112.1958,-0.032156,2.05005,-0.691633,293.6941,168.9647,315.914
112.1988,-0.032156,2.05005,-0.691633,293.6941,168.9647,315.914
112.2024,-0.037715,2.05005,-0.637712,293.9955,168.7844,315.7709
112.2064,-0.037715,2.05005,-0.637712,293.9955,168.7844,315.7709
112.2097,-0.037715,2.05005,-0.637712,293.9955,168.7844,315.7709
112.2135,-0.037715,2.05005,-0.637712,293.9955,168.7844,315.7709
112.2171,-0.037715,2.05005,-0.637712,293.9955,168.7844,315.7709
112.2213,-0.037411,2.05005,-0.580986,294.3194,168.5739,315.7551
112.2253,-0.037411,2.05005,-0.580986,294.3194,168.5739,315.7551
112.2286,-0.037411,2.05005,-0.580986,294.3194,168.5739,315.7551
112.2322,-0.037411,2.05005,-0.580986,294.3194,168.5739,315.7551
112.2367,-0.037411,2.05005,-0.580986,294.3194,168.5739,315.7551
112.2397,-0.037411,2.05005,-0.580986,294.3194,168.5739,315.7551
112.243,-0.037173,2.05005,-0.536471,294.4534,168.4009,315.6292
112.2496,-0.037173,2.05005,-0.536471,294.4534,168.4009,315.6292
112.2536,-0.037173,2.05005,-0.536471,294.4534,168.4009,315.6292
112.2571,-0.037173,2.05005,-0.536471,294.4534,168.4009,315.6292
112.2721,-0.037014,2.05005,-0.506635,294.6837,168.4133,315.5357
112.2749,-0.037014,2.05005,-0.506635,294.6837,168.4133,315.5357
112.2779,-0.037014,2.05005,-0.506635,294.6837,168.4133,315.5357
112.2812,-0.036901,2.05005,-0.485526,294.8227,168.3838,315.4883
112.2859,-0.036901,2.05005,-0.485526,294.8227,168.3838,315.4883
112.2892,-0.036901,2.05005,-0.485526,294.8227,168.3838,315.4883
112.2924,-0.036901,2.05005,-0.485526,294.8227,168.3838,315.4883
112.2958,-0.036901,2.05005,-0.485526,294.8227,168.3838,315.4883
112.2991,-0.036901,2.05005,-0.485526,294.8227,168.3838,315.4883
112.3028,-0.039665,2.05005,-0.47248,294.8657,168.3592,315.4596
112.3069,-0.039665,2.05005,-0.47248,294.8657,168.3592,315.4596
112.3104,-0.039665,2.05005,-0.47248,294.8657,168.3592,315.4596
112.3137,-0.039665,2.05005,-0.47248,294.8657,168.3592,315.4596
112.3167,-0.039665,2.05005,-0.47248,294.8657,168.3592,315.4596
112.3204,-0.039543,2.05005,-0.451352,295.0027,168.4215,315.3908
112.3243,-0.039543,2.05005,-0.451352,295.0027,168.4215,315.3908
112.3281,-0.039543,2.05005,-0.451352,295.0027,168.4215,315.3908
112.3315,-0.039543,2.05005,-0.451352,295.0027,168.4215,315.3908
112.3349,-0.039543,2.05005,-0.451352,295.0027,168.4215,315.3908
112.3382,-0.039543,2.05005,-0.451352,295.0027,168.4215,315.3908
112.3416,-0.039496,2.05005,-0.44326,295.0941,168.4627,315.2721
112.3458,-0.039496,2.05005,-0.44326,295.0941,168.4627,315.2721
112.3492,-0.039496,2.05005,-0.44326,295.0941,168.4627,315.2721
112.3528,-0.039496,2.05005,-0.44326,295.0941,168.4627,315.2721
112.356,-0.039496,2.05005,-0.44326,295.0941,168.4627,315.2721
112.3594,-0.039496,2.05005,-0.44326,295.0941,168.4627,315.2721
112.3628,-0.039325,2.05005,-0.413577,295.4203,168.4918,315.2343
112.3696,-0.039325,2.05005,-0.413577,295.4203,168.4918,315.2343
112.3731,-0.039325,2.05005,-0.413577,295.4203,168.4918,315.2343
112.3767,-0.039325,2.05005,-0.413577,295.4203,168.4918,315.2343
112.3801,-0.039294,2.05005,-0.408179,295.3701,168.4944,315.2299
112.3841,-0.039294,2.05005,-0.408179,295.3701,168.4944,315.2299
112.3874,-0.039294,2.05005,-0.408179,295.3701,168.4944,315.2299
112.391,-0.039294,2.05005,-0.408179,295.3701,168.4944,315.2299
112.3941,-0.039294,2.05005,-0.408179,295.3701,168.4944,315.2299
112.3973,-0.039294,2.05005,-0.408179,295.3701,168.4944,315.2299
112.4007,-0.039123,2.05005,-0.378479,295.6215,168.6043,315.1082
112.4052,-0.039123,2.05005,-0.378479,295.6215,168.6043,315.1082
112.4085,-0.039123,2.05005,-0.378479,295.6215,168.6043,315.1082
112.4234,-0.038937,2.05005,-0.346062,295.8974,168.6334,314.9949
112.4267,-0.038937,2.05005,-0.346062,295.8974,168.6334,314.9949
112.4305,-0.038937,2.05005,-0.346062,295.8974,168.6334,314.9949
112.4336,-0.038937,2.05005,-0.346062,295.8974,168.6334,314.9949
112.4378,-0.038937,2.05005,-0.346062,295.8974,168.6334,314.9949
112.4413,-0.038712,2.05005,-0.307095,296.2161,168.8555,314.8289
112.4455,-0.038712,2.05005,-0.307095,296.2161,168.8555,314.8289
112.4488,-0.038712,2.05005,-0.307095,296.2161,168.8555,314.8289
112.4531,-0.038712,2.05005,-0.307095,296.2161,168.8555,314.8289
112.4567,-0.038712,2.05005,-0.307095,296.2161,168.8555,314.8289
112.4597,-0.038712,2.05005,-0.307095,296.2161,168.8555,314.8289
112.463,-0.038385,2.05005,-0.250294,296.6981,168.964,314.6263
112.4701,-0.038385,2.05005,-0.250294,296.6981,168.964,314.6263
112.4735,-0.038385,2.05005,-0.250294,296.6981,168.964,314.6263
112.4765,-0.038385,2.05005,-0.250294,296.6981,168.964,314.6263
112.4796,-0.038385,2.05005,-0.250294,296.6981,168.964,314.6263
112.4833,-0.043666,2.05005,-0.219362,296.8779,168.9969,314.5328
112.4898,-0.043666,2.05005,-0.219362,296.8779,168.9969,314.5328
112.4931,-0.043666,2.05005,-0.219362,296.8779,168.9969,314.5328
112.4966,-0.043666,2.05005,-0.219362,296.8779,168.9969,314.5328
112.4997,-0.043666,2.05005,-0.219362,296.8779,168.9969,314.5328
112.5033,-0.048935,2.05005,-0.19383,297.1789,169.2468,314.4147
112.5096,-0.048935,2.05005,-0.19383,297.1789,169.2468,314.4147
112.5135,-0.048935,2.05005,-0.19383,297.1789,169.2468,314.4147
112.5172,-0.048935,2.05005,-0.19383,297.1789,169.2468,314.4147
112.5209,-0.056997,2.05005,-0.182933,297.2716,169.2449,314.3145
112.5251,-0.056997,2.05005,-0.182933,297.2716,169.2449,314.3145
112.5289,-0.056997,2.05005,-0.182933,297.2716,169.2449,314.3145
112.5327,-0.056997,2.05005,-0.182933,297.2716,169.2449,314.3145
112.5362,-0.056997,2.05005,-0.182933,297.2716,169.2449,314.3145
112.5396,-0.056997,2.05005,-0.182933,297.2716,169.2449,314.3145
112.5431,-0.064857,2.05005,-0.154192,297.5236,169.4352,314.2796
112.5475,-0.064857,2.05005,-0.154192,297.5236,169.4352,314.2796
112.5511,-0.064857,2.05005,-0.154192,297.5236,169.4352,314.2796
112.5546,-0.064857,2.05005,-0.154192,297.5236,169.4352,314.2796
112.5579,-0.064857,2.05005,-0.154192,297.5236,169.4352,314.2796
112.5614,-0.075354,2.05005,-0.126983,297.7069,169.5981,314.202
112.5769,-0.075354,2.05005,-0.126983,297.7069,169.5981,314.202
112.5795,-0.075354,2.05005,-0.126983,297.7069,169.5981,314.202
112.5832,-0.091121,2.05005,-0.099677,297.8857,169.8286,314.1003
112.5897,-0.091121,2.05005,-0.099677,297.8857,169.8286,314.1003
112.593,-0.091121,2.05005,-0.099677,297.8857,169.8286,314.1003
112.5967,-0.091121,2.05005,-0.099677,297.8857,169.8286,314.1003
112.5997,-0.091121,2.05005,-0.099677,297.8857,169.8286,314.1003
