time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
19.62391,-0.040766,2.05005,-1.444072,330.0423,204.4868,111.4898
19.63389,-0.040766,2.05005,-1.444071,330.0423,204.4868,111.4898
19.64035,-0.040766,2.05005,-1.444071,330.0518,204.5685,111.3923
19.64599,-0.040766,2.05005,-1.444071,330.0518,204.5685,111.3923
19.64956,-0.040766,2.05005,-1.444072,330.0518,204.5685,111.3923
19.65436,-0.040766,2.05005,-1.444071,330.0518,204.5685,111.3923
19.65836,-0.040766,2.05005,-1.444071,330.0518,204.5685,111.3923
19.66216,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.46
19.66668,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.46
19.67109,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.46
19.67579,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.46
19.67971,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.46
19.68329,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.46
19.68889,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.46
19.69373,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.46
19.69725,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.46
19.70044,-0.040766,2.05005,-1.444072,330.0518,204.5685,111.4656
19.70634,-0.040766,2.05005,-1.444071,330.0518,204.5685,111.4656
19.71062,-0.040766,2.05005,-1.444071,330.0518,204.5685,111.4656
19.71511,-0.040766,2.05005,-1.444071,330.0518,204.5685,111.4656
19.72303,-0.040766,2.05005,-1.444071,330.0518,204.5685,111.4656
19.72885,-0.040766,2.05005,-1.444071,330.0518,204.5685,111.4656
19.73146,-0.040766,2.05005,-1.444071,330.0518,204.5685,111.4656
19.73621,-0.040766,2.05005,-1.444071,330.0518,204.5685,111.4656
19.74063,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.3867
19.74596,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.3867
19.75014,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.3867
19.75469,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.3867
19.76419,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.46
19.76739,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.46
19.7717,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.46
19.77638,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.46
19.78088,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.3867
19.78581,-0.040766,2.05005,-1.444072,329.9792,204.5797,111.3867
19.79005,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.3867
19.79426,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.3867
19.79888,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.3867
19.803,-0.040766,2.05005,-1.444071,330.0423,204.4868,111.4898
19.80801,-0.040766,2.05005,-1.444072,330.0423,204.4868,111.4898
19.81254,-0.040766,2.05005,-1.444071,330.0423,204.4868,111.4898
19.81702,-0.040766,2.05005,-1.444071,330.0423,204.4868,111.4898
19.8212,-0.040766,2.05005,-1.444072,330.0423,204.4868,111.4898
19.8257,-0.040766,2.05005,-1.444071,330.0423,204.4868,111.4898
19.83063,-0.040766,2.05005,-1.444071,330.0423,204.4868,111.4898
19.83459,-0.040766,2.05005,-1.444071,330.0423,204.4868,111.4898
19.8383,-0.040766,2.05005,-1.444071,330.0423,204.4868,111.4898
19.84172,-0.040766,2.05005,-1.444071,329.9697,204.498,111.5575
19.84742,-0.040766,2.05005,-1.444071,329.9697,204.498,111.5575
19.85149,-0.040766,2.05005,-1.444071,329.9697,204.498,111.5575
19.85611,-0.040766,2.05005,-1.444071,329.9697,204.498,111.5575
19.86076,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.3867
19.86552,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.3867
19.86941,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.3867
19.87364,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.3867
19.87711,-0.040766,2.05005,-1.444071,329.9792,204.5797,111.3867
19.88082,-0.040766,2.05005,-1.444071,329.9697,204.498,111.4842
19.88647,-0.040766,2.05005,-1.444071,329.9697,204.498,111.4842
19.89152,-0.040766,2.05005,-1.444071,329.9697,204.498,111.4842
19.89591,-0.040766,2.05005,-1.444071,329.9697,204.498,111.4842
19.8994,-0.040766,2.05005,-1.444071,329.9697,204.498,111.4842
19.90344,-0.044163,2.05005,-1.444054,329.9792,204.6033,111.3867
19.90846,-0.044163,2.05005,-1.444054,329.9792,204.6033,111.3867
19.91247,-0.044163,2.05005,-1.444054,329.9792,204.6033,111.3867
19.91663,-0.044163,2.05005,-1.444054,329.9792,204.6033,111.3867
19.92139,-0.050942,2.05005,-1.441436,329.9278,204.6561,111.4654
19.92662,-0.050942,2.05005,-1.441436,329.9278,204.6561,111.4654
19.93045,-0.050942,2.05005,-1.441436,329.9278,204.6561,111.4654
19.93422,-0.050942,2.05005,-1.441436,329.9278,204.6561,111.4654
19.9387,-0.050942,2.05005,-1.441436,329.9278,204.6561,111.4654
19.94232,-0.057734,2.05005,-1.441391,329.9279,204.7032,111.5387
19.9472,-0.057734,2.05005,-1.441391,329.9279,204.7032,111.5387
19.95173,-0.057734,2.05005,-1.441391,329.9279,204.7032,111.5387
19.9571,-0.057734,2.05005,-1.441391,329.9279,204.7032,111.5387
19.96094,-0.067901,2.05005,-1.438735,329.8039,204.7908,111.4652
19.96612,-0.067901,2.05005,-1.438735,329.8039,204.7908,111.4652
