time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
19.62391,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.25159
19.63389,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.25159
19.64035,-0.008455,2.05005,-0.03608,340.54,184.6151,38.18777
19.64599,-0.008455,2.05005,-0.03608,340.54,184.6151,38.18777
19.64956,-0.008455,2.05005,-0.03608,340.54,184.6151,38.18777
19.65436,-0.008455,2.05005,-0.03608,340.54,184.6151,38.18777
19.65836,-0.008455,2.05005,-0.03608,340.54,184.6151,38.18777
19.66216,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.66668,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.67109,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.67579,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.67971,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.68329,-0.008455,2.05005,-0.03608,340.4675,184.6917,38.17809
19.68889,-0.008455,2.05005,-0.03608,340.4675,184.6917,38.17809
19.69373,-0.008455,2.05005,-0.03608,340.4675,184.6917,38.17809
19.69725,-0.008455,2.05005,-0.03608,340.4675,184.6917,38.17809
19.70044,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.70634,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.71062,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.71511,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.72303,-0.008455,2.05005,-0.03608,340.54,184.6151,38.18777
19.72885,-0.008455,2.05005,-0.03608,340.54,184.6151,38.18777
19.73146,-0.008455,2.05005,-0.03608,340.54,184.6151,38.18777
19.73621,-0.008455,2.05005,-0.03608,340.54,184.6151,38.18777
19.74063,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.74596,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.75014,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.75469,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.76419,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.76739,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.7717,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.77638,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.78088,-0.008455,2.05005,-0.03608,340.4675,184.6917,38.17809
19.78581,-0.008455,2.05005,-0.03608,340.4675,184.6917,38.17809
19.79005,-0.008455,2.05005,-0.03608,340.4675,184.6917,38.17809
19.79426,-0.008455,2.05005,-0.03608,340.4675,184.6917,38.17809
19.79888,-0.008455,2.05005,-0.03608,340.4675,184.6917,38.17809
19.803,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.80801,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.81254,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.81702,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.8212,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.8257,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
19.83063,-0.008455,2.05005,-0.03608,340.5407,184.6909,38.17836
