time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.76457,-0.079345,2.05005,-1.571802,318.6303,180.444,285.5503
10.77229,-0.079345,2.05005,-1.571802,318.6303,180.444,285.5503
10.77734,-0.079345,2.05005,-1.571802,318.6303,180.444,285.5503
10.78051,-0.079354,2.05005,-1.57278,318.6303,180.444,285.5503
10.78543,-0.079354,2.05005,-1.57278,318.6303,180.444,285.5503
10.78882,-0.079354,2.05005,-1.57278,318.6303,180.444,285.5503
10.7932,-0.079354,2.05005,-1.57278,318.6303,180.444,285.5503
10.79807,-0.079354,2.05005,-1.57278,318.6303,180.444,285.5503
10.80054,-0.079363,2.05005,-1.573758,318.7036,180.3538,285.582
10.80388,-0.079363,2.05005,-1.573758,318.7036,180.3538,285.582
10.80629,-0.079363,2.05005,-1.573757,318.7036,180.3538,285.582
10.80946,-0.079363,2.05005,-1.573758,318.7036,180.3538,285.582
10.81703,-0.079363,2.05005,-1.573758,318.7036,180.3538,285.582
10.81885,-0.079363,2.05005,-1.573758,318.7036,180.3538,285.582
10.82128,-0.079373,2.05005,-1.574734,318.7038,180.1735,285.5721
10.82443,-0.079373,2.05005,-1.574734,318.7038,180.1735,285.5721
10.82739,-0.079373,2.05005,-1.574734,318.7038,180.1735,285.5721
10.83003,-0.079373,2.05005,-1.574734,318.7038,180.1735,285.5721
10.83313,-0.079373,2.05005,-1.574734,318.7038,180.1735,285.5721
10.83597,-0.079373,2.05005,-1.574734,318.7038,180.1735,285.5721
10.83926,-0.079373,2.05005,-1.574734,318.7038,180.1735,285.5721
10.84203,-0.079373,2.05005,-1.574734,318.7042,179.9931,285.6356
10.84642,-0.079373,2.05005,-1.574734,318.7042,179.9931,285.6356
10.84945,-0.079373,2.05005,-1.574734,318.7042,179.9931,285.6356
10.85176,-0.079373,2.05005,-1.574734,318.7042,179.9931,285.6356
10.85415,-0.079373,2.05005,-1.574734,318.7042,179.9931,285.6356
10.85685,-0.079373,2.05005,-1.574734,318.7042,179.9931,285.6356
10.85979,-0.079373,2.05005,-1.574734,318.7042,179.9931,285.6356
10.86246,-0.079382,2.05005,-1.575709,318.7044,179.9029,285.6673
10.8661,-0.079382,2.05005,-1.575709,318.7044,179.9029,285.6673
10.86894,-0.079382,2.05005,-1.575709,318.7044,179.9029,285.6673
10.87152,-0.079382,2.05005,-1.575709,318.7044,179.9029,285.6673
10.87394,-0.079382,2.05005,-1.575709,318.7044,179.9029,285.6673
10.88,-0.079382,2.05005,-1.575709,318.7044,179.9029,285.6673
10.88636,-0.079382,2.05005,-1.575709,318.6315,179.8123,285.6993
10.88882,-0.079382,2.05005,-1.575709,318.6315,179.8123,285.6993
10.89181,-0.079382,2.05005,-1.575709,318.6315,179.8123,285.6993
10.89448,-0.079382,2.05005,-1.575709,318.6315,179.8123,285.6993
10.89782,-0.079382,2.05005,-1.575709,318.6315,179.8123,285.6993
10.90071,-0.079382,2.05005,-1.575709,318.7054,179.6324,285.7624
10.90439,-0.079382,2.05005,-1.575709,318.7054,179.6324,285.7624
10.90705,-0.079382,2.05005,-1.575709,318.7054,179.6324,285.7624
10.91024,-0.079382,2.05005,-1.575709,318.7054,179.6324,285.7624
10.91343,-0.079382,2.05005,-1.575709,318.7054,179.6324,285.7624
10.91635,-0.079382,2.05005,-1.575709,318.7054,179.6324,285.7624
10.91912,-0.079382,2.05005,-1.575709,318.7054,179.6324,285.7624
10.92219,-0.079382,2.05005,-1.575709,318.7054,179.6324,285.7624
10.92561,-0.079382,2.05005,-1.575709,318.7054,179.6324,285.7624
10.92857,-0.079382,2.05005,-1.575709,318.7054,179.6324,285.7624
10.93134,-0.079382,2.05005,-1.575709,318.7054,179.6324,285.7624
10.93378,-0.079382,2.05005,-1.575709,318.7054,179.6324,285.7624
10.93672,-0.079382,2.05005,-1.575709,318.7054,179.6324,285.7624
