time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
56.69299,0.003444,2.05005,-1.557346,295.2045,230.3055,252.1668
56.70447,0.003444,2.05005,-1.557346,295.137,230.3719,252.1067
56.71762,0.003444,2.05005,-1.557346,295.137,230.3719,252.1067
56.72805,0.003444,2.05005,-1.557346,295.155,230.473,252.0718
56.74119,0.003444,2.05005,-1.557346,295.155,230.473,252.145
56.75518,0.003444,2.05005,-1.557346,295.155,230.473,252.145
56.76568,0.003444,2.05005,-1.557346,295.137,230.3719,252.1067
56.77806,0.003444,2.05005,-1.557346,295.137,230.3719,252.1067
56.78794,0.003444,2.05005,-1.557346,295.0874,230.5398,252.0113
56.80396,0.003443,2.05005,-1.554771,295.1022,230.5013,252.0538
56.8151,0.003443,2.05005,-1.554771,295.1022,230.5013,252.0538
56.82618,0.003443,2.05005,-1.554771,295.1022,230.5013,252.0538
56.84246,0.003443,2.05005,-1.554771,295.1022,230.5013,252.0538
56.85689,0.003443,2.05005,-1.554771,295.1022,230.5013,252.0538
56.86654,0.003443,2.05005,-1.554771,295.0843,230.4002,252.0887
56.87919,0.003443,2.05005,-1.554771,295.0843,230.4002,252.0887
56.88872,0.003443,2.05005,-1.554771,295.0347,230.5683,251.9931
56.90194,0.003442,2.05005,-1.552195,295.0496,230.5297,252.0357
56.91375,0.003442,2.05005,-1.552195,295.0496,230.5297,252.0357
56.92329,0.003442,2.05005,-1.552195,294.982,230.5968,251.9749
56.9366,0.003442,2.05005,-1.552195,294.982,230.5969,251.9748
56.94728,0.003442,2.05005,-1.552195,294.9641,230.4957,252.0099
56.95977,0.003442,2.05005,-1.552195,294.9641,230.4957,252.0099
56.97001,0.003441,2.05005,-1.549619,295.0464,230.39,252.1133
56.98158,0.003438,2.05005,-1.543517,295.0086,230.3798,252.1378
56.99309,0.003438,2.05005,-1.543517,295.0086,230.3798,252.1378
57.00391,0.003427,2.05005,-1.516781,295.1607,230.1355,252.4842
57.01466,0.003427,2.05005,-1.516781,295.1607,230.1355,252.4842
57.02374,0,2.05005,-1.453532,295.4909,229.1934,253.4755
57.03725,0,2.05005,-1.453532,295.4909,229.1934,253.4755
57.04664,0,2.050049,-1.251226,296.553,227.2357,255.5555
57.0607,0,2.050049,-1.168561,297.043,226.5826,256.0116
57.07302,0,2.050049,-1.168561,297.043,226.5826,256.0116
57.0832,0.003212,2.050049,-0.994105,298.0275,225.248,256.955
57.09509,0.003212,2.050049,-0.994105,298.0275,225.248,256.955
57.10207,0.012539,2.050049,-0.805984,299.1178,223.8018,258.2947
57.11126,0.012539,2.050049,-0.805984,299.1178,223.8018,258.2947
57.11945,0.012539,2.050049,-0.805984,299.1178,223.8018,258.2947
57.12721,0.027197,2.050048,-0.531465,301.1832,221.2994,260.6431
57.14151,0.029944,2.050049,-0.464688,301.7939,220.7345,261.045
57.15096,0.029944,2.050049,-0.464688,301.7939,220.7345,261.045
57.15819,0.029944,2.050049,-0.464688,301.7939,220.7345,261.045
57.16584,0.032066,2.050049,-0.27165,303.7952,219.2035,261.936
57.17875,0.032066,2.050049,-0.27165,303.7952,219.2035,261.936
57.18702,0.031365,2.050049,-0.116637,305.2242,218.1196,262.4369
57.20266,0.031099,2.050049,-0.057829,305.8333,217.7356,262.4681
57.21494,0.031099,2.050049,-0.057829,305.8333,217.7356,262.4681
57.2253,0.03327,2.050049,0.075096,307.2584,216.915,262.721
57.23875,0.03327,2.050049,0.075096,307.2584,216.915,262.721
57.24995,0.035052,2.05005,0.260336,309.2455,215.624,263.634
57.26213,0.034684,2.050049,0.329215,310.012,215.1879,264.0407
57.27359,0.034684,2.050049,0.329215,310.012,215.1879,264.0407
57.28139,0.034107,2.05005,0.437222,311.1553,214.5023,264.6848
57.29179,0.034107,2.05005,0.437222,311.1553,214.5023,264.6848
57.29909,0.034107,2.05005,0.437222,311.1553,214.5023,264.6848
57.3051,0.033552,2.05005,0.540959,312.4882,213.6763,265.4105
57.31488,0.033552,2.05005,0.540959,312.4882,213.6763,265.4105
57.32708,0.032747,2.050049,0.691498,314.1041,212.7182,266.2718
57.33911,0.032747,2.050049,0.691498,314.1041,212.7182,266.2718
57.34725,0.032256,2.05005,0.78335,315.2324,211.9084,266.8964
57.35913,0.032256,2.05005,0.78335,315.2324,211.9084,266.8964
