time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
53.34406,-2.961752,-0.64547,-1.329204,310.962,150.1727,47.77312
53.35456,-2.961752,-0.64547,-1.329204,310.962,150.1727,47.77312
53.37183,-2.935978,-0.645899,-1.299864,310.9073,150.2602,46.87484
53.37882,-2.935978,-0.645899,-1.299864,310.9073,150.2602,46.87484
53.3842,-2.915592,-0.65499,-1.285143,310.9744,150.2128,46.62926
53.3939,-2.915592,-0.65499,-1.285143,310.9744,150.2128,46.62926
53.40351,-2.884934,-0.68113,-1.251981,310.9202,150.2792,46.24239
53.4128,-2.884934,-0.68113,-1.251981,310.9202,150.2792,46.24239
53.42247,-2.867979,-0.681857,-1.235881,310.8612,150.2161,46.16126
53.43222,-2.867979,-0.681857,-1.235881,310.8612,150.2161,46.16126
53.44165,-2.86454,-0.632889,-1.236702,310.6653,150.0159,46.25062
53.45058,-2.86454,-0.632889,-1.236702,310.6653,150.0159,46.25062
53.46155,-2.866395,-0.516347,-1.241916,310.4394,149.7965,46.61552
53.47125,-2.866394,-0.516347,-1.241916,310.4394,149.7965,46.61552
53.48034,-2.881545,-0.310562,-1.263458,310.2223,149.2801,47.28094
53.49139,-2.881545,-0.310562,-1.263458,310.2223,149.2801,47.28094
53.50064,-2.921225,-0.025647,-1.321802,310.0645,148.1841,48.64753
53.51069,-2.921225,-0.025647,-1.321802,310.0645,148.1841,48.64753
53.51975,-2.921225,-0.025647,-1.321802,310.0645,148.1841,48.64753
53.53017,-2.994353,0.471294,-1.461257,310.0543,145.5859,51.66758
53.54074,-3.025594,0.633103,-1.515478,310.0553,144.6739,52.75351
53.55909,-3.025594,0.633103,-1.515478,310.0553,144.6739,52.75351
53.56882,-3.152228,1.226638,-1.754212,310.4078,140.6681,57.27134
53.57635,-3.152228,1.226637,-1.754212,310.4078,140.6681,57.27134
53.58164,-3.195093,1.405144,-1.826854,310.7189,139.2412,58.85448
53.58959,-3.195093,1.405144,-1.826854,310.7189,139.2412,58.85448
53.59998,-3.195093,1.405144,-1.826854,310.7189,139.2412,58.85448
53.60902,-3.330864,1.948271,-2.059242,311.8112,135.1918,63.39063
53.61821,-3.330864,1.948271,-2.059242,311.8112,135.1918,63.39063
53.62808,-3.42223,1.949951,-2.189953,313.192,132.8763,66.02161
53.63806,-3.42223,1.949951,-2.189953,313.192,132.8763,66.02161
53.64766,-3.454849,1.94995,-2.242128,314.8606,132.183,66.52341
53.65744,-3.454849,1.94995,-2.242128,314.8606,132.183,66.52341
53.66734,-3.467787,1.94995,-2.276057,316.3694,132.0347,65.82724
53.67771,-3.467787,1.94995,-2.276057,316.3694,132.0347,65.82724
53.68605,-3.521215,1.94995,-2.314506,316.9578,131.9965,65.28379
53.69693,-3.521215,1.94995,-2.314506,316.9578,131.9965,65.28379
53.70575,-3.613295,1.94995,-2.32852,317.3093,132.2025,64.79594
53.71581,-3.613295,1.94995,-2.32852,317.3093,132.2025,64.79594
53.72683,-3.706157,1.94995,-2.331589,317.8274,132.1099,64.43511
53.73562,-3.706157,1.94995,-2.331589,317.8274,132.1099,64.43511
53.74607,-3.762166,1.949951,-2.339742,317.8974,131.8056,64.55024
53.75578,-3.762166,1.949951,-2.339742,317.8974,131.8056,64.55024
53.76553,-3.870749,1.949951,-2.33522,318.2275,131.0153,64.83562
53.77528,-3.870749,1.949951,-2.33522,318.2275,131.0153,64.83562
53.7864,-3.994584,1.94995,-2.302216,318.8856,129.1241,65.33212
53.79562,-3.994584,1.94995,-2.302216,318.8856,129.1241,65.33212
53.80571,-4.021162,1.94995,-2.291459,319.1304,128.3671,65.6676
53.81543,-4.021162,1.94995,-2.291459,319.1304,128.3671,65.6676
53.82454,-4.057889,2.179522,-2.273292,319.492,127.1097,66.13987
53.83477,-4.057889,2.179522,-2.273292,319.492,127.1097,66.13987
53.84506,-4.128261,2.284432,-2.269842,319.82,125.6845,67.32626
53.85588,-4.128261,2.284432,-2.269842,319.82,125.6845,67.32627
53.86463,-4.223925,2.401848,-2.241925,320.3594,124.6849,68.38911
53.87478,-4.223925,2.401848,-2.241925,320.3594,124.6849,68.38911
53.88511,-4.323089,2.545714,-2.211096,321.1176,123.7539,69.47103
53.89442,-4.323089,2.545714,-2.211096,321.1176,123.7539,69.47103
53.90304,-4.431128,2.696257,-2.188267,322.0379,122.81,70.51684
53.91457,-4.431128,2.696257,-2.188267,322.0379,122.81,70.51684
53.92461,-4.538661,2.824305,-2.172326,322.6967,122.3375,71.2897
53.9337,-4.538661,2.824305,-2.172326,322.6967,122.3375,71.2897
53.94335,-4.651629,2.975707,-2.165351,323.4108,121.8262,72.08089
53.95339,-4.651629,2.975707,-2.165351,323.4108,121.8262,72.08089
53.96218,-4.758389,3.151023,-2.162499,324.021,121.5306,72.52305
53.97123,-4.758389,3.151023,-2.162499,324.021,121.5306,72.52305
53.98086,-4.863946,3.329798,-2.164359,324.5532,121.3088,72.81208
53.99179,-4.863946,3.329798,-2.164359,324.5532,121.3088,72.81208
54.00051,-4.962615,3.52915,-2.178008,325.0971,121.0335,72.98566
54.01066,-4.962615,3.52915,-2.178008,325.0971,121.0335,72.98566
54.01997,-4.962615,3.52915,-2.178008,325.0971,121.0335,72.98566
54.03053,-5.083665,3.861477,-2.238303,326.1307,120.5295,73.23833
54.04141,-5.105059,3.959166,-2.258916,326.4651,120.3713,73.23234
54.05119,-5.105058,3.959166,-2.258916,326.4651,120.3713,73.23234
54.06159,-5.134517,4.190776,-2.302512,327.1281,120.156,73.1599
54.07327,-5.134517,4.190776,-2.302512,327.1281,120.156,73.1599
54.08365,-5.154972,4.433241,-2.338845,327.8786,120.0846,72.93346
54.09366,-5.154972,4.433241,-2.338845,327.8786,120.0846,72.93346
54.10358,-5.145156,4.677792,-2.374387,328.7016,120.1874,72.6127
54.11349,-5.145156,4.677792,-2.374387,328.7016,120.1874,72.6127
54.123,-5.110028,4.878596,-2.400357,329.6107,120.4762,71.92377
54.1341,-5.110028,4.878596,-2.400357,329.6107,120.4762,71.92377
54.14342,-5.045477,5.063057,-2.417792,330.4439,120.9153,71.13671
54.15332,-5.045477,5.063057,-2.417793,330.4439,120.9153,71.13671
54.16412,-4.95958,5.189639,-2.422459,331.2943,121.4221,70.25591
54.17379,-4.95958,5.189639,-2.422459,331.2943,121.4221,70.25591
54.18256,-4.847848,5.275279,-2.422969,332.1065,121.9806,69.29239
54.19346,-4.847848,5.275279,-2.422969,332.1065,121.9806,69.29239
54.20306,-4.716851,5.354007,-2.421163,332.5119,122.7128,68.31509
54.21334,-4.716851,5.354007,-2.421163,332.5119,122.7128,68.31509
54.22357,-4.58715,5.402295,-2.418916,332.8397,123.4608,67.37881
54.23869,-4.58715,5.402295,-2.418916,332.8397,123.4608,67.37881
54.25128,-4.37959,5.442463,-2.416674,333.2908,124.6261,65.93752
54.26017,-4.291208,5.455872,-2.415957,333.4875,125.0116,65.34877
54.26701,-4.291208,5.455871,-2.415957,333.4875,125.0116,65.34877
54.27499,-4.291208,5.455871,-2.415957,333.4875,125.0116,65.34877
54.28527,-4.155674,5.480019,-2.410679,333.7484,125.5722,64.63721
54.29466,-4.155674,5.480019,-2.410679,333.7484,125.5722,64.63721
