time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
30.68474,-0.079415,2.05005,-1.579258,326.6259,204.8034,322.2621
30.68856,-0.079415,2.05005,-1.579258,326.6259,204.8034,322.2621
30.6921,-0.079415,2.05005,-1.579258,326.6259,204.8034,322.2621
30.69497,-0.079415,2.05005,-1.579258,326.6259,204.8034,322.2621
30.69819,-0.079415,2.05005,-1.579258,326.6259,204.8034,322.2621
30.70149,-0.079415,2.05005,-1.579258,326.6259,204.8035,322.3353
30.70629,-0.079415,2.05005,-1.579258,326.6259,204.8035,322.3353
30.71062,-0.079415,2.05005,-1.579258,326.6259,204.8035,322.3353
30.71416,-0.079415,2.05005,-1.579258,326.6259,204.8035,322.3353
30.71735,-0.079415,2.05005,-1.579258,326.6259,204.8035,322.3353
30.72124,-0.079415,2.05005,-1.579258,326.6984,204.7911,322.2689
30.72635,-0.079415,2.05005,-1.579258,326.6984,204.7911,322.2689
30.73033,-0.079415,2.05005,-1.579258,326.6984,204.7911,322.2689
30.73343,-0.079415,2.05005,-1.579258,326.6984,204.7911,322.2689
30.73695,-0.079415,2.05005,-1.579258,326.6984,204.7911,322.2689
30.74029,-0.079415,2.05005,-1.579258,326.6786,204.6239,322.3948
30.74474,-0.079415,2.05005,-1.579258,326.6786,204.6239,322.3948
30.74756,-0.079415,2.05005,-1.579258,326.6786,204.6239,322.3948
30.75154,-0.079415,2.05005,-1.579258,326.6786,204.6239,322.3948
30.75468,-0.079415,2.05005,-1.579258,326.6786,204.6239,322.3948
30.75796,-0.079415,2.05005,-1.579258,326.6786,204.6239,322.3948
30.7609,-0.082868,2.05005,-1.579224,326.6786,204.6239,322.3216
30.76452,-0.082868,2.05005,-1.579224,326.6786,204.6239,322.3216
30.76813,-0.082868,2.05005,-1.579225,326.6786,204.6239,322.3216
30.77089,-0.082868,2.05005,-1.579224,326.6786,204.6239,322.3216
30.77389,-0.082868,2.05005,-1.579224,326.6786,204.6239,322.3216
30.77734,-0.082868,2.05005,-1.579224,326.6786,204.6239,322.3216
30.78131,-0.082868,2.05005,-1.579224,326.6786,204.6474,322.3215
30.78519,-0.082868,2.05005,-1.579225,326.6786,204.6474,322.3215
30.78816,-0.082868,2.05005,-1.579224,326.6786,204.6474,322.3215
30.7915,-0.082868,2.05005,-1.579224,326.6786,204.6474,322.3215
30.79869,-0.082868,2.05005,-1.579224,326.6786,204.6474,322.3215
30.80072,-0.086321,2.05005,-1.57919,326.6061,204.6832,322.3148
30.80537,-0.086321,2.05005,-1.57919,326.6061,204.6832,322.3148
30.81168,-0.086321,2.05005,-1.57919,326.6061,204.6832,322.3148
30.81647,-0.086321,2.05005,-1.57919,326.6061,204.6832,322.3148
30.81977,-0.086321,2.05005,-1.57919,326.6061,204.6832,322.3148
