time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
14.56213,-0.016999,2.05005,-1.450528,326.1939,189.1011,85.53915
14.57169,-0.016999,2.05005,-1.450528,326.1939,189.1011,85.53915
14.57998,-0.016999,2.05005,-1.450528,326.1939,189.1011,85.53915
14.58306,-0.016999,2.05005,-1.450528,326.2671,189.0967,85.5416
14.58755,-0.016999,2.05005,-1.450528,326.2671,189.0967,85.5416
14.59059,-0.016999,2.05005,-1.450528,326.2671,189.0967,85.5416
14.59496,-0.016999,2.05005,-1.450528,326.2671,189.0967,85.5416
14.59795,-0.016999,2.05005,-1.450528,326.2671,189.0967,85.5416
14.60119,-0.016999,2.05005,-1.450528,326.3402,189.0922,85.54406
14.60527,-0.016999,2.05005,-1.450528,326.3402,189.0922,85.54406
14.60855,-0.016999,2.05005,-1.450528,326.3402,189.0922,85.54406
14.6124,-0.016999,2.05005,-1.450528,326.3402,189.0922,85.54406
14.61583,-0.016999,2.05005,-1.450528,326.3402,189.0922,85.54406
14.61872,-0.016999,2.05005,-1.450528,326.3402,189.0922,85.54406
14.62171,-0.016999,2.05005,-1.450528,326.2671,189.0967,85.5416
14.62585,-0.016999,2.05005,-1.450528,326.2671,189.0967,85.5416
14.62922,-0.016999,2.05005,-1.450528,326.2671,189.0967,85.5416
14.63259,-0.016999,2.05005,-1.450528,326.2671,189.0967,85.5416
14.6354,-0.016999,2.05005,-1.450528,326.2671,189.0967,85.5416
14.63842,-0.016999,2.05005,-1.450528,326.2671,189.0967,85.5416
14.64151,-0.016999,2.05005,-1.450528,326.4099,189.0033,85.71979
14.64649,-0.016999,2.05005,-1.450528,326.4099,189.0033,85.71979
14.65043,-0.016999,2.05005,-1.450528,326.4099,189.0033,85.71979
14.6562,-0.016999,2.05005,-1.450528,326.4099,189.0033,85.71979
14.66162,-0.017001,2.05005,-1.451518,326.4064,188.9188,85.74661
14.66454,-0.017001,2.05005,-1.451518,326.4064,188.9188,85.74661
14.66733,-0.017001,2.05005,-1.451518,326.4064,188.9188,85.74661
14.67041,-0.017001,2.05005,-1.451518,326.4064,188.9188,85.74661
14.67346,-0.017001,2.05005,-1.451518,326.4064,188.9188,85.74661
14.67762,-0.017001,2.05005,-1.451518,326.4064,188.9188,85.74661
14.68169,-0.017001,2.05005,-1.451518,326.4099,189.0034,85.64654
14.69422,-0.017001,2.05005,-1.451518,326.4099,189.0034,85.64654
14.69665,-0.017001,2.05005,-1.451518,326.4099,189.0034,85.64654
14.69984,-0.017001,2.05005,-1.451518,326.4099,189.0034,85.64654
14.70278,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.70649,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.71108,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.71417,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.71722,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.72021,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.72468,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.72914,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.73259,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.73586,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.7387,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.74191,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.74627,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.74913,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.75216,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.75576,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.76546,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.7686,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.7721,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.77565,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.77946,-0.017001,2.05005,-1.451518,326.4796,188.9145,85.82224
14.78372,-0.017001,2.05005,-1.451518,326.4761,188.8301,85.84904
14.78819,-0.017001,2.05005,-1.451518,326.4761,188.8301,85.84904
14.79183,-0.017001,2.05005,-1.451518,326.4761,188.8301,85.84904
14.79594,-0.017001,2.05005,-1.451518,326.4761,188.8301,85.84904
14.79893,-0.017001,2.05005,-1.451518,326.4761,188.8301,85.84904
14.80212,-0.017001,2.05005,-1.451518,326.4761,188.8301,85.84904
14.80598,-0.017001,2.05005,-1.451518,326.4761,188.8301,85.84904
14.81066,-0.017001,2.05005,-1.451518,326.4761,188.8301,85.84904
14.81391,-0.017001,2.05005,-1.451518,326.4761,188.8301,85.84904
14.8167,-0.017001,2.05005,-1.451518,326.4761,188.8301,85.84904
14.82038,-0.020401,2.05005,-1.45151,326.4761,188.8536,85.92227
14.82545,-0.020401,2.05005,-1.45151,326.4761,188.8536,85.92227
14.82879,-0.020401,2.05005,-1.45151,326.4761,188.8536,85.92227
14.83231,-0.020401,2.05005,-1.45151,326.4761,188.8536,85.92227
14.83583,-0.020401,2.05005,-1.45151,326.4761,188.8536,85.92227
14.83854,-0.020401,2.05005,-1.45151,326.4761,188.8536,85.92227
14.84183,-0.027193,2.05005,-1.448906,326.4992,188.8984,85.92651
14.84607,-0.027193,2.05005,-1.448906,326.4992,188.8984,85.92651
14.84946,-0.027193,2.05005,-1.448906,326.4992,188.8984,85.92651
14.85257,-0.027193,2.05005,-1.448906,326.4992,188.8984,85.92651
14.85538,-0.027193,2.05005,-1.448906,326.4992,188.8984,85.92651
14.85896,-0.027193,2.05005,-1.448906,326.4992,188.8984,85.92651
14.86264,-0.037386,2.05005,-1.447877,326.4958,188.8846,85.88005
14.86666,-0.037386,2.05005,-1.447877,326.4958,188.8846,85.88005
14.86968,-0.037386,2.05005,-1.447877,326.4958,188.8846,85.88005
