time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
85.54503,-0.099099,2.05005,-1.492493,322.8271,166.7306,340.8695
85.5492,-0.099099,2.05005,-1.492493,322.8271,166.7306,340.8695
85.55426,-0.099099,2.05005,-1.492493,322.8271,166.7306,340.8695
85.5572,-0.099099,2.05005,-1.492493,322.8271,166.7306,340.8695
85.56035,-0.099099,2.05005,-1.492493,322.8328,166.644,340.8979
85.56532,-0.099099,2.05005,-1.492493,322.8328,166.644,340.8979
85.56898,-0.099099,2.05005,-1.492493,322.8328,166.644,340.8979
85.57243,-0.099099,2.05005,-1.492493,322.8328,166.644,340.8979
85.57552,-0.099099,2.05005,-1.492493,322.8328,166.644,340.8979
85.57925,-0.099099,2.05005,-1.492493,322.8328,166.644,340.8979
85.58348,-0.099099,2.05005,-1.492493,322.7541,166.7231,340.874
85.58783,-0.099099,2.05005,-1.492493,322.7541,166.7231,340.874
85.59121,-0.099099,2.05005,-1.492493,322.7541,166.7231,340.874
85.59491,-0.099099,2.05005,-1.492493,322.7541,166.7231,340.874
85.6016,-0.095682,2.05005,-1.492533,322.8271,166.707,340.7962
85.60812,-0.095682,2.05005,-1.492533,322.8271,166.707,340.7962
85.6102,-0.095682,2.05005,-1.492533,322.8271,166.707,340.7962
85.61425,-0.095682,2.05005,-1.492533,322.8271,166.707,340.7962
85.61803,-0.095682,2.05005,-1.492533,322.8271,166.707,340.7962
85.62246,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.8008
85.62673,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.8008
85.63057,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.8008
85.63405,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.8008
85.63716,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.8008
85.64037,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.8008
85.64532,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.8008
85.64842,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.8008
85.65217,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.8008
85.65562,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.8008
85.65958,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.8008
85.66332,-0.095694,2.05005,-1.49355,322.8328,166.6204,340.8247
85.66692,-0.095694,2.05005,-1.49355,322.8328,166.6204,340.8247
85.67037,-0.095694,2.05005,-1.49355,322.8328,166.6204,340.8247
85.67425,-0.095694,2.05005,-1.49355,322.8328,166.6204,340.8247
85.6775,-0.095694,2.05005,-1.49355,322.8328,166.6204,340.8247
85.68102,-0.095694,2.05005,-1.49355,322.8271,166.707,340.7962
85.68614,-0.095694,2.05005,-1.49355,322.8271,166.707,340.7962
85.6897,-0.095694,2.05005,-1.49355,322.8271,166.707,340.7962
85.69324,-0.095694,2.05005,-1.49355,322.8271,166.707,340.7962
85.69637,-0.095694,2.05005,-1.49355,322.8271,166.707,340.7962
85.69972,-0.095694,2.05005,-1.49355,322.8271,166.707,340.7962
85.70397,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.6543
85.70921,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.6543
85.71281,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.6543
85.71622,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.6543
85.7198,-0.095694,2.05005,-1.49355,322.7541,166.6996,340.6543
85.72603,-0.095694,2.05005,-1.49355,322.8271,166.707,340.6497
85.72874,-0.095694,2.05005,-1.49355,322.8271,166.707,340.6497
85.73176,-0.095694,2.05005,-1.49355,322.8271,166.707,340.6497
