time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
85.54503,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.5492,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.55426,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.5572,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.56035,0,2.05005,-0.00014,316.2713,154.5554,292.8116
85.56532,0,2.05005,-0.00014,316.2713,154.5554,292.8116
85.56898,0,2.05005,-0.00014,316.2713,154.5554,292.8116
85.57243,0,2.05005,-0.00014,316.2713,154.5554,292.8116
85.57552,0,2.05005,-0.00014,316.2713,154.5554,292.8116
85.57925,0,2.05005,-0.00014,316.2713,154.5554,292.8116
85.58348,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.58783,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.59121,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.59491,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.6016,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.60812,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.6102,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.61425,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.61803,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.62246,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.62673,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.63057,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.63405,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.63716,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.64037,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.64532,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.64842,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.65217,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.65562,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.65958,0,2.05005,-0.00014,316.1982,154.5496,292.8156
85.66332,0,2.05005,-0.00014,316.1982,154.5496,292.7423
