timestamp,log_type,message,stacktrace
3.713384,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:333).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:501).  
59.62,Log,Collider enter = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:43).  
59.98,Log,Collider exit = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerExit (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:54).  
61.34,Log,Collider enter = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:43).  
62.16,Log,Collider exit = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerExit (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:54).  
64.34,Log,Collider exit = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerExit (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:54).  
65.56,Log, Object : Table  Tag : Touchable,UnityEngine.Debug:Log (object).  HapticGrabber:grab () (at Assets/OpenHaptics/HapticScripts/HapticGrabber.cs:216).  HapticGrabber:FixedUpdate () (at Assets/OpenHaptics/HapticScripts/HapticGrabber.cs:96).  
76.5,Log, Object : Table  Tag : Touchable,UnityEngine.Debug:Log (object).  HapticGrabber:grab () (at Assets/OpenHaptics/HapticScripts/HapticGrabber.cs:216).  HapticGrabber:FixedUpdate () (at Assets/OpenHaptics/HapticScripts/HapticGrabber.cs:96).  
118.66,Log, Object : Table  Tag : Touchable,UnityEngine.Debug:Log (object).  HapticGrabber:grab () (at Assets/OpenHaptics/HapticScripts/HapticGrabber.cs:216).  HapticGrabber:FixedUpdate () (at Assets/OpenHaptics/HapticScripts/HapticGrabber.cs:96).  
122.62,Log, Object : Table  Tag : Touchable,UnityEngine.Debug:Log (object).  HapticGrabber:grab () (at Assets/OpenHaptics/HapticScripts/HapticGrabber.cs:216).  HapticGrabber:FixedUpdate () (at Assets/OpenHaptics/HapticScripts/HapticGrabber.cs:96).  
123.3,Log, Object : Table  Tag : Touchable,UnityEngine.Debug:Log (object).  HapticGrabber:grab () (at Assets/OpenHaptics/HapticScripts/HapticGrabber.cs:216).  HapticGrabber:FixedUpdate () (at Assets/OpenHaptics/HapticScripts/HapticGrabber.cs:96).  
132.2501,Log,OnApplicationQuit: Disconnecting from Haptic,UnityEngine.Debug:Log (object).  HapticPlugin:OnApplicationQuit () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:248).  
132.2501,Log,OnApplicationQuit: Disconnecting from Haptic,UnityEngine.Debug:Log (object).  HapticPlugin:OnApplicationQuit () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:248).  
