time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
61.85929,0,1.244464,2.40571,335.5656,179.9952,322.429
61.86827,0,1.244464,2.40571,335.5656,180.0514,322.3849
61.87236,0,1.244464,2.40571,335.5656,180.0514,322.3849
61.8763,0,1.244464,2.40571,335.5656,180.0514,322.3849
61.88055,0,1.244464,2.40571,335.5656,179.9952,322.429
61.88501,0,1.244464,2.40571,335.5656,179.9952,322.429
61.88906,0,1.244464,2.40571,335.5656,179.9952,322.429
61.89291,0,1.244464,2.40571,335.5656,179.9952,322.429
61.89749,0,1.244464,2.40571,335.5656,179.9952,322.429
61.90115,0,1.244464,2.40571,335.5656,180.0514,322.4581
61.90548,0,1.244464,2.40571,335.5656,180.0514,322.4581
61.9093,0,1.244464,2.40571,335.5656,180.0514,322.4581
61.91323,0,1.244464,2.40571,335.5656,180.0514,322.4581
61.91725,0,1.244464,2.40571,335.5656,180.0514,322.4581
61.92107,0,1.244464,2.40571,335.5656,179.9952,322.429
61.92537,0,1.244464,2.40571,335.5656,179.9952,322.429
61.92987,0,1.244464,2.40571,335.5656,179.9952,322.429
61.93361,0,1.244464,2.40571,335.5656,179.9952,322.429
61.93736,0,1.244464,2.40571,335.5656,179.9952,322.429
61.94201,0,1.244464,2.40571,335.5656,180.0514,322.4581
61.96579,0,1.244464,2.40571,335.5656,180.0514,322.4581
61.97274,0,1.244464,2.40571,335.5656,180.0514,322.4581
61.97639,0,1.244464,2.40571,335.5656,180.0514,322.4581
61.98072,0,1.244464,2.40571,335.5656,180.0514,322.4581
61.98642,0,1.244464,2.40571,335.5656,180.0514,322.4581
61.99027,0,1.244464,2.40571,335.5656,180.0514,322.4581
61.99327,0,1.244464,2.40571,335.5656,180.0514,322.4581
61.9973,0,1.244464,2.40571,335.5656,180.0514,322.4581
62.00186,0,1.244464,2.40571,335.5656,179.9952,322.429
62.00615,0,1.244464,2.40571,335.5656,179.9952,322.429
62.00908,0,1.244464,2.40571,335.5656,179.9952,322.429
62.01323,0,1.244464,2.40571,335.5656,179.9952,322.429
62.01668,0,1.244464,2.40571,335.5656,179.9952,322.429
62.02049,0,1.244464,2.40571,335.5656,179.9952,322.429
62.02514,0,1.244464,2.40571,335.5656,179.9952,322.429
62.02868,0,1.244464,2.40571,335.5656,179.9952,322.429
62.03193,0,1.244464,2.40571,335.5656,179.9952,322.429
62.03569,0,1.244464,2.40571,335.5656,179.9952,322.429
62.039,0,1.244464,2.40571,335.5656,179.9952,322.429
62.04231,0,1.244464,2.40571,335.5656,179.9952,322.429
62.04786,0,1.244464,2.40571,335.5656,179.9952,322.429
62.05082,0,1.244464,2.40571,335.5656,179.9952,322.429
62.05427,0,1.244464,2.40571,335.5656,179.9952,322.429
62.05798,0,1.244464,2.40571,335.5656,179.9952,322.429
62.06181,0,1.244464,2.40571,335.5656,179.9952,322.429
62.06676,0,1.244464,2.40571,335.5656,179.9952,322.429
62.06984,0,1.244464,2.40571,335.5656,179.9952,322.429
62.07307,0,1.244464,2.40571,335.5656,179.9952,322.429
62.0768,0,1.244464,2.40571,335.5656,179.9952,322.429
62.08187,0,1.244464,2.40571,335.5656,180.0514,322.4581
62.08644,0,1.244464,2.40571,335.5656,180.0514,322.4581
62.08972,0,1.244464,2.40571,335.5656,180.0514,322.4581
62.09496,0,1.244464,2.40571,335.5656,180.0514,322.4581
62.116,0,1.244464,2.40571,335.5656,179.9952,322.429
62.12117,0,1.244464,2.40571,335.5656,179.9952,322.429
62.12445,0,1.244464,2.40571,335.5656,179.9952,322.429
