time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
61.85929,0.031893,2.05005,-1.538557,304.546,170.538,350.2249
61.86827,0.031893,2.05005,-1.538557,304.546,170.538,350.1516
61.87236,0.031893,2.05005,-1.538557,304.546,170.538,350.1516
61.8763,0.031893,2.05005,-1.538557,304.546,170.538,350.1516
61.88055,0.031893,2.05005,-1.538557,304.546,170.538,350.2249
61.88501,0.031893,2.05005,-1.538557,304.546,170.538,350.2249
61.88906,0.031893,2.05005,-1.538557,304.546,170.538,350.2249
61.89291,0.031893,2.05005,-1.538557,304.546,170.538,350.2249
61.89749,0.031893,2.05005,-1.538557,304.546,170.538,350.2249
61.90115,0.031893,2.05005,-1.538557,304.4701,170.6272,350.1272
61.90548,0.031893,2.05005,-1.538557,304.4701,170.6272,350.1272
61.9093,0.031893,2.05005,-1.538557,304.4701,170.6272,350.1272
61.91323,0.031893,2.05005,-1.538557,304.4701,170.6272,350.1272
61.91725,0.031893,2.05005,-1.538557,304.4701,170.6272,350.1272
61.92107,0.031893,2.05005,-1.538557,304.5432,170.6337,350.1219
61.92537,0.031893,2.05005,-1.538557,304.5432,170.6337,350.1219
61.92987,0.031893,2.05005,-1.538557,304.5432,170.6337,350.1219
61.93361,0.031893,2.05005,-1.538557,304.5432,170.6337,350.1219
61.93736,0.031893,2.05005,-1.538557,304.5432,170.6337,350.1219
61.94201,0.031893,2.05005,-1.538557,304.546,170.538,350.1516
61.96579,0.031893,2.05005,-1.538557,304.4701,170.6272,350.054
61.97274,0.031893,2.05005,-1.538557,304.4701,170.6272,350.054
61.97639,0.031893,2.05005,-1.538557,304.4701,170.6272,350.054
61.98072,0.031893,2.05005,-1.538557,304.546,170.538,350.1516
61.98642,0.031893,2.05005,-1.538557,304.546,170.538,350.1516
61.99027,0.031893,2.05005,-1.538557,304.546,170.538,350.1516
61.99327,0.031893,2.05005,-1.538557,304.546,170.538,350.1516
61.9973,0.031893,2.05005,-1.538557,304.546,170.538,350.1516
62.00186,0.031882,2.05005,-1.535915,304.569,170.5434,350.145
62.00615,0.031882,2.05005,-1.535915,304.569,170.5434,350.145
62.00908,0.031882,2.05005,-1.535915,304.569,170.5434,350.145
62.01323,0.031882,2.05005,-1.535915,304.569,170.5434,350.145
62.01668,0.031882,2.05005,-1.535915,304.569,170.5434,350.145
62.02049,0.031882,2.05005,-1.535915,304.5663,170.6391,350.1154
62.02514,0.031882,2.05005,-1.535915,304.5663,170.6391,350.1154
62.02868,0.031882,2.05005,-1.535915,304.5663,170.6391,350.1154
62.03193,0.031882,2.05005,-1.535915,304.5663,170.6391,350.1154
62.03569,0.031882,2.05005,-1.535915,304.5663,170.6391,350.1154
62.039,0.031882,2.05005,-1.535915,304.5663,170.6391,350.1154
62.04231,0.031882,2.05005,-1.535915,304.569,170.5434,350.0718
62.04786,0.031882,2.05005,-1.535915,304.569,170.5434,350.0718
62.05082,0.031882,2.05005,-1.535915,304.569,170.5434,350.0718
62.05427,0.031882,2.05005,-1.535915,304.569,170.5434,350.0718
62.05798,0.031882,2.05005,-1.535915,304.569,170.5434,350.0718
62.06181,0.031882,2.05005,-1.535915,304.5663,170.6391,350.0421
62.06676,0.031882,2.05005,-1.535915,304.5663,170.6391,350.0421
62.06984,0.031882,2.05005,-1.535915,304.5663,170.6391,350.0421
62.07307,0.031882,2.05005,-1.535915,304.5663,170.6391,350.0421
62.0768,0.031882,2.05005,-1.535915,304.5663,170.6391,350.0421
62.08187,0.038259,2.05005,-1.535886,304.5663,170.5919,349.9688
62.08644,0.038259,2.05005,-1.535886,304.5663,170.5919,349.9688
62.08972,0.038259,2.05005,-1.535886,304.5663,170.5919,349.9688
62.09496,0.038259,2.05005,-1.535886,304.5663,170.5919,349.9688
62.116,0.098832,2.05005,-1.535351,304.569,170.0722,350.145
62.12117,0.098832,2.05005,-1.535351,304.569,170.0722,350.145
62.12445,0.098832,2.05005,-1.535351,304.569,170.0722,350.145
62.12847,0.098832,2.05005,-1.535351,304.569,170.0722,350.145
62.13255,0.098832,2.05005,-1.535351,304.569,170.0722,350.145
62.13655,0.098832,2.05005,-1.535351,304.569,170.0722,350.145
62.1396,0.098832,2.05005,-1.535351,304.569,170.0722,350.145
62.14289,0.152953,2.05005,-1.530828,304.5762,170.251,349.9606
62.14842,0.152953,2.05005,-1.530828,304.5762,170.251,349.9606
62.15216,0.152953,2.05005,-1.530828,304.5762,170.251,349.9606
62.15563,0.152953,2.05005,-1.530828,304.5762,170.251,349.9606
62.15894,0.152953,2.05005,-1.530828,304.5762,170.251,349.9606
62.16298,0.213383,2.05005,-1.525753,304.5844,170.3587,349.7766
62.16786,0.213383,2.05005,-1.525753,304.5844,170.3587,349.7766
62.17122,0.213383,2.05005,-1.525753,304.5844,170.3587,349.7766
62.17505,0.213383,2.05005,-1.525753,304.5844,170.3587,349.7766
62.17839,0.213383,2.05005,-1.525753,304.5844,170.3587,349.7766
62.18188,0.295938,2.05005,-1.517378,304.5916,170.4439,349.5634
62.18654,0.295938,2.05005,-1.517378,304.5916,170.4439,349.5634
62.19014,0.295938,2.05005,-1.517378,304.5916,170.4439,349.5634
