time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.600713,-0.006826,2.05005,-1.482236,343.2207,172.5444,212.5941
8.61167,-0.006826,2.05005,-1.482236,343.2207,172.5444,212.5941
8.616557,-0.006826,2.05005,-1.482236,343.2207,172.5444,212.5941
8.620704,-0.006826,2.05005,-1.482236,343.2207,172.5444,212.5941
8.624918,-0.006826,2.05005,-1.482236,343.2207,172.5444,212.5941
8.62819,-0.006826,2.05005,-1.482236,343.2207,172.5444,212.5941
8.631457,-0.006826,2.05005,-1.482236,343.2207,172.5444,212.5941
8.635399,-0.006826,2.05005,-1.482236,343.2207,172.5444,212.5941
8.639824,-0.006826,2.05005,-1.482236,343.2207,172.5444,212.5941
8.642912,-0.01024,2.05005,-1.483248,343.2238,172.4916,212.6182
8.647683,-0.01024,2.05005,-1.483248,343.2238,172.4916,212.6182
8.651236,-0.01024,2.05005,-1.483248,343.2238,172.4916,212.6182
8.654641,-0.01024,2.05005,-1.483248,343.2238,172.4916,212.6182
8.657658,-0.01024,2.05005,-1.483248,343.2238,172.4916,212.6182
8.66117,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.666157,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.670974,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.673925,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.677309,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.680344,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.68443,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.687669,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.690814,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.694591,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.698097,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.701188,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.707395,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.710205,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.713897,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.717735,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.72233,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.728221,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.731548,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.734447,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.737748,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.741322,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.747332,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.750393,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.753695,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.757055,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.760978,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.764603,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.767783,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.771156,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.774697,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.778151,-0.01024,2.05005,-1.483248,343.2207,172.568,212.5941
8.781054,-0.010241,2.05005,-1.484262,343.2207,172.568,212.5941
8.787778,-0.010241,2.05005,-1.484262,343.2207,172.568,212.5941
8.79151,-0.010241,2.05005,-1.484262,343.2207,172.568,212.5941
8.794797,-0.010241,2.05005,-1.484262,343.2207,172.568,212.5941
8.797595,-0.010241,2.05005,-1.484262,343.2207,172.568,212.5941
8.80065,-0.010241,2.05005,-1.484262,343.1476,172.5648,212.5951
8.807512,-0.010241,2.05005,-1.484262,343.1476,172.5648,212.5951
8.815753,-0.010241,2.05005,-1.484262,343.1476,172.5648,212.5951
8.818027,-0.010241,2.05005,-1.484262,343.1476,172.5648,212.5951
8.821797,-0.010241,2.05005,-1.484262,343.1476,172.5648,212.5951
8.82749,-0.010241,2.05005,-1.484262,343.1476,172.5648,212.5951
8.830224,-0.010241,2.05005,-1.484262,343.1476,172.5648,212.5951
8.833113,-0.010241,2.05005,-1.484262,343.1476,172.5648,212.5951
8.836462,-0.010241,2.05005,-1.484262,343.1476,172.5648,212.5951
8.840006,-0.010238,2.05005,-1.481685,343.1677,172.6422,212.5678
8.843708,-0.010238,2.05005,-1.481686,343.1677,172.6422,212.5678
8.846787,-0.010238,2.05005,-1.481686,343.1677,172.6422,212.5678
8.849969,-0.010238,2.05005,-1.481686,343.1677,172.6422,212.5678
8.853443,-0.010238,2.05005,-1.481686,343.1677,172.6422,212.5678
8.856627,-0.010238,2.05005,-1.481686,343.1677,172.6422,212.5678
8.859706,-0.010238,2.05005,-1.481686,343.1677,172.6422,212.5678
8.862739,-0.01365,2.05005,-1.481681,343.0945,172.6626,212.5687
8.868538,-0.01365,2.05005,-1.481681,343.0945,172.6626,212.5687
8.872251,-0.01365,2.05005,-1.481681,343.0945,172.6626,212.5687
8.87553,-0.01365,2.05005,-1.481681,343.0945,172.6626,212.5687
8.878304,-0.01365,2.05005,-1.481681,343.0945,172.6626,212.5687
8.88178,-0.017052,2.05005,-1.47652,343.1378,172.7409,212.5385
8.886872,-0.017052,2.05005,-1.47652,343.1378,172.7409,212.5385
8.889861,-0.017052,2.05005,-1.47652,343.1378,172.7409,212.5385
8.89293,-0.017052,2.05005,-1.47652,343.1378,172.7409,212.5385
8.895934,-0.017052,2.05005,-1.47652,343.1378,172.7409,212.5385
8.899011,-0.017052,2.05005,-1.47652,343.1378,172.7409,212.5385
8.902,-0.017037,2.05005,-1.468785,343.1139,172.6867,212.557
8.907535,-0.017037,2.05005,-1.468785,343.1139,172.6867,212.557
8.910662,-0.017037,2.05005,-1.468785,343.1139,172.6867,212.557
8.914291,-0.017037,2.05005,-1.468785,343.1139,172.6867,212.557
8.917078,-0.017037,2.05005,-1.468785,343.1139,172.6867,212.557
8.920168,-0.020438,2.05005,-1.466198,343.1573,172.7885,212.5269
8.924362,-0.020438,2.05005,-1.466198,343.1573,172.7885,212.5269
8.927507,-0.020438,2.05005,-1.466198,343.1573,172.7885,212.5269
8.930947,-0.020438,2.05005,-1.466198,343.1573,172.7885,212.5269
8.933754,-0.020438,2.05005,-1.466198,343.1573,172.7885,212.5269
8.936877,-0.020438,2.05005,-1.466198,343.1573,172.7885,212.5269
8.940149,-0.023814,2.05005,-1.45587,343.1535,172.8117,212.5184
8.944055,-0.023814,2.05005,-1.45587,343.1535,172.8117,212.5184
8.947497,-0.023814,2.05005,-1.45587,343.1535,172.8117,212.5184
8.950832,-0.023814,2.05005,-1.45587,343.1535,172.8117,212.5184
8.953889,-0.023814,2.05005,-1.45587,343.1535,172.8117,212.5184
8.956892,-0.023814,2.05005,-1.45587,343.1535,172.8117,212.5184
8.960619,-0.027191,2.05005,-1.448117,343.0998,172.8328,212.5077
8.964369,-0.027191,2.05005,-1.448117,343.0998,172.8328,212.5077
8.967471,-0.027191,2.05005,-1.448117,343.0998,172.8328,212.5077
8.970579,-0.027191,2.05005,-1.448117,343.0998,172.8328,212.5077
8.973941,-0.027191,2.05005,-1.448117,343.0998,172.8328,212.5077
8.97779,-0.027191,2.05005,-1.448117,343.0998,172.8328,212.5077
8.980741,-0.030542,2.05005,-1.435193,343.1192,172.8569,212.4961
8.984481,-0.030542,2.05005,-1.435193,343.1192,172.8569,212.4961
8.988029,-0.030542,2.05005,-1.435193,343.1192,172.8569,212.4961
8.991817,-0.030542,2.05005,-1.435193,343.1192,172.8569,212.4961
8.995013,-0.030542,2.05005,-1.435193,343.1192,172.8569,212.4961
8.998043,-0.030542,2.05005,-1.435193,343.1192,172.8569,212.4961
9.000988,-0.030503,2.05005,-1.424857,343.1618,172.8584,212.4813
9.007157,-0.030503,2.05005,-1.424857,343.1618,172.8584,212.4813
9.010186,-0.030503,2.05005,-1.424857,343.1618,172.8584,212.4813
9.012982,-0.030503,2.05005,-1.424857,343.1618,172.8584,212.4813
9.015868,-0.030503,2.05005,-1.424857,343.1618,172.8584,212.4813
9.018719,-0.030503,2.05005,-1.424857,343.1618,172.8584,212.4813
9.022541,-0.033797,2.05005,-1.401569,343.2238,172.8841,212.455
9.02734,-0.033797,2.05005,-1.401569,343.2238,172.8841,212.455
9.030289,-0.033797,2.05005,-1.401569,343.2238,172.8841,212.455
9.033367,-0.033797,2.05005,-1.401569,343.2238,172.8841,212.455
9.03633,-0.033797,2.05005,-1.401569,343.2238,172.8841,212.455
9.040709,-0.033776,2.05005,-1.396393,343.1969,172.8829,212.4496
9.044293,-0.033776,2.05005,-1.396393,343.1969,172.8829,212.4496
9.047356,-0.033776,2.05005,-1.396393,343.1969,172.8829,212.4496
9.050258,-0.033776,2.05005,-1.396393,343.1969,172.8829,212.4496
9.053522,-0.033776,2.05005,-1.396393,343.1969,172.8829,212.4496
9.056859,-0.033776,2.05005,-1.396393,343.1969,172.8829,212.4496
9.059931,-0.033776,2.05005,-1.396393,343.1969,172.8829,212.4496
9.062883,-0.037024,2.05005,-1.367887,343.2349,172.8311,212.4406
9.067995,-0.037024,2.05005,-1.367887,343.2349,172.8311,212.4406
9.072023,-0.037024,2.05005,-1.367887,343.2349,172.8311,212.4406
9.075176,-0.037024,2.05005,-1.367887,343.2349,172.8311,212.4406
9.07788,-0.037024,2.05005,-1.367887,343.2349,172.8311,212.4406
9.080914,-0.036942,2.05005,-1.349735,343.2274,172.8306,212.4234
9.087479,-0.036942,2.05005,-1.349735,343.2274,172.8306,212.4234
9.090317,-0.036942,2.05005,-1.349735,343.2274,172.8306,212.4234
9.093316,-0.036942,2.05005,-1.349735,343.2274,172.8306,212.4234
9.096288,-0.036942,2.05005,-1.349735,343.2274,172.8306,212.4234
9.09918,-0.036942,2.05005,-1.349735,343.2274,172.8306,212.4234
9.102464,-0.040172,2.05005,-1.323759,343.3153,172.781,212.4158
9.107944,-0.040172,2.05005,-1.323759,343.3153,172.781,212.4158
9.11082,-0.040172,2.05005,-1.323759,343.3153,172.781,212.4158
9.113441,-0.040172,2.05005,-1.323759,343.3153,172.781,212.4158
9.117062,-0.040172,2.05005,-1.323759,343.3153,172.781,212.4158
9.120205,-0.043478,2.05005,-1.315948,343.3376,172.7289,212.426
9.124317,-0.043478,2.05005,-1.315948,343.3376,172.7289,212.426
9.127057,-0.043478,2.05005,-1.315948,343.3376,172.7289,212.426
9.130136,-0.043478,2.05005,-1.315948,343.3376,172.7289,212.426
9.133997,-0.043478,2.05005,-1.315948,343.3376,172.7289,212.426
9.137001,-0.043478,2.05005,-1.315948,343.3376,172.7289,212.426
9.140297,-0.046673,2.05005,-1.289928,343.355,172.6001,212.44
9.144016,-0.046673,2.05005,-1.289928,343.355,172.6001,212.44
9.147278,-0.046673,2.05005,-1.289928,343.355,172.6001,212.44
9.156384,-0.046673,2.05005,-1.289928,343.355,172.6001,212.44
9.158631,-0.046673,2.05005,-1.289928,343.355,172.6001,212.44
9.161442,-0.05975,2.05005,-1.254977,343.3687,172.5421,212.4436
9.166766,-0.05975,2.05005,-1.254977,343.3687,172.5421,212.4436
9.169655,-0.05975,2.05005,-1.254977,343.3687,172.5421,212.4436
9.173033,-0.05975,2.05005,-1.254977,343.3687,172.5421,212.4436
9.17624,-0.05975,2.05005,-1.254977,343.3687,172.5421,212.4436
9.17983,-0.05975,2.05005,-1.254977,343.3687,172.5421,212.4436
9.183015,-0.069407,2.05005,-1.21998,343.5054,172.4656,212.4474
9.188204,-0.069407,2.05005,-1.21998,343.5054,172.4656,212.4474
9.19159,-0.069407,2.05005,-1.21998,343.5054,172.4656,212.4474
9.194555,-0.069407,2.05005,-1.21998,343.5054,172.4656,212.4474
9.197784,-0.069407,2.05005,-1.21998,343.5054,172.4656,212.4474
9.200708,-0.072688,2.05005,-1.217341,343.411,172.3324,212.4842
9.204544,-0.072688,2.05005,-1.217341,343.411,172.3324,212.4842
9.210407,-0.072688,2.05005,-1.217341,343.411,172.3324,212.4842
9.213161,-0.072688,2.05005,-1.217341,343.411,172.3324,212.4842
9.21583,-0.072688,2.05005,-1.217341,343.411,172.3324,212.4842
9.218706,-0.072688,2.05005,-1.217341,343.411,172.3324,212.4842
9.222518,-0.078895,2.05005,-1.176635,343.5207,172.2318,212.4794
9.228611,-0.078895,2.05005,-1.176635,343.5207,172.2318,212.4794
9.23143,-0.078895,2.05005,-1.176635,343.5207,172.2318,212.4794
9.23422,-0.078895,2.05005,-1.176635,343.5207,172.2318,212.4794
9.237234,-0.078895,2.05005,-1.176635,343.5207,172.2318,212.4794
9.240311,-0.078787,2.05005,-1.165726,343.5168,172.2318,212.4696
9.244943,-0.078787,2.05005,-1.165726,343.5168,172.2318,212.4696
9.247725,-0.078787,2.05005,-1.165726,343.5168,172.2318,212.4696
9.251119,-0.078787,2.05005,-1.165726,343.5168,172.2318,212.4696
9.254122,-0.078787,2.05005,-1.165726,343.5168,172.2318,212.4696
9.257619,-0.078787,2.05005,-1.165726,343.5168,172.2318,212.4696
9.261328,-0.085029,2.05005,-1.13539,343.5311,172.2037,212.457
9.264783,-0.085029,2.05005,-1.13539,343.5311,172.2037,212.457
9.267944,-0.085029,2.05005,-1.13539,343.5311,172.2037,212.457
9.271543,-0.085029,2.05005,-1.13539,343.5311,172.2037,212.457
