time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.600713,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.61167,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.616557,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.620704,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.624918,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.62819,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.631457,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.635399,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.639824,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.642912,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.647683,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.651236,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.654641,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.657658,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.66117,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.666157,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.670974,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.673925,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.677309,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.680344,0,1.244464,2.80571,335.6389,179.939,307.3846
8.68443,0,1.244464,2.80571,335.6389,179.939,307.3846
8.687669,0,1.244464,2.80571,335.6389,179.939,307.3846
8.690814,0,1.244464,2.80571,335.6389,179.939,307.3846
8.694591,0,1.244464,2.80571,335.6389,179.939,307.3846
8.698097,0,1.244464,2.80571,335.6389,179.939,307.3846
8.701188,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.707395,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.710205,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.713897,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.717735,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.72233,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.728221,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.731548,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.734447,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.737748,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.741322,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.747332,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.750393,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.753695,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.757055,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.760978,0,1.244464,2.80571,335.6389,179.939,307.3846
8.764603,0,1.244464,2.80571,335.6389,179.939,307.3846
8.767783,0,1.244464,2.80571,335.6389,179.939,307.3846
8.771156,0,1.244464,2.80571,335.6389,179.939,307.3846
8.774697,0,1.244464,2.80571,335.6389,179.939,307.3846
8.778151,0,1.244464,2.80571,335.6389,179.939,307.3846
8.781054,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.787778,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.79151,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.794797,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.797595,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.80065,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.807512,0,1.244464,2.80571,335.6389,179.9952,307.4137
