time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
22.76431,-0.156964,2.05005,-1.47982,357.3407,203.2561,300.7183
22.76727,-0.156964,2.05005,-1.47982,357.3407,203.2561,300.7183
22.77103,-0.156964,2.05005,-1.47982,357.3407,203.2561,300.7183
22.77373,-0.156964,2.05005,-1.47982,357.3407,203.2561,300.7183
22.77649,-0.156964,2.05005,-1.47982,357.3407,203.2561,300.7183
22.77882,-0.156964,2.05005,-1.47982,357.3407,203.2561,300.7183
22.78128,-0.156964,2.05005,-1.47982,357.268,203.2652,300.6446
22.78449,-0.156964,2.05005,-1.47982,357.268,203.2652,300.6446
22.78713,-0.156964,2.05005,-1.47982,357.268,203.2652,300.6446
22.78962,-0.156964,2.05005,-1.47982,357.268,203.2652,300.6446
22.79202,-0.156964,2.05005,-1.47982,357.268,203.2652,300.6446
22.79419,-0.156964,2.05005,-1.47982,357.268,203.2652,300.6446
22.79634,-0.156964,2.05005,-1.47982,357.268,203.2652,300.6446
22.79913,-0.156964,2.05005,-1.47982,357.268,203.2652,300.6446
22.80238,-0.156983,2.05005,-1.480847,357.3407,203.2561,300.7183
22.80569,-0.156983,2.05005,-1.480846,357.3407,203.2561,300.7183
22.80838,-0.156983,2.05005,-1.480847,357.3407,203.2561,300.7183
22.81097,-0.156983,2.05005,-1.480847,357.3407,203.2561,300.7183
22.8137,-0.156983,2.05005,-1.480846,357.3407,203.2561,300.7183
22.81661,-0.156983,2.05005,-1.480847,357.3407,203.2561,300.7183
22.81959,-0.156983,2.05005,-1.480847,357.3407,203.2561,300.7183
22.82224,-0.156983,2.05005,-1.480847,357.3319,203.1856,300.74
22.82549,-0.156983,2.05005,-1.480847,357.3319,203.1856,300.74
22.83438,-0.156983,2.05005,-1.480847,357.3319,203.1856,300.74
22.8396,-0.156983,2.05005,-1.480847,357.3319,203.1856,300.74
22.8455,-0.156983,2.05005,-1.480847,357.2592,203.1947,300.7395
22.84817,-0.156983,2.05005,-1.480847,357.2592,203.1947,300.7395
22.8504,-0.156983,2.05005,-1.480847,357.2592,203.1947,300.7395
22.85319,-0.156983,2.05005,-1.480847,357.2592,203.1947,300.7395
22.85533,-0.156983,2.05005,-1.480847,357.2592,203.1947,300.7395
22.85778,-0.156983,2.05005,-1.480847,357.2592,203.1947,300.7395
22.86093,-0.156983,2.05005,-1.480847,357.3319,203.1856,300.74
