time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
11.74464,0,1.244464,2.80571,335.5656,179.939,39.60022
11.75145,0,1.244464,2.80571,335.5656,179.939,39.60022
11.75691,0,1.244464,2.80571,335.5656,179.939,39.60022
11.75928,0,1.244464,2.80571,335.5656,179.939,39.60022
11.76184,0,1.244464,2.80571,335.5656,179.939,39.60022
11.76473,0,1.244464,2.80571,335.5656,179.939,39.60022
11.76716,0,1.244464,2.80571,335.5656,179.939,39.60022
11.77005,0,1.244464,2.80571,335.5656,179.939,39.60022
11.77321,0,1.244464,2.80571,335.5656,179.939,39.60022
11.77585,0,1.244464,2.80571,335.5656,179.939,39.60022
11.77841,0,1.244464,2.80571,335.5656,179.939,39.60022
11.78102,0,1.244465,2.80571,335.5656,179.939,39.60022
11.78403,0,1.244464,2.80571,335.5656,179.939,39.60022
11.78657,0,1.244464,2.80571,335.5656,179.939,39.60022
11.78957,0,1.244464,2.80571,335.5656,179.939,39.60022
11.79218,0,1.244464,2.80571,335.5656,179.939,39.60022
11.79451,0,1.244464,2.80571,335.5656,179.939,39.60022
11.79696,0,1.244464,2.80571,335.5656,179.939,39.60022
11.79927,0,1.244464,2.80571,335.5656,179.939,39.60022
11.80185,0,1.244464,2.80571,335.6389,179.939,39.60023
11.80588,0,1.244464,2.80571,335.6389,179.939,39.60023
11.80806,0,1.244464,2.80571,335.6389,179.939,39.60023
11.81063,0,1.244464,2.80571,335.6389,179.939,39.60023
11.81318,0,1.244464,2.80571,335.6389,179.939,39.60023
11.81553,0,1.244464,2.80571,335.6389,179.939,39.60023
11.81793,0,1.244464,2.80571,335.6389,179.939,39.60023
11.8217,0,1.244464,2.80571,335.6389,179.939,39.67349
11.8248,0,1.244464,2.80571,335.6389,179.939,39.67349
11.82717,0,1.244464,2.80571,335.6389,179.939,39.67349
11.82972,0,1.244464,2.80571,335.6389,179.939,39.67349
11.83215,0,1.244464,2.80571,335.6389,179.939,39.67349
11.83839,0,1.244464,2.80571,335.6389,179.939,39.67349
11.84012,0,1.244464,2.80571,335.5656,179.9952,39.62937
11.84416,0,1.244464,2.80571,335.5656,179.9952,39.62937
