time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.500916,-0.124746,2.05005,-1.608884,322.1246,172.0459,307.6896
8.508321,-0.124746,2.05005,-1.608884,322.1246,172.0459,307.6896
8.513894,-0.124746,2.05005,-1.608884,322.1246,172.0459,307.6896
8.522733,-0.114351,2.05005,-1.609032,322.1246,171.9752,307.7628
8.527171,-0.114351,2.05005,-1.609032,322.1246,171.9752,307.7628
8.531725,-0.114351,2.05005,-1.609032,322.1246,171.9752,307.7628
8.534432,-0.114351,2.05005,-1.609032,322.1246,171.9752,307.7628
8.537289,-0.114351,2.05005,-1.609032,322.1246,171.9752,307.7628
8.539898,-0.114351,2.05005,-1.609032,322.1246,171.9752,307.7628
8.542558,-0.107421,2.05005,-1.609123,322.1209,172.0158,307.7326
8.546586,-0.107421,2.05005,-1.609123,322.1209,172.0158,307.7326
8.549218,-0.107421,2.05005,-1.609123,322.1209,172.0158,307.7326
8.55209,-0.107421,2.05005,-1.609123,322.1209,172.0158,307.7326
8.554742,-0.107421,2.05005,-1.609123,322.1209,172.0158,307.7326
8.557587,-0.107421,2.05005,-1.609123,322.1209,172.0158,307.7326
8.561085,-0.107421,2.05005,-1.609123,322.1173,172.1036,307.7756
8.564192,-0.107421,2.05005,-1.609123,322.1173,172.1036,307.7756
8.567106,-0.107421,2.05005,-1.609123,322.1173,172.1036,307.7756
8.569776,-0.107421,2.05005,-1.609123,322.1173,172.1036,307.7756
8.572584,-0.107421,2.05005,-1.609123,322.1173,172.1036,307.7756
8.575852,-0.107421,2.05005,-1.609123,322.1173,172.1036,307.7756
8.578916,-0.107421,2.05005,-1.609123,322.1173,172.1036,307.7756
8.581449,-0.107421,2.05005,-1.609123,322.1173,172.1036,307.7756
8.584694,-0.107421,2.05005,-1.609123,322.1173,172.1036,307.7756
8.587388,-0.107421,2.05005,-1.609123,322.1173,172.1036,307.7756
8.590463,-0.107421,2.05005,-1.609123,322.1173,172.1036,307.7756
8.593183,-0.107421,2.05005,-1.609123,322.1173,172.1036,307.7756
8.596318,-0.107421,2.05005,-1.609123,322.1173,172.1036,307.7756
8.599007,-0.107421,2.05005,-1.609123,322.1173,172.1036,307.7756
8.601701,-0.107434,2.05005,-1.610094,322.0405,172.1865,307.7482
8.604977,-0.107434,2.05005,-1.610094,322.0405,172.1865,307.7482
8.607904,-0.107434,2.05005,-1.610094,322.0405,172.1865,307.7482
8.610802,-0.107434,2.05005,-1.610094,322.0405,172.1865,307.7482
8.613611,-0.107434,2.05005,-1.610094,322.0405,172.1865,307.7482
8.619411,-0.107434,2.05005,-1.610094,322.0405,172.1865,307.7482
8.621829,-0.107459,2.05005,-1.612033,322.037,172.2743,307.7179
8.624725,-0.107459,2.05005,-1.612033,322.037,172.2743,307.7179
8.627709,-0.107459,2.05005,-1.612033,322.037,172.2743,307.7179
8.631179,-0.107459,2.05005,-1.612033,322.037,172.2743,307.7179
8.633945,-0.107459,2.05005,-1.612033,322.037,172.2743,307.7179
8.637302,-0.107459,2.05005,-1.612033,322.037,172.2743,307.7179
8.639982,-0.107459,2.05005,-1.612033,322.037,172.2743,307.7179
8.64277,-0.107483,2.05005,-1.613967,322.1137,172.1913,307.7453
8.646479,-0.107483,2.05005,-1.613967,322.1137,172.1913,307.7453
8.649091,-0.107483,2.05005,-1.613967,322.1137,172.1913,307.7453
8.652136,-0.107483,2.05005,-1.613967,322.1137,172.1913,307.7453
8.654973,-0.107483,2.05005,-1.613967,322.1137,172.1913,307.7453
8.657714,-0.107483,2.05005,-1.613967,322.1137,172.1913,307.7453
8.660194,-0.107495,2.05005,-1.614933,322.0405,172.1865,307.8215
8.663939,-0.107495,2.05005,-1.614933,322.0405,172.1865,307.8215
8.66698,-0.107495,2.05005,-1.614933,322.0405,172.1865,307.8215
8.669985,-0.107495,2.05005,-1.614933,322.0405,172.1865,307.8215
8.672658,-0.107495,2.05005,-1.614933,322.0405,172.1865,307.8215
8.675282,-0.107495,2.05005,-1.614933,322.0405,172.1865,307.8215
8.678339,-0.107495,2.05005,-1.614933,322.0405,172.1865,307.8215
8.680972,-0.107495,2.05005,-1.614933,322.0405,172.1865,307.8947
8.684883,-0.107495,2.05005,-1.614933,322.0405,172.1865,307.8947
8.687542,-0.107495,2.05005,-1.614933,322.0405,172.1865,307.8947
8.690253,-0.107495,2.05005,-1.614933,322.0405,172.1865,307.8947
8.692891,-0.107495,2.05005,-1.614933,322.0405,172.1865,307.8947
8.696078,-0.107495,2.05005,-1.614933,322.0405,172.1865,307.8947
8.69945,-0.107495,2.05005,-1.614933,322.0405,172.1865,307.8947
8.702221,-0.107495,2.05005,-1.614933,322.1137,172.1913,308.0383
8.705289,-0.107495,2.05005,-1.614933,322.1137,172.1913,308.0383
8.707945,-0.107495,2.05005,-1.614933,322.1137,172.1913,308.0383
8.710791,-0.107495,2.05005,-1.614933,322.1137,172.1913,308.0383
8.71401,-0.107495,2.05005,-1.614933,322.1137,172.1913,308.0383
8.717491,-0.107495,2.05005,-1.614933,322.1137,172.1913,308.0383
8.720277,-0.107495,2.05005,-1.614933,322.0441,172.0987,308.1448
8.723339,-0.107495,2.05005,-1.614933,322.0441,172.0987,308.1448
8.726083,-0.107495,2.05005,-1.614933,322.0441,172.0987,308.1448
8.729656,-0.107495,2.05005,-1.614933,322.0441,172.0987,308.1448
8.732242,-0.107495,2.05005,-1.614933,322.0441,172.0987,308.1448
8.734781,-0.107495,2.05005,-1.614933,322.0441,172.0987,308.1448
8.737638,-0.107495,2.05005,-1.614933,322.0441,172.0987,308.1448
8.740363,-0.11443,2.05005,-1.614842,322.1137,172.2384,308.1848
8.743579,-0.11443,2.05005,-1.614842,322.1137,172.2384,308.1848
8.747039,-0.11443,2.05005,-1.614842,322.1137,172.2384,308.1848
8.74972,-0.11443,2.05005,-1.614842,322.1137,172.2384,308.1848
8.752455,-0.11443,2.05005,-1.614842,322.1137,172.2384,308.1848
8.755152,-0.11443,2.05005,-1.614842,322.1137,172.2384,308.1848
8.757874,-0.11443,2.05005,-1.614842,322.1137,172.2384,308.1848
8.761188,-0.131647,2.05005,-1.606894,322.1098,172.3595,308.2478
8.76428,-0.131647,2.05005,-1.606894,322.1098,172.3595,308.2478
8.76719,-0.131647,2.05005,-1.606894,322.1098,172.3595,308.2478
8.769768,-0.131647,2.05005,-1.606894,322.1098,172.3595,308.2478
8.772656,-0.131647,2.05005,-1.606894,322.1098,172.3595,308.2478
8.775793,-0.131647,2.05005,-1.606894,322.1098,172.3595,308.2478
8.779048,-0.131647,2.05005,-1.606894,322.1098,172.3595,308.2478
8.781769,-0.162624,2.05005,-1.596084,322.1095,172.4872,308.2676
8.785167,-0.162624,2.05005,-1.596084,322.1095,172.4872,308.2676
8.787949,-0.162624,2.05005,-1.596084,322.1095,172.4872,308.2676
8.790978,-0.162624,2.05005,-1.596084,322.1095,172.4872,308.2676
8.793415,-0.162624,2.05005,-1.596084,322.1095,172.4872,308.2676
8.796229,-0.162624,2.05005,-1.596084,322.1095,172.4872,308.2676
8.798764,-0.162624,2.05005,-1.596084,322.1095,172.4872,308.2676
8.80123,-0.193346,2.05005,-1.577449,322.1284,172.6211,308.2723
8.804587,-0.193346,2.05005,-1.577449,322.1284,172.6211,308.2723
8.807824,-0.193346,2.05005,-1.577449,322.1284,172.6211,308.2723
8.810837,-0.193346,2.05005,-1.577449,322.1284,172.6211,308.2723
8.813888,-0.193346,2.05005,-1.577449,322.1284,172.6211,308.2723
8.817063,-0.193346,2.05005,-1.577449,322.1284,172.6211,308.2723
8.82053,-0.230749,2.05005,-1.555926,322.1934,172.8079,308.3406
8.824193,-0.230749,2.05005,-1.555926,322.1934,172.8079,308.3406
8.826967,-0.230749,2.05005,-1.555926,322.1934,172.8079,308.3406
8.829899,-0.230749,2.05005,-1.555926,322.1934,172.8079,308.3406
8.832645,-0.230749,2.05005,-1.555926,322.1934,172.8079,308.3406
8.835338,-0.230749,2.05005,-1.555926,322.1934,172.8079,308.3406
8.838816,-0.230749,2.05005,-1.555926,322.1934,172.8079,308.3406
8.841452,-0.28161,2.05005,-1.531187,322.2619,172.9785,308.3642
8.844798,-0.28161,2.05005,-1.531187,322.2619,172.9785,308.3642
8.847625,-0.28161,2.05005,-1.531187,322.2619,172.9785,308.3642
8.850441,-0.28161,2.05005,-1.531187,322.2619,172.9785,308.3642
8.853888,-0.28161,2.05005,-1.531187,322.2619,172.9785,308.3642
8.856877,-0.28161,2.05005,-1.531187,322.2619,172.9785,308.3642
8.859419,-0.28161,2.05005,-1.531187,322.2619,172.9785,308.3642
8.862393,-0.345436,2.05005,-1.495244,322.2763,173.2692,308.3737
8.865661,-0.345436,2.05005,-1.495244,322.2763,173.2692,308.3737
8.868455,-0.345436,2.05005,-1.495244,322.2763,173.2692,308.3737
8.871513,-0.345436,2.05005,-1.495244,322.2763,173.2692,308.3737
8.874199,-0.345436,2.05005,-1.495244,322.2763,173.2692,308.3737
8.877057,-0.345436,2.05005,-1.495244,322.2763,173.2692,308.3737
8.880016,-0.402613,2.05005,-1.473611,322.1673,173.148,308.5233
8.883025,-0.402613,2.05005,-1.473611,322.1673,173.148,308.5233
8.886492,-0.402613,2.05005,-1.473611,322.1673,173.148,308.5233
8.888874,-0.402613,2.05005,-1.473611,322.1673,173.148,308.5233
8.891401,-0.402613,2.05005,-1.473611,322.1673,173.148,308.5233
8.894004,-0.402613,2.05005,-1.473611,322.1673,173.148,308.5233
8.896679,-0.402613,2.05005,-1.473611,322.1673,173.148,308.5233
8.900054,-0.451784,2.05005,-1.435159,322.232,172.8483,308.7018
8.903608,-0.451784,2.05005,-1.435159,322.232,172.8483,308.7018
8.906331,-0.451784,2.05005,-1.435159,322.232,172.8483,308.7018
8.908993,-0.451784,2.05005,-1.435159,322.232,172.8483,308.7018
8.911989,-0.451784,2.05005,-1.435159,322.232,172.8483,308.7018
8.914935,-0.451784,2.05005,-1.435159,322.232,172.8483,308.7018
8.917787,-0.451784,2.05005,-1.435159,322.232,172.8483,308.7018
8.92043,-0.492648,2.05005,-1.37864,322.4813,172.4847,308.8285
8.923448,-0.492648,2.05005,-1.37864,322.4813,172.4847,308.8285
8.926253,-0.492648,2.05005,-1.37864,322.4813,172.4847,308.8285
8.929533,-0.492648,2.05005,-1.37864,322.4813,172.4847,308.8285
8.932893,-0.492648,2.05005,-1.37864,322.4813,172.4847,308.8285
8.935986,-0.492648,2.05005,-1.37864,322.4813,172.4847,308.8285
8.938803,-0.492648,2.05005,-1.37864,322.4813,172.4847,308.8285
8.941402,-0.513543,2.05005,-1.33442,322.5763,172.2747,308.8119
8.944688,-0.513543,2.05005,-1.33442,322.5763,172.2747,308.8119
8.947834,-0.513543,2.050049,-1.33442,322.5763,172.2747,308.8119
8.950384,-0.513543,2.05005,-1.33442,322.5763,172.2747,308.8119
8.953061,-0.513543,2.05005,-1.33442,322.5763,172.2747,308.8119
8.955831,-0.513543,2.05005,-1.33442,322.5763,172.2747,308.8119
8.958511,-0.513543,2.05005,-1.33442,322.5763,172.2747,308.8119
8.961402,-0.534076,2.05005,-1.288444,322.813,172.1412,308.8297
8.965396,-0.534076,2.05005,-1.288444,322.813,172.1412,308.8297
8.968131,-0.534076,2.05005,-1.288444,322.813,172.1412,308.8297
8.970945,-0.534076,2.05005,-1.288444,322.813,172.1412,308.8297
8.973673,-0.534076,2.05005,-1.288444,322.813,172.1412,308.8297
8.976375,-0.534076,2.05005,-1.288444,322.813,172.1412,308.8297
8.979955,-0.534076,2.05005,-1.288444,322.813,172.1412,308.8297
8.982693,-0.550715,2.050049,-1.237981,322.8529,171.9731,308.6272
8.986002,-0.550715,2.050049,-1.237981,322.8529,171.9731,308.6271
8.988724,-0.550715,2.050049,-1.237981,322.8529,171.9731,308.6272
8.991319,-0.550715,2.050049,-1.237981,322.8529,171.9731,308.6271
8.99469,-0.550715,2.050049,-1.237981,322.8529,171.9731,308.6272
8.997784,-0.550715,2.050049,-1.237981,322.8529,171.9731,308.6271
9.000513,-0.565481,2.05005,-1.164516,323.021,172,308.3339
9.003525,-0.565481,2.05005,-1.164516,323.021,172,308.3339
9.005899,-0.565481,2.05005,-1.164516,323.021,172,308.3339
9.008469,-0.565481,2.050049,-1.164516,323.021,172,308.3339
9.012385,-0.565481,2.05005,-1.164516,323.021,172,308.3339
9.014963,-0.565481,2.05005,-1.164516,323.021,172,308.3339
9.017532,-0.565481,2.05005,-1.164516,323.021,172,308.3339
9.020119,-0.573221,2.05005,-1.089262,323.3531,172.0015,307.9365
9.023401,-0.573221,2.05005,-1.089262,323.3531,172.0015,307.9365
9.026856,-0.573221,2.05005,-1.089262,323.3531,172.0015,307.9365
9.02986,-0.573221,2.05005,-1.089262,323.3531,172.0015,307.9365
9.032657,-0.573221,2.05005,-1.089262,323.3531,172.0015,307.9365
9.035359,-0.573221,2.05005,-1.089262,323.3531,172.0015,307.9365
9.038298,-0.573221,2.05005,-1.089262,323.3531,172.0015,307.9365
9.041398,-0.5689,2.050049,-0.985159,323.9137,172.0481,307.3216
9.04495,-0.5689,2.050049,-0.985159,323.9137,172.0481,307.3216
9.047798,-0.5689,2.050049,-0.985159,323.9137,172.0481,307.3216
9.050468,-0.5689,2.050049,-0.985159,323.9137,172.0481,307.3216
9.052942,-0.5689,2.050049,-0.985159,323.9137,172.0481,307.3216
9.055526,-0.5689,2.050049,-0.985159,323.9137,172.0481,307.3216
9.058826,-0.5689,2.050049,-0.985159,323.9137,172.0481,307.3216
9.061529,-0.558052,2.050049,-0.880014,324.4009,172.0417,306.636
9.064922,-0.558052,2.050049,-0.880014,324.4009,172.0417,306.636
9.067682,-0.558052,2.050049,-0.880014,324.4009,172.0417,306.636
9.070362,-0.558052,2.050049,-0.880014,324.4009,172.0417,306.636
9.073887,-0.558052,2.050049,-0.880014,324.4009,172.0417,306.636
9.076694,-0.558052,2.050049,-0.880014,324.4009,172.0417,306.636
9.079923,-0.558052,2.050049,-0.880014,324.4009,172.0417,306.636
9.082601,-0.547636,2.050049,-0.779663,324.9545,172.2043,305.8357
9.085833,-0.547636,2.050049,-0.779663,324.9545,172.2043,305.8357
9.088965,-0.547636,2.050049,-0.779663,324.9545,172.2043,305.8357
9.091716,-0.547636,2.050049,-0.779663,324.9545,172.2043,305.8357
9.094531,-0.547636,2.050049,-0.779663,324.9545,172.2043,305.8357
9.097585,-0.547636,2.050049,-0.779663,324.9545,172.2043,305.8357
9.100313,-0.536663,2.050049,-0.670368,325.5514,172.4515,304.9377
9.103702,-0.536663,2.050049,-0.670368,325.5514,172.4515,304.9377
9.106471,-0.536663,2.050049,-0.670368,325.5514,172.4515,304.9377
9.109039,-0.536663,2.050049,-0.670368,325.5514,172.4515,304.9377
9.112213,-0.536663,2.050049,-0.670368,325.5514,172.4515,304.9377
9.11495,-0.536663,2.050049,-0.670368,325.5514,172.4515,304.9377
9.117633,-0.536663,2.050049,-0.670368,325.5514,172.4515,304.9377
9.120803,-0.529659,2.05005,-0.572647,326.1213,172.8759,303.947
9.123913,-0.529659,2.05005,-0.572647,326.1213,172.8759,303.947
9.12668,-0.529659,2.05005,-0.572647,326.1213,172.8759,303.947
9.129546,-0.529659,2.05005,-0.572647,326.1213,172.8759,303.947
9.132215,-0.529659,2.05005,-0.572647,326.1213,172.8759,303.947
9.135817,-0.529659,2.05005,-0.572647,326.1213,172.8759,303.947
9.13857,-0.529659,2.05005,-0.572647,326.1213,172.8759,303.947
9.141232,-0.519826,2.050049,-0.477515,326.5794,173.0992,303.1585
9.144441,-0.519826,2.050049,-0.477515,326.5794,173.0992,303.1585
9.147332,-0.519826,2.050049,-0.477515,326.5794,173.0992,303.1585
9.150456,-0.519826,2.050049,-0.477515,326.5794,173.0992,303.1585
9.153271,-0.519826,2.050049,-0.477515,326.5794,173.0992,303.1585
9.15589,-0.519826,2.050049,-0.477515,326.5794,173.0992,303.1585
9.158663,-0.519826,2.050049,-0.477515,326.5794,173.0992,303.1585
9.161702,-0.508033,2.050049,-0.395686,326.9216,173.361,302.4614
9.165124,-0.508033,2.050049,-0.395686,326.9216,173.361,302.4614
9.167818,-0.508033,2.050049,-0.395686,326.9216,173.361,302.4614
9.170441,-0.508033,2.050049,-0.395686,326.9216,173.361,302.4614
9.179548,-0.508033,2.050049,-0.395686,326.9216,173.361,302.4614
9.181844,-0.4938,2.05005,-0.319207,327.2191,173.5903,301.7812
9.184909,-0.4938,2.05005,-0.319207,327.2191,173.5903,301.7812
9.187733,-0.4938,2.05005,-0.319207,327.2191,173.5903,301.7812
9.190526,-0.4938,2.05005,-0.319207,327.2191,173.5903,301.7812
