time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.500916,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.508321,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.513894,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.522733,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.527171,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.531725,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.534432,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.537289,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.539898,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.542558,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.546586,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.549218,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.55209,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.554742,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.557587,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.561085,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.564192,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.567106,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.569776,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.572584,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.575852,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.578916,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.581449,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.584694,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.587388,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.590463,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.593183,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.596318,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.599007,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.601701,0,1.244464,2.80571,335.6389,179.939,307.3846
8.604977,0,1.244464,2.80571,335.6389,179.939,307.3846
8.607904,0,1.244464,2.80571,335.6389,179.939,307.3846
8.610802,0,1.244464,2.80571,335.6389,179.939,307.3846
8.613611,0,1.244464,2.80571,335.6389,179.939,307.3846
8.619411,0,1.244464,2.80571,335.6389,179.939,307.3846
8.621829,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.624725,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.627709,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.631179,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.633945,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.637302,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.639982,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.64277,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.646479,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.649091,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.652136,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.654973,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.657714,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.660194,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.663939,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.66698,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.669985,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.672658,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.675282,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.678339,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.680972,0,1.244464,2.80571,335.6389,179.939,307.4578
8.684883,0,1.244464,2.80571,335.6389,179.939,307.4578
8.687542,0,1.244464,2.80571,335.6389,179.939,307.4578
8.690253,0,1.244464,2.80571,335.6389,179.939,307.4578
8.692891,0,1.244464,2.80571,335.6389,179.939,307.4578
8.696078,0,1.244464,2.80571,335.6389,179.939,307.4578
8.69945,0,1.244464,2.80571,335.6389,179.939,307.4578
8.702221,0,1.244464,2.80571,335.6389,179.939,307.3846
8.705289,0,1.244464,2.80571,335.6389,179.939,307.3846
8.707945,0,1.244464,2.80571,335.6389,179.939,307.3846
8.710791,0,1.244464,2.80571,335.6389,179.939,307.3846
8.71401,0,1.244464,2.80571,335.6389,179.939,307.3846
8.717491,0,1.244464,2.80571,335.6389,179.939,307.3846
8.720277,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.723339,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.726083,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.729656,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.732242,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.734781,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.737638,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.740363,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.743579,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.747039,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.74972,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.752455,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.755152,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.757874,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.761188,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.76428,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.76719,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.769768,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.772656,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.775793,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.779048,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.781769,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.785167,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.787949,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.790978,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.793415,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.796229,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.798764,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.80123,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.804587,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.807824,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.810837,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.813888,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.817063,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.82053,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.824193,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.826967,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.829899,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.832645,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.835338,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.838816,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.841452,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.844798,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.847625,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.850441,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.853888,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.856877,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.859419,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.862393,0,1.244464,2.80571,335.5656,179.9952,307.4137
8.865661,0,1.244464,2.80571,335.5656,179.9952,307.4137
8.868455,0,1.244464,2.80571,335.5656,179.9952,307.4137
8.871513,0,1.244464,2.80571,335.5656,179.9952,307.4137
8.874199,0,1.244464,2.80571,335.5656,179.9952,307.4137
8.877057,0,1.244464,2.80571,335.5656,179.9952,307.4137
