time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
11.66242,-0.037966,2.05005,-1.576039,318.7704,180.0714,264.4136
11.6664,-0.037966,2.05005,-1.576039,318.7704,180.0714,264.4136
11.66979,-0.037966,2.05005,-1.576039,318.7704,180.0714,264.4136
11.67238,-0.037966,2.05005,-1.576039,318.7704,180.0714,264.4136
11.67511,-0.037966,2.05005,-1.576039,318.7704,180.0714,264.4136
11.67817,-0.037966,2.05005,-1.576039,318.7704,180.0714,264.4136
11.6815,-0.037966,2.05005,-1.576039,318.7704,180.0714,264.4136
11.68467,-0.037966,2.05005,-1.576039,318.7704,180.0714,264.4136
11.68731,-0.037966,2.05005,-1.576039,318.7704,180.0714,264.4136
11.69028,-0.037966,2.05005,-1.576039,318.7704,180.0714,264.4136
11.69399,-0.037966,2.05005,-1.576039,318.7704,180.0714,264.4136
11.69719,-0.037966,2.05005,-1.576039,318.7704,180.0714,264.4136
11.70007,-0.037966,2.05005,-1.576039,318.6972,180.0713,264.4137
11.70399,-0.037966,2.05005,-1.576039,318.6972,180.0713,264.4137
11.71141,-0.037966,2.05005,-1.576039,318.6972,180.0713,264.4137
11.71888,-0.037966,2.05005,-1.576039,318.6972,180.0713,264.4137
11.72083,-0.037977,2.05005,-1.57861,318.6738,180.0712,264.4138
11.72435,-0.037977,2.05005,-1.57861,318.6738,180.0712,264.4138
11.7274,-0.037977,2.05005,-1.57861,318.6738,180.0712,264.4138
11.73044,-0.037977,2.05005,-1.57861,318.6738,180.0712,264.4138
11.73284,-0.037977,2.05005,-1.57861,318.6738,180.0712,264.4138
11.73597,-0.037977,2.05005,-1.57861,318.6738,180.0712,264.4138
11.73919,-0.037977,2.05005,-1.57861,318.6738,180.0712,264.4138
11.74257,-0.037982,2.05005,-1.579567,318.6738,180.0712,264.4138
11.74635,-0.037982,2.05005,-1.579567,318.6738,180.0712,264.4138
11.74942,-0.037982,2.05005,-1.579567,318.6738,180.0712,264.4138
11.75209,-0.037982,2.05005,-1.579567,318.6738,180.0712,264.4138
11.75524,-0.037982,2.05005,-1.579567,318.6738,180.0712,264.4138
11.75792,-0.037982,2.05005,-1.579567,318.6738,180.0712,264.4138
11.76077,-0.037982,2.05005,-1.579567,318.7471,180.0714,264.3405
11.7643,-0.037982,2.05005,-1.579567,318.7471,180.0714,264.3405
11.76692,-0.037982,2.05005,-1.579567,318.7471,180.0714,264.3405
11.76985,-0.037982,2.05005,-1.579567,318.7471,180.0714,264.3405
11.77318,-0.037982,2.05005,-1.579567,318.7471,180.0714,264.3405
11.77549,-0.037982,2.05005,-1.579567,318.7471,180.0714,264.3405
11.7782,-0.037982,2.05005,-1.579567,318.7471,180.0714,264.3405
11.78161,-0.037993,2.05005,-1.582138,318.6505,180.0712,264.4139
11.78527,-0.037993,2.05005,-1.582138,318.6505,180.0712,264.4139
11.78844,-0.037993,2.05005,-1.582138,318.6505,180.0712,264.4139
11.79102,-0.037993,2.05005,-1.582138,318.6505,180.0712,264.4139
11.79411,-0.037993,2.05005,-1.582138,318.6505,180.0712,264.4139
11.79735,-0.037993,2.05005,-1.582138,318.6505,180.0712,264.4139
11.80351,-0.037993,2.05005,-1.582138,318.6504,180.1613,264.3091
11.80609,-0.037993,2.05005,-1.582138,318.6504,180.1613,264.3091
