time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
11.66242,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.6664,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.66979,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.67238,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.67511,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.67817,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.6815,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.68467,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.68731,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.69028,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.69399,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.69719,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.70007,0,1.244464,2.80571,335.7121,179.9952,307.4137
11.70399,0,1.244464,2.80571,335.7121,179.9952,307.4137
11.71141,0,1.244464,2.80571,335.7121,179.9952,307.4137
11.71888,0,1.244464,2.80571,335.7121,179.9952,307.4137
11.72083,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.72435,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.7274,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.73044,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.73284,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.73597,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.73919,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.74257,0,1.244464,2.80571,335.6389,179.939,307.3846
11.74635,0,1.244464,2.80571,335.6389,179.939,307.3846
11.74942,0,1.244464,2.80571,335.6389,179.939,307.3846
11.75209,0,1.244464,2.80571,335.6389,179.939,307.3846
11.75524,0,1.244464,2.80571,335.6389,179.939,307.3846
11.75792,0,1.244464,2.80571,335.6389,179.939,307.3846
11.76077,0,1.244464,2.80571,335.6389,179.939,307.3846
11.7643,0,1.244464,2.80571,335.6389,179.939,307.3846
11.76692,0,1.244464,2.80571,335.6389,179.939,307.3846
11.76985,0,1.244464,2.80571,335.6389,179.939,307.3846
11.77318,0,1.244464,2.80571,335.6389,179.939,307.3846
11.77549,0,1.244464,2.80571,335.6389,179.939,307.3846
11.7782,0,1.244464,2.80571,335.6389,179.939,307.3846
11.78161,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.78527,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.78844,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.79102,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.79411,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.79735,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.80351,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.80609,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.80891,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.81183,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.81493,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.81877,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.82181,0,1.244464,2.80571,335.6389,179.939,307.3846
11.8254,0,1.244464,2.80571,335.6389,179.939,307.3846
11.82797,0,1.244464,2.80571,335.6389,179.939,307.3846
11.8307,0,1.244464,2.80571,335.6389,179.939,307.3846
11.83404,0,1.244464,2.80571,335.6389,179.939,307.3846
11.83678,0,1.244464,2.80571,335.6389,179.939,307.3846
11.83943,0,1.244464,2.80571,335.6389,179.939,307.3846
11.84227,0,1.244464,2.80571,335.6389,179.939,307.4578
11.84632,0,1.244464,2.80571,335.6389,179.939,307.4578
11.84929,0,1.244464,2.80571,335.6389,179.939,307.4578
11.85163,0,1.244464,2.80571,335.6389,179.939,307.4578
11.85467,0,1.244464,2.80571,335.6389,179.939,307.4578
11.8575,0,1.244464,2.80571,335.6389,179.939,307.4578
11.86025,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.86442,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.86696,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.86936,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.87193,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.87455,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.8772,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.88094,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.88425,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.88687,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.8896,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.89235,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.89557,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.89848,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.90136,0,1.244464,2.80571,335.6389,179.939,307.3846
11.905,0,1.244464,2.80571,335.6389,179.939,307.3846
11.90766,0,1.244464,2.80571,335.6389,179.939,307.3846
11.91075,0,1.244464,2.80571,335.6389,179.939,307.3846
11.91425,0,1.244464,2.80571,335.6389,179.939,307.3846
11.91693,0,1.244464,2.80571,335.6389,179.939,307.3846
11.91941,0,1.244464,2.80571,335.6389,179.939,307.3846
11.9222,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.9255,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.92925,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.93191,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.93438,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.93714,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.93957,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.94241,0,1.244464,2.80571,335.6389,179.939,307.3846
11.94638,0,1.244464,2.80571,335.6389,179.939,307.3846
11.94875,0,1.244464,2.80571,335.6389,179.939,307.3846
11.95137,0,1.244464,2.80571,335.6389,179.939,307.3846
11.95416,0,1.244464,2.80571,335.6389,179.939,307.3846
11.95745,0,1.244464,2.80571,335.6389,179.939,307.3846
11.9606,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.96426,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.96659,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.9692,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.97171,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.97497,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.97745,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.98034,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.98397,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.98632,0,1.244464,2.80571,335.6389,179.9952,307.4137
11.98983,0,1.244464,2.80571,335.6389,179.9952,307.4137
