time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
20.32937,-0.095151,1.10005,-1.561419,328.9235,223.6474,209.8855
20.34239,-0.095166,1.10005,-1.562628,329.1236,224.0122,209.8306
20.34869,-0.095166,1.10005,-1.562628,329.1236,224.0122,209.8306
20.35327,-0.095166,1.10005,-1.562628,329.1236,224.0122,209.8306
20.35795,-0.095166,1.10005,-1.562628,329.1236,224.0122,209.8306
20.36491,-0.095082,1.10005,-1.555629,329.4138,224.495,209.8242
20.37192,-0.095082,1.10005,-1.555629,329.4138,224.495,209.8242
20.37899,-0.095082,1.10005,-1.555629,329.4138,224.495,209.8242
20.38636,-0.09503,1.10005,-1.551239,329.5812,224.7656,209.8339
20.39295,-0.09503,1.10005,-1.551239,329.5812,224.7656,209.8339
20.40027,-0.094988,1.10005,-1.547703,329.637,224.9029,209.9182
20.40735,-0.094988,1.10005,-1.547703,329.637,224.9029,209.9182
20.41435,-0.094988,1.10005,-1.547703,329.637,224.9029,209.9182
20.42081,-0.091665,1.10005,-1.54361,329.6205,225.0304,209.8493
20.42801,-0.091665,1.10005,-1.54361,329.6205,225.0304,209.8493
20.43546,-0.091665,1.10005,-1.54361,329.6205,225.0304,209.8493
20.44213,-0.085102,1.10005,-1.542198,329.6095,225.3002,209.9551
20.44945,-0.085102,1.10005,-1.542198,329.6095,225.3002,209.9551
20.45609,-0.085102,1.10005,-1.542198,329.6095,225.3002,209.9551
20.46314,-0.075288,1.10005,-1.542879,329.6319,225.3857,210.4417
20.47038,-0.075288,1.10005,-1.542879,329.6319,225.3857,210.4417
20.47691,-0.075288,1.10005,-1.542879,329.6319,225.3857,210.4417
20.48428,-0.062195,1.10005,-1.542993,329.5211,225.5538,212.1463
20.49229,-0.062195,1.10005,-1.542993,329.5211,225.5538,212.1463
20.49939,-0.062195,1.10005,-1.542993,329.5211,225.5538,212.1463
20.50544,-0.052375,1.10005,-1.543063,329.4714,225.6534,213.5048
20.51268,-0.052375,1.10005,-1.543063,329.4714,225.6534,213.5048
20.51989,-0.052375,1.10005,-1.543063,329.4714,225.6534,213.5048
20.5274,-0.042555,1.10005,-1.543122,329.3383,225.689,215.2353
20.53451,-0.042555,1.10005,-1.543122,329.3383,225.689,215.2353
20.5414,-0.036008,1.10005,-1.543154,329.3383,225.6654,216.1875
20.54935,-0.036008,1.10005,-1.543154,329.3383,225.6654,216.1875
20.55581,-0.036008,1.10005,-1.543154,329.3383,225.6654,216.1875
20.56265,-0.029461,1.10005,-1.543181,329.1938,225.6231,217.9309
20.57062,-0.029461,1.10005,-1.543181,329.1938,225.6231,217.9309
20.57736,-0.029461,1.10005,-1.543181,329.1938,225.6231,217.9309
20.58466,-0.016356,1.10005,-1.537914,329.0099,225.5515,219.7057
20.59387,-0.016356,1.10005,-1.537914,329.0099,225.5515,219.7057
20.60169,-0.016356,1.10005,-1.537914,328.9377,225.5657,220.2843
20.61019,-0.016356,1.10005,-1.537914,328.9377,225.5657,220.2843
20.61701,-0.016356,1.10005,-1.537914,328.9377,225.5657,220.2843
20.62386,-0.016356,1.10005,-1.537914,328.721,225.6084,221.8736
20.63156,-0.016356,1.10005,-1.537914,328.721,225.6084,221.8736
20.63805,-0.016356,1.10005,-1.537914,328.721,225.6084,221.8736
20.64519,-0.019628,1.10005,-1.537907,328.5766,225.6606,222.5179
20.65326,-0.019628,1.10005,-1.537906,328.5766,225.6606,222.5179
20.66032,-0.019628,1.10005,-1.537907,328.5653,225.5823,222.6774
20.66835,-0.019628,1.10005,-1.537907,328.5653,225.5823,222.6774
20.67423,-0.019628,1.10005,-1.537907,328.5653,225.5823,222.6774
20.68246,-0.02617,1.10005,-1.537888,328.5044,225.722,222.8767
20.68918,-0.02617,1.10005,-1.537888,328.5044,225.722,222.8767
20.69697,-0.02617,1.10005,-1.537888,328.5044,225.722,222.8767
20.70349,-0.032713,1.10005,-1.537863,328.4208,225.7052,222.9555
20.71138,-0.032713,1.10005,-1.537863,328.4208,225.7052,222.9555
20.71805,-0.032713,1.10005,-1.537863,328.4208,225.7052,222.9555
20.72487,-0.035984,1.10005,-1.537849,328.3373,225.6411,222.961
20.73234,-0.035984,1.10005,-1.537849,328.3373,225.6411,222.961
20.73912,-0.035984,1.10005,-1.537849,328.3373,225.6411,222.961
20.74596,-0.035984,1.10005,-1.537849,328.3486,225.7431,222.9479
20.75369,-0.035984,1.10005,-1.537849,328.3486,225.7431,222.9479
20.7606,-0.035984,1.10005,-1.537849,328.3486,225.7431,222.9479
20.7689,-0.035984,1.10005,-1.537849,328.3486,225.7431,222.9479
20.7767,-0.035984,1.10005,-1.537849,328.3486,225.7431,222.9479
20.78384,-0.035984,1.10005,-1.537849,328.2651,225.6791,222.9535
20.79186,-0.035984,1.10005,-1.537849,328.2651,225.6791,222.9535
20.79935,-0.035984,1.10005,-1.537849,328.2651,225.6791,222.9535
20.80623,-0.035984,1.10005,-1.537849,328.2651,225.6791,222.9535
20.81364,-0.035984,1.10005,-1.537849,328.2651,225.6791,222.9535
20.82108,-0.035984,1.10005,-1.537849,328.2538,225.6007,223.0398
20.82897,-0.035984,1.10005,-1.537849,328.2538,225.6007,223.0398
20.83589,-0.035984,1.10005,-1.537849,328.2538,225.6007,223.0398
20.84248,-0.035984,1.10005,-1.537849,328.2426,225.5223,222.9796
20.85125,-0.035984,1.10005,-1.537849,328.2426,225.5223,222.9796
20.85746,-0.035984,1.10005,-1.537849,328.2426,225.5223,222.9796
20.86517,-0.035972,1.10005,-1.535197,328.1756,225.4479,223.0779
20.8722,-0.035972,1.10005,-1.535197,328.1756,225.4479,223.0779
20.8793,-0.035972,1.10005,-1.535197,328.1756,225.4479,223.0779
20.88674,-0.035972,1.10005,-1.535197,328.1531,225.291,223.1042
20.89375,-0.035972,1.10005,-1.535197,328.1531,225.291,223.1042
20.90131,-0.03596,1.10005,-1.532544,328.0863,225.2165,223.056
20.90909,-0.03596,1.10005,-1.532544,328.0863,225.2165,223.056
20.91623,-0.03596,1.10005,-1.532544,328.0863,225.2165,223.056
20.92284,-0.035912,1.10005,-1.52193,328.2136,225.083,223.2274
20.93025,-0.035912,1.10005,-1.52193,328.2136,225.083,223.2274
20.93715,-0.035912,1.10005,-1.52193,328.2136,225.083,223.2274
20.94473,-0.042328,1.10005,-1.500658,328.1907,224.9981,223.3805
20.95205,-0.042328,1.10005,-1.500658,328.1907,224.9981,223.3805
20.95954,-0.042328,1.10005,-1.500658,328.1907,224.9981,223.3805
20.96649,-0.048672,1.10005,-1.473468,328.325,224.7088,223.5382
20.97331,-0.048672,1.10005,-1.473468,328.325,224.7088,223.5382
20.98097,-0.051829,1.10005,-1.460154,328.3257,224.6171,223.6396
20.98776,-0.051829,1.10005,-1.460154,328.3257,224.6171,223.6396
20.99533,-0.051829,1.10005,-1.460154,328.3257,224.6171,223.6396
21.00243,-0.05815,1.10005,-1.438827,328.1845,224.3203,223.8027
21.00968,-0.05815,1.10005,-1.438827,328.1845,224.3203,223.8027
21.01668,-0.05815,1.10005,-1.438827,328.1845,224.3203,223.8027
21.02287,-0.061318,1.10005,-1.430818,328.1389,224.0034,223.9952
21.03016,-0.061318,1.10005,-1.430818,328.1389,224.0034,223.9952
21.03718,-0.061318,1.10005,-1.430818,328.1389,224.0034,223.9952
21.04534,-0.058071,1.10005,-1.42818,327.9407,223.4467,224.0152
21.05261,-0.058071,1.10005,-1.428181,327.9407,223.4467,224.0152
21.05947,-0.058071,1.10005,-1.428181,327.9407,223.4467,224.0152
21.06637,-0.064524,1.10005,-1.42813,327.9008,223.1798,224.1391
21.07355,-0.064524,1.10005,-1.42813,327.9008,223.1798,224.1391
21.08062,-0.06775,1.10005,-1.428103,327.9008,223.2033,224.1391
21.08794,-0.06775,1.10005,-1.428103,327.9008,223.2033,224.1391
21.09465,-0.06775,1.10005,-1.428103,327.9008,223.2033,224.1391
21.10197,-0.08388,1.10005,-1.427947,327.8711,223.0856,224.1773
21.10965,-0.08388,1.10005,-1.427947,327.8711,223.0856,224.1773
21.11673,-0.08388,1.10005,-1.427947,327.8711,223.0856,224.1773
21.12335,-0.106426,1.10005,-1.425011,327.7765,222.939,224.2402
21.13103,-0.106426,1.10005,-1.425011,327.7765,222.939,224.2402
21.1382,-0.106426,1.10005,-1.425011,327.7765,222.939,224.2402
21.14576,-0.109576,1.10005,-1.419642,327.7094,222.7195,224.3089
21.15483,-0.109576,1.10005,-1.419642,327.7094,222.7195,224.3089
21.16308,-0.109539,1.10005,-1.41698,327.7074,222.5524,224.353
21.17084,-0.109539,1.10005,-1.41698,327.7074,222.5524,224.353
21.17914,-0.109539,1.10005,-1.41698,327.7074,222.5524,224.353
21.18519,-0.109502,1.10005,-1.414317,327.5414,222.2528,224.3362
21.19238,-0.109502,1.10005,-1.414317,327.5414,222.2528,224.3362
21.19944,-0.109502,1.10005,-1.414317,327.5414,222.2528,224.3362
21.20641,-0.109427,1.10005,-1.408991,327.6203,221.9847,224.4912
21.21408,-0.109427,1.10005,-1.408991,327.6203,221.9847,224.4912
21.22115,-0.109353,1.10005,-1.403664,327.5653,221.9873,224.5028
21.23,-0.109353,1.10005,-1.403664,327.5653,221.9873,224.5028
21.23721,-0.109353,1.10005,-1.403664,327.5653,221.9873,224.5028
21.24385,-0.111832,1.10005,-1.352385,327.7273,221.6146,224.8723
21.25168,-0.111832,1.10005,-1.352385,327.7273,221.6146,224.8723
21.25882,-0.111832,1.10005,-1.352385,327.7273,221.6146,224.8723
21.26588,-0.127279,1.10005,-1.320111,327.8497,221.282,225.1486
21.27312,-0.127279,1.10005,-1.320111,327.8497,221.282,225.1486
21.27973,-0.127279,1.10005,-1.320111,327.8497,221.282,225.1486
21.28732,-0.141742,1.10005,-1.241732,328.1062,220.9575,225.6636
21.29541,-0.141742,1.10005,-1.241732,328.1062,220.9575,225.6636
21.30273,-0.156278,1.100049,-1.182513,328.4156,220.5376,226.1057
21.31006,-0.156278,1.100049,-1.182513,328.4156,220.5376,226.1057
21.31704,-0.156278,1.100049,-1.182513,328.4156,220.5376,226.1057
21.32451,-0.203727,1.10005,-1.087435,328.6521,219.9012,226.7579
21.33293,-0.203727,1.10005,-1.087435,328.6521,219.9012,226.7579
21.33964,-0.203727,1.10005,-1.087435,328.6521,219.9012,226.7579
21.34722,-0.238257,1.10005,-1.008404,328.8488,219.3984,227.2228
21.35532,-0.238257,1.10005,-1.008404,328.8488,219.3984,227.2228
21.36273,-0.251962,1.10005,-0.962156,329.0258,219.0066,227.6478
21.37065,-0.251962,1.10005,-0.962156,329.0258,219.0066,227.6478
21.37841,-0.251962,1.10005,-0.962156,329.0258,219.0066,227.6478
21.38525,-0.297437,1.10005,-0.884926,329.1209,218.2607,228.1861
21.39327,-0.297437,1.10005,-0.884926,329.1209,218.2607,228.1861
21.40075,-0.314637,1.10005,-0.865302,329.0823,217.9733,228.3315
21.40724,-0.314637,1.10005,-0.865302,329.0823,217.9733,228.3315
21.41491,-0.314637,1.10005,-0.865302,329.0823,217.9733,228.3315
21.42222,-0.351178,1.10005,-0.814398,329.0765,217.5292,228.6483
21.43031,-0.351178,1.10005,-0.814398,329.0765,217.5292,228.6483
